

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ANGHIARI ;4645;3044;30;91;
AREZZO ;76424;46525;303;1176;
BADIA TEDALDA ;915;690;32;56;
BIBBIENA ;9170;6939;215;390;
BUCINE ;7901;5932;120;280;
CAPOLONA ;4265;2698;31;89;
CAPRESE MICHELANGELO ;1228;972;47;74;
CASTEL FOCOGNANO ;2554;1865;54;90;
CASTELFRANCO PIANDISCO' ;7774;5906;162;351;
CASTEL SAN NICCOLO' ;2225;1773;67;118;
CASTIGLION FIBOCCHI ;1704;1407;51;95;
CASTIGLION FIORENTINO ;10352;7651;222;501;
CAVRIGLIA ;7627;5853;137;288;
CHITIGNANO ;735;585;23;38;
CHIUSI DELLA VERNA ;1689;1402;74;120;
CIVITELLA IN VAL DI CHIANA ;7173;4698;47;171;
CORTONA ;17897;13051;289;634;
FOIANO DELLA CHIANA ;7075;4924;138;277;
LATERINA ;2831;2047;42;120;
LORO CIUFFENNA ;4685;3546;92;204;
LUCIGNANO ;2967;2156;66;149;
MARCIANO DELLA CHIANA ;2668;2017;73;139;
MONTEMIGNAIO ;520;299;3;9;
MONTERCHI ;1506;1230;43;74;
MONTE SAN SAVINO ;7098;4256;51;153;
MONTEVARCHI ;17815;11654;65;265;
ORTIGNANO RAGGIOLO ;733;459;6;22;
PERGINE VALDARNO ;2673;2073;54;96;
PIEVE SANTO STEFANO ;2616;2021;75;160;
POPPI ;4803;3656;123;215;
PRATOVECCHIO STIA ;4712;3803;92;182;
SAN GIOVANNI VALDARNO ;13059;9582;168;387;
SANSEPOLCRO ;12651;8153;52;204;
SESTINO ;1116;868;46;66;
SUBBIANO ;4886;3719;94;209;
TALLA ;895;723;57;88;
TERRANUOVA BRACCIOLINI ;9731;7199;165;385;
