

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AIROLA ;6886;3800;68;217;
AMOROSI ;2639;2039;214;264;
APICE ;5284;3945;318;505;
APOLLOSA ;2443;1268;17;66;
ARPAIA ;1683;748;9;21;
ARPAISE ;755;421;1;13;
BASELICE ;2709;1883;235;292;
BENEVENTO ;51240;25880;225;1529;
BONEA ;1282;536;7;29;
BUCCIANO ;1856;1044;22;67;
BUONALBERGO ;2281;786;20;43;
CALVI ;2514;1160;12;58;
CAMPOLATTARO ;1290;421;11;28;
CAMPOLI DEL MONTE TABURNO ;1263;690;9;22;
CASALDUNI ;1659;1035;125;195;
CASTELFRANCO IN MISCANO ;1207;457;10;26;
CASTELPAGANO ;1808;514;9;26;
CASTELPOTO ;1181;627;4;17;
CASTELVENERE ;2200;1041;11;70;
CASTELVETERE IN VAL FORTORE ;2092;555;27;68;
CAUTANO ;1788;1582;175;225;
CEPPALONI ;3027;1926;32;160;
CERRETO SANNITA ;4306;2194;28;132;
CIRCELLO ;2971;1794;136;189;
COLLE SANNITA ;3319;1624;140;189;
CUSANO MUTRI ;4603;3186;363;548;
DUGENTA ;2495;1356;28;87;
DURAZZANO ;2152;1625;164;214;
FAICCHIO ;3386;2539;184;326;
FOGLIANISE ;2927;1444;21;57;
FOIANO DI VAL FORTORE ;1389;787;15;30;
FORCHIA ;1047;880;90;152;
FRAGNETO L'ABATE ;1221;496;7;21;
FRAGNETO MONFORTE ;1889;1464;129;172;
FRASSO TELESINO ;2241;1127;16;47;
GINESTRA DEGLI SCHIAVONI ;567;255;10;14;
GUARDIA SANFRAMONDI ;4706;2265;40;197;
LIMATOLA ;3758;1423;19;73;
MELIZZANO ;1809;1409;123;179;
MOIANO ;3510;3017;253;368;
MOLINARA ;2025;780;21;45;
MONTEFALCONE DI VAL FORTORE ;1834;1144;144;175;
MONTESARCHIO ;11483;5402;39;176;
MORCONE ;5307;1950;35;104;
PADULI ;3843;1799;18;75;
PAGO VEIANO ;2647;889;21;52;
PANNARANO ;1830;1472;107;199;
PAOLISI ;1886;1414;108;155;
PAUPISI ;1394;1164;138;182;
PESCO SANNITA ;1960;772;11;39;
PIETRAROJA ;777;376;22;44;
PIETRELCINA ;2828;1229;12;46;
PONTE ;2338;1863;188;283;
PONTELANDOLFO ;2972;925;14;41;
PUGLIANELLO ;1281;708;15;31;
REINO ;1428;598;14;53;
SAN BARTOLOMEO IN GALDO ;6461;3434;371;557;
SAN GIORGIO DEL SANNIO ;8641;4512;60;318;
SAN GIORGIO LA MOLARA ;3487;918;18;59;
SAN LEUCIO DEL SANNIO ;2998;1539;26;101;
SAN LORENZELLO ;2016;1583;99;171;
SAN LORENZO MAGGIORE ;2090;856;7;50;
SAN LUPO ;1027;367;4;17;
SAN MARCO DEI CAVOTI ;3686;2494;222;378;
SAN MARTINO SANNITA ;1338;890;52;86;
SAN NAZZARO ;837;370;8;27;
SAN NICOLA MANFREDI ;3292;1748;19;105;
SAN SALVATORE TELESINO ;3612;1492;23;80;
SANTA CROCE DEL SANNIO ;1059;404;9;17;
SANT'AGATA DE' GOTI ;9983;7687;634;893;
SANT'ANGELO A CUPOLO ;3784;2108;32;102;
SANT'ARCANGELO TRIMONTE ;585;484;49;72;
SASSINORO ;761;274;6;21;
SOLOPACA ;3357;1814;26;81;
TELESE TERME ;6022;2956;28;142;
TOCCO CAUDIO ;1468;1179;166;216;
TORRECUSO ;3079;2531;189;305;
VITULANO ;2565;1354;16;64;
