

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AIROLE ;284;220;15;23;
APRICALE ;461;160;6;11;
AQUILA D'ARROSCIA ;171;71;2;6;
ARMO ;94;53;2;2;
AURIGO ;279;188;4;11;
BADALUCCO ;948;763;40;89;
BAJARDO ;271;217;11;25;
BORDIGHERA ;8826;4593;22;115;
BORGHETTO D'ARROSCIA ;388;188;6;15;
BORGOMARO ;705;361;3;23;
CAMPOROSSO ;4466;3333;152;301;
CARAVONICA ;208;126;3;7;
CARPASIO ;156;123;3;7;
CASTELLARO ;1023;824;28;55;
CASTEL VITTORIO ;261;129;1;19;
CERIANA ;973;683;37;77;
CERVO ;1004;710;13;38;
CESIO ;221;166;4;12;
CHIUSANICO ;550;416;19;47;
CHIUSAVECCHIA ;355;188;2;6;
CIPRESSA ;1014;584;5;26;
CIVEZZA ;475;277;6;8;
COSIO DI ARROSCIA ;208;106;3;8;
COSTARAINERA ;678;390;14;15;
DIANO ARENTINO ;598;307;3;11;
DIANO CASTELLO ;1736;941;6;46;
DIANO MARINA ;5137;2771;18;94;
DIANO SAN PIETRO ;864;673;26;49;
DOLCEACQUA ;1707;1352;74;136;
DOLCEDO ;1085;865;32;80;
IMPERIA ;33069;18513;108;814;
ISOLABONA ;538;406;33;56;
LUCINASCO ;214;104;0;1;
MENDATICA ;178;136;9;13;
MOLINI DI TRIORA ;524;412;33;47;
MONTALTO LIGURE ;328;231;12;33;
MONTEGROSSO PIAN LATTE ;105;91;4;11;
OLIVETTA SAN MICHELE ;183;131;12;16;
OSPEDALETTI ;2730;2059;45;119;
PERINALDO ;687;282;4;11;
PIETRABRUNA ;380;219;2;8;
PIEVE DI TECO ;1061;488;5;28;
PIGNA ;712;543;39;71;
POMPEIANA ;660;341;5;20;
PONTEDASSIO ;1832;1318;48;103;
PORNASSIO ;495;227;6;14;
PRELA' ;376;210;5;12;
RANZO ;451;333;17;39;
REZZO ;321;162;1;10;
RIVA LIGURE ;2427;1888;64;153;
ROCCHETTA NERVINA ;211;122;0;4;
SAN BARTOLOMEO AL MARE ;2457;1798;48;122;
SAN BIAGIO DELLA CIMA ;1035;778;26;67;
SAN LORENZO AL MARE ;1078;858;27;74;
SANREMO ;45247;29798;644;1681;
SANTO STEFANO AL MARE ;1826;1062;10;40;
SEBORGA ;252;120;4;10;
SOLDANO ;761;535;13;31;
TAGGIA ;11956;6304;45;233;
TERZORIO ;187;127;2;14;
TRIORA ;367;182;3;6;
VALLEBONA ;1035;731;25;43;
VALLECROSIA ;5848;2821;16;93;
VASIA ;339;270;19;39;
VENTIMIGLIA ;20280;12458;349;954;
VESSALICO ;188;153;11;19;
VILLA FARALDI ;349;185;3;10;
