

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGRA ;338;157;3;11;
ALBIZZATE ;4304;2735;30;98;
ANGERA ;4590;3440;60;182;
ARCISATE ;8089;5469;115;340;
ARSAGO SEPRIO ;3888;2623;59;164;
AZZATE ;3683;2159;16;66;
AZZIO ;663;507;14;31;
BARASSO ;1388;824;5;22;
BARDELLO ;1189;938;23;52;
BEDERO VALCUVIA ;566;404;13;28;
BESANO ;2185;1047;9;53;
BESNATE ;4499;3212;83;196;
BESOZZO ;7151;4101;24;145;
BIANDRONNO ;2859;1911;34;104;
BISUSCHIO ;3700;2416;51;147;
BODIO LOMNAGO ;1753;1276;23;57;
BREBBIA ;2726;1617;7;52;
BREGANO ;668;442;6;22;
BRENTA ;1558;803;5;38;
BREZZO DI BEDERO ;958;513;1;15;
BRINZIO ;705;501;10;29;
BRISSAGO-VALTRAVAGLIA ;1068;531;3;14;
BRUNELLO ;814;616;11;25;
BRUSIMPIANO ;1130;708;24;50;
BUGUGGIATE ;2584;1913;36;107;
BUSTO ARSIZIO ;65181;39256;239;1402;
CADEGLIANO-VICONAGO ;1910;736;4;24;
CADREZZATE ;1388;1074;25;63;
CAIRATE ;6503;3856;35;171;
CANTELLO ;4068;2709;78;196;
CARAVATE ;2220;1368;26;95;
CARDANO AL CAMPO ;11673;7929;137;409;
CARNAGO ;5395;3629;55;171;
CARONNO PERTUSELLA ;13381;8157;28;249;
CARONNO VARESINO ;4081;3049;57;201;
CASALE LITTA ;2218;1275;11;54;
CASALZUIGNO ;1119;748;14;39;
CASCIAGO ;3159;2319;39;113;
CASORATE SEMPIONE ;4633;2662;18;77;
CASSANO MAGNAGO ;17430;10529;50;322;
CASSANO VALCUVIA ;523;389;10;30;
CASTELLANZA ;11789;7455;42;216;
CASTELLO CABIAGLIO ;538;330;5;17;
CASTELSEPRIO ;1147;853;22;57;
CASTELVECCANA ;1691;1183;34;70;
CASTIGLIONE OLONA ;6459;4454;82;221;
CASTRONNO ;4274;2889;62;184;
CAVARIA CON PREMEZZO ;4454;3059;63;171;
CAZZAGO BRABBIA ;670;496;14;31;
CISLAGO ;7898;5023;25;180;
CITTIGLIO ;3238;1727;17;54;
CLIVIO ;1848;1000;7;39;
COCQUIO-TREVISAGO ;3941;2119;7;63;
COMABBIO ;929;712;18;38;
COMERIO ;2143;1317;6;33;
CREMENAGA ;803;313;3;11;
CROSIO DELLA VALLE ;550;350;6;17;
CUASSO AL MONTE ;3089;2043;55;144;
CUGLIATE-FABIASCO ;2809;1225;18;62;
CUNARDO ;2132;1445;51;91;
CURIGLIA CON MONTEVIASCO ;227;122;3;14;
CUVEGLIO ;2843;1941;46;129;
CUVIO ;1415;881;24;46;
DAVERIO ;2512;1529;9;57;
DUMENZA ;1361;811;25;80;
DUNO ;119;72;8;11;
FAGNANO OLONA ;9843;6737;105;332;
FERNO ;5582;3184;25;130;
FERRERA DI VARESE ;565;395;15;26;
GALLARATE ;38861;23596;129;672;
GALLIATE LOMBARDO ;830;528;2;10;
GAVIRATE ;7603;5061;83;245;
GAZZADA SCHIANNO ;3834;2748;42;170;
GEMONIO ;2264;1272;11;44;
GERENZANO ;8238;5104;34;201;
GERMIGNAGA ;3265;2008;45;105;
GOLASECCA ;2244;1202;7;54;
GORLA MAGGIORE ;4140;2615;19;113;
GORLA MINORE ;6723;4715;94;248;
GORNATE OLONA ;1860;1270;25;66;
GRANTOLA ;984;673;18;38;
INARZO ;871;516;5;14;
INDUNO OLONA ;8468;5640;95;305;
ISPRA ;3959;2985;58;196;
JERAGO CON ORAGO ;4214;2592;21;116;
LAVENA-PONTE TRESA ;5462;2212;15;87;
LAVENO-MOMBELLO ;7376;4266;27;182;
LEGGIUNO ;2987;1726;12;69;
LONATE CEPPINO ;4056;2851;43;151;
LONATE POZZOLO ;9458;6495;119;334;
LOZZA ;1060;779;19;52;
LUINO ;12911;6154;38;258;
LUVINATE ;1082;652;2;13;
MACCAGNO CON PINO E VEDDASCA ;2524;1707;67;154;
MALGESSO ;1031;713;16;38;
MALNATE ;13274;7855;49;312;
MARCHIROLO ;2937;1210;16;60;
MARNATE ;6111;4437;82;245;
MARZIO ;286;202;4;16;
MASCIAGO PRIMO ;246;187;8;21;
MERCALLO ;1473;1156;30;68;
MESENZANA ;1244;823;45;83;
MONTEGRINO VALTRAVAGLIA ;1250;907;31;71;
MONVALLE ;1542;1140;17;54;
MORAZZONE ;3606;2631;46;168;
MORNAGO ;4106;2923;83;215;
OGGIONA CON SANTO STEFANO ;3487;2164;15;74;
OLGIATE OLONA ;9829;7150;115;323;
ORIGGIO ;6208;3873;21;165;
ORINO ;753;513;14;35;
OSMATE ;555;423;14;24;
PORTO CERESIO ;2668;1309;7;61;
PORTO VALTRAVAGLIA ;2082;1475;47;120;
RANCIO VALCUVIA ;744;535;20;55;
SALTRIO ;2678;1449;14;77;
RANCO ;963;720;16;42;
SAMARATE ;13020;8020;50;284;
SANGIANO ;1189;766;17;50;
SARONNO ;30233;19419;106;544;
SESTO CALENDE ;8606;6114;107;259;
SOLBIATE ARNO ;3390;2482;58;126;
SOLBIATE OLONA ;4567;3327;65;174;
SOMMA LOMBARDO ;13771;7866;41;297;
SUMIRAGO ;5098;3029;18;109;
TAINO ;2853;2172;32;119;
TERNATE ;2156;1589;43;112;
TRADATE ;15227;8776;59;313;
TRAVEDONA-MONATE ;3252;2403;48;126;
TRONZANO LAGO MAGGIORE ;261;193;12;20;
UBOLDO ;8345;6076;106;306;
VALGANNA ;1318;911;20;52;
VARANO BORGHI ;2000;1467;46;94;
VARESE ;64073;37407;179;1091;
VEDANO OLONA ;6115;4211;75;228;
VENEGONO INFERIORE ;5010;3502;67;211;
VENEGONO SUPERIORE ;5818;3333;17;110;
VERGIATE ;7390;4348;25;148;
VIGGIU' ;4706;2975;69;186;
VIZZOLA TICINO ;489;363;14;31;
