

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUANEGRA SUL CHIESE ;2370;1396;16;62;
ASOLA ;7368;5287;145;282;
BAGNOLO SAN VITO ;4683;3474;83;162;
BIGARELLO ;1671;1269;19;39;
BORGOFRANCO SUL PO ;893;411;7;15;
BORGO VIRGILIO ;11349;7766;162;364;
BOZZOLO ;3348;2519;87;159;
CANNETO SULL'OGLIO ;3489;2482;69;140;
CARBONARA DI PO ;1157;800;26;38;
CASALMORO ;1564;1114;23;47;
CASALOLDO ;1865;1451;54;107;
CASALROMANO ;1088;881;31;57;
CASTELBELFORTE ;2340;1858;56;131;
CASTEL D'ARIO ;3522;1854;23;55;
CASTEL GOFFREDO ;8235;4823;58;171;
CASTELLUCCHIO ;4139;2513;34;79;
CASTIGLIONE DELLE STIVIERE ;15151;8989;60;248;
CAVRIANA ;3025;2338;58;112;
CERESARA ;2100;1234;15;39;
COMMESSAGGIO ;960;691;34;57;
CURTATONE ;12193;7688;53;182;
DOSOLO ;2663;2067;48;115;
FELONICA ;1266;795;37;56;
GAZOLDO DEGLI IPPOLITI ;2208;1674;56;104;
GAZZUOLO ;1934;1168;13;29;
GOITO ;8057;4840;55;160;
GONZAGA ;6704;4857;94;204;
GUIDIZZOLO ;4414;2572;23;73;
MAGNACAVALLO ;1558;939;27;57;
MANTOVA ;37429;22599;113;436;
MARCARIA ;5524;3264;24;106;
MARIANA MANTOVANA ;521;454;23;30;
MARMIROLO ;6126;4242;67;161;
MEDOLE ;2992;2117;72;117;
MOGLIA ;4516;2847;41;112;
MONZAMBANO ;3773;2308;21;73;
MOTTEGGIANA ;1870;1319;30;47;
OSTIGLIA ;5652;3772;72;161;
PEGOGNAGA ;5662;4116;69;150;
PIEVE DI CORIANO ;936;683;24;39;
PIUBEGA ;1371;1116;50;93;
POGGIO RUSCO ;5370;3051;34;95;
POMPONESCO ;1280;748;10;36;
PONTI SUL MINCIO ;1868;1362;39;74;
PORTO MANTOVANO ;12869;9154;95;275;
QUINGENTOLE ;1119;712;20;45;
QUISTELLO ;4960;2865;32;95;
REDONDESCO ;1037;598;7;25;
REVERE ;2124;1260;14;45;
RIVAROLO MANTOVANO ;2252;1633;45;97;
RODIGO ;4233;2481;28;62;
RONCOFERRARO ;6024;3969;69;152;
ROVERBELLA ;6374;4488;91;246;
SABBIONETA ;3615;2547;72;147;
SAN BENEDETTO PO ;6690;3795;45;118;
SAN GIACOMO DELLE SEGNATE ;1433;981;41;74;
SAN GIORGIO DI MANTOVA ;7540;5037;61;168;
SAN GIOVANNI DEL DOSSO ;1018;612;12;20;
SAN MARTINO DALL'ARGINE ;1527;870;7;27;
SCHIVENOGLIA ;1084;793;39;56;
SERMIDE ;5264;3141;20;74;
SERRAVALLE A PO ;1328;895;24;45;
SOLFERINO ;2068;1637;48;84;
SUSTINENTE ;1865;1378;39;66;
SUZZARA ;14877;10706;156;326;
VIADANA ;14349;8208;59;249;
VILLA POMA ;1748;1262;42;61;
VILLIMPENTA ;1789;982;8;23;
VOLTA MANTOVANA ;5758;4184;112;252;
