

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUAFORMOSA ;1201;825;53;94;
ACQUAPPESA ;2069;1233;112;171;
ACRI ;19856;8232;134;582;
AIELLO CALABRO ;2216;1087;77;156;
AIETA ;967;228;7;24;
ALBIDONA ;1677;456;14;35;
ALESSANDRIA DEL CARRETTO ;709;356;98;131;
ALTILIA ;947;419;8;19;
ALTOMONTE ;4293;3093;317;484;
AMANTEA ;12486;8874;605;1354;
AMENDOLARA ;3110;1141;26;86;
APRIGLIANO ;2801;1942;145;235;
BELMONTE CALABRO ;3490;684;18;78;
BELSITO ;953;460;4;19;
BELVEDERE MARITTIMO ;9740;6300;552;945;
BIANCHI ;1193;997;125;160;
BISIGNANO ;8833;4146;67;309;
BOCCHIGLIERO ;1643;987;95;133;
BONIFATI ;3615;971;17;43;
BUONVICINO ;2372;1697;259;354;
CALOPEZZATI ;1286;459;7;18;
CALOVETO ;1269;811;99;139;
CAMPANA ;1844;582;2;37;
CANNA ;799;254;4;16;
CARIATI ;6910;2527;18;92;
CAROLEI ;3409;1355;18;64;
CARPANZANO ;299;118;1;3;
CASOLE BRUZIO ;2253;1232;7;45;
CASSANO ALL'IONIO ;15247;5562;75;482;
CASTIGLIONE COSENTINO ;2527;1872;148;267;
CASTROLIBERO ;8716;4436;35;224;
CASTROREGIO ;317;130;3;9;
CASTROVILLARI ;19772;7501;99;531;
CELICO ;2221;1795;57;126;
CELLARA ;515;301;3;12;
CERCHIARA DI CALABRIA ;2392;1688;248;340;
CERISANO ;3098;1124;15;75;
CERVICATI ;972;593;57;103;
CERZETO ;1636;557;14;28;
CETRARO ;10277;3783;48;240;
CIVITA ;1205;608;83;132;
CLETO ;1662;597;13;36;
COLOSIMI ;1168;920;70;120;
CORIGLIANO CALABRO ;33286;10287;118;495;
COSENZA ;57394;25911;173;1203;
CROPALATI ;1195;786;63;101;
CROSIA ;7523;5601;387;643;
DIAMANTE ;5047;3644;259;412;
DIPIGNANO ;4254;1908;18;97;
DOMANICO ;1034;692;48;158;
FAGNANO CASTELLO ;4082;1640;18;96;
FALCONARA ALBANESE ;1592;449;9;32;
FIGLINE VEGLIATURO ;1074;906;80;115;
FIRMO ;2173;1503;168;234;
FIUMEFREDDO BRUZIO ;3883;2137;192;325;
FRANCAVILLA MARITTIMA ;2469;1169;25;87;
FRASCINETO ;2771;1603;140;230;
FUSCALDO ;9765;3152;33;151;
GRIMALDI ;1547;1232;111;165;
GRISOLIA ;2127;767;11;46;
GUARDIA PIEMONTESE ;1759;718;6;38;
LAGO ;3285;1894;189;333;
LAINO BORGO ;1961;618;19;50;
LAINO CASTELLO ;995;632;102;134;
LAPPANO ;915;523;1;13;
LATTARICO ;4278;2857;235;323;
LONGOBARDI ;2348;1589;151;272;
LONGOBUCCO ;3652;1445;18;68;
LUNGRO ;2462;1025;20;61;
LUZZI ;8329;3500;35;193;
MAIERA' ;1267;537;9;38;
MALITO ;1164;595;52;77;
MALVITO ;2340;1256;177;223;
MANDATORICCIO ;2682;1903;192;251;
MANGONE ;1676;806;10;55;
MARANO MARCHESATO ;2990;1244;10;65;
MARANO PRINCIPATO ;2681;1260;6;44;
MARZI ;886;438;8;26;
MENDICINO ;7999;6192;292;587;
MONGRASSANO ;2105;1124;97;194;
MONTALTO UFFUGO ;17788;12522;794;1296;
MONTEGIORDANO ;1686;1406;207;279;
MORANO CALABRO ;6344;2872;212;399;
MORMANNO ;3667;1739;29;107;
MOTTAFOLLONE ;1505;974;118;158;
NOCARA ;414;247;42;51;
ORIOLO ;2265;1558;231;301;
ORSOMARSO ;1776;939;82;114;
PALUDI ;1688;857;101;130;
PANETTIERI ;318;189;3;11;
PAOLA ;14794;6729;64;364;
PAPASIDERO ;724;207;5;21;
PARENTI ;2000;1654;123;187;
PATERNO CALABRO ;1495;680;8;37;
PEDACE ;1830;1434;68;130;
PEDIVIGLIANO ;810;656;58;89;
PIANE CRATI ;1306;1042;72;128;
PIETRAFITTA ;1618;644;7;31;
PIETRAPAOLA ;1145;370;11;23;
PLATACI ;1056;370;10;21;
PRAIA A MARE ;5806;2522;44;174;
RENDE ;30422;22283;1061;2165;
ROCCA IMPERIALE ;3188;2273;228;315;
ROGGIANO GRAVINA ;6918;2331;31;156;
ROGLIANO ;5075;2512;32;182;
ROSE ;4270;3044;231;355;
ROSETO CAPO SPULICO ;2017;1385;193;258;
ROSSANO ;28614;11492;133;580;
ROTA GRECA ;1066;748;42;97;
ROVITO ;2883;1543;13;75;
SAN BASILE ;1243;650;43;88;
SAN BENEDETTO ULLANO ;1895;1091;96;162;
SAN COSMO ALBANESE ;573;242;5;7;
SAN DEMETRIO CORONE ;3503;1418;31;89;
SAN DONATO DI NINEA ;1314;939;138;187;
SAN FILI ;2533;1115;16;57;
SANGINETO ;2017;480;9;38;
SAN GIORGIO ALBANESE ;1417;1015;101;146;
SAN GIOVANNI IN FIORE ;17800;8014;56;393;
SAN LORENZO BELLIZZI ;682;304;5;17;
SAN LORENZO DEL VALLO ;2859;1313;14;77;
SAN LUCIDO ;5228;2324;12;91;
SAN MARCO ARGENTANO ;7834;4975;491;828;
SAN MARTINO DI FINITA ;1321;458;5;22;
SAN NICOLA ARCELLA ;1485;637;4;13;
SAN PIETRO IN AMANTEA ;900;249;4;10;
SAN PIETRO IN GUARANO ;3288;2679;166;266;
SAN SOSTI ;1785;850;13;41;
SANTA CATERINA ALBANESE ;1257;880;112;153;
SANTA DOMENICA TALAO ;1277;883;79;147;
SANT'AGATA DI ESARO ;2328;707;13;34;
SANTA MARIA DEL CEDRO ;4181;3385;206;385;
SANTA SOFIA D'EPIRO ;2687;1849;212;285;
SANTO STEFANO DI ROGLIANO ;1409;1185;83;134;
SAN VINCENZO LA COSTA ;2068;901;7;53;
SARACENA ;4193;1341;19;99;
SCALA COELI ;1210;309;5;22;
SCALEA ;9939;3645;34;184;
SCIGLIANO ;1155;908;81;112;
SERRA D'AIELLO ;638;252;5;19;
SERRA PEDACE ;1019;753;41;78;
SPEZZANO ALBANESE ;6862;4716;368;566;
SPEZZANO DELLA SILA ;3765;2302;11;101;
SPEZZANO PICCOLO ;1897;915;7;35;
TARSIA ;2344;1421;155;228;
TERRANOVA DA SIBARI ;4925;3500;305;442;
TERRAVECCHIA ;977;223;1;6;
TORANO CASTELLO ;4364;3121;223;357;
TORTORA ;5357;2110;26;122;
TREBISACCE ;7872;3213;63;252;
TRENTA ;2333;1283;16;67;
VACCARIZZO ALBANESE ;1137;754;106;151;
VERBICARO ;3102;2088;181;347;
VILLAPIANA ;4517;3510;462;617;
ZUMPANO ;2080;1029;13;53;
