

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ABRIOLA ;1692;729;12;40;
ACERENZA ;2843;1077;83;139;
ALBANO DI LUCANIA ;1396;559;18;61;
ANZI ;1617;1258;141;210;
ARMENTO ;638;443;70;113;
ATELLA ;3535;1628;29;132;
AVIGLIANO ;10234;4932;59;253;
BALVANO ;2316;758;16;50;
BANZI ;1259;946;90;148;
BARAGIANO ;2419;1058;47;91;
BARILE ;3077;1885;105;259;
BELLA ;4890;1956;31;151;
BRIENZA ;4329;2796;341;490;
BRINDISI MONTAGNA ;804;598;73;94;
CALVELLO ;2637;696;15;37;
CALVERA ;655;311;52;80;
CAMPOMAGGIORE ;815;283;3;17;
CANCELLARA ;1714;462;9;38;
CARBONE ;962;244;7;13;
CASTELGRANDE ;1789;435;14;40;
CASTELLUCCIO INFERIORE ;2715;774;28;70;
CASTELLUCCIO SUPERIORE ;972;331;16;46;
CASTELMEZZANO ;883;639;83;121;
CASTELSARACENO ;1457;604;10;51;
CASTRONUOVO DI SANT'ANDREA ;1169;364;11;40;
CERSOSIMO ;738;270;8;19;
CHIAROMONTE ;1998;1394;149;252;
CORLETO PERTICARA ;3151;1045;13;98;
EPISCOPIA ;1555;598;30;60;
FARDELLA ;766;274;5;16;
FILIANO ;2606;1239;10;67;
FORENZA ;2603;624;14;47;
FRANCAVILLA IN SINNI ;4040;1812;36;172;
GALLICCHIO ;893;619;27;102;
GENZANO DI LUCANIA ;5619;1768;18;106;
GINESTRA ;833;247;3;23;
GRUMENTO NOVA ;2528;1220;174;244;
GUARDIA PERTICARA ;546;416;66;103;
LAGONEGRO ;5459;2215;28;138;
LATRONICO ;4543;2033;48;205;
LAURENZANA ;1795;1348;121;192;
LAURIA ;12926;6127;155;735;
LAVELLO ;11060;4338;36;242;
MARATEA ;5885;3550;218;358;
MARSICO NUOVO ;5790;1368;31;103;
MARSICOVETERE ;5066;3500;313;526;
MASCHITO ;2079;510;10;38;
MELFI ;14463;5977;60;347;
MISSANELLO ;467;377;42;67;
MOLITERNO ;4728;1412;14;79;
MONTEMILONE ;1482;566;7;33;
MONTEMURRO ;2236;906;84;142;
MURO LUCANO ;6012;3908;410;578;
NEMOLI ;1518;1078;112;182;
NOEPOLI ;1025;614;103;119;
OPPIDO LUCANO ;4430;1595;17;68;
PALAZZO SAN GERVASIO ;4613;1475;16;122;
PATERNO ;4055;1133;25;74;
PESCOPAGANO ;3071;1415;111;190;
PICERNO ;6146;4153;485;667;
PIETRAGALLA ;4530;2909;217;352;
PIETRAPERTOSA ;1409;288;6;19;
PIGNOLA ;6093;2208;18;94;
POTENZA ;57807;44012;2222;4774;
RAPOLLA ;3836;1884;13;77;
RAPONE ;1165;744;112;144;
RIONERO IN VULTURE ;11944;5262;64;399;
RIPACANDIDA ;2304;662;6;28;
RIVELLO ;3017;1952;186;326;
ROCCANOVA ;1524;1054;123;178;
ROTONDA ;3168;2372;330;493;
RUOTI ;3310;1122;33;101;
RUVO DEL MONTE ;1474;413;13;23;
SAN CHIRICO NUOVO ;1526;970;92;157;
SAN CHIRICO RAPARO ;1644;407;14;55;
SAN COSTANTINO ALBANESE ;790;427;14;35;
SAN FELE ;4459;2148;213;299;
SAN MARTINO D'AGRI ;980;394;4;38;
SAN PAOLO ALBANESE ;307;166;11;15;
SAN SEVERINO LUCANO ;2197;1038;125;181;
SANT'ANGELO LE FRATTE ;1509;1030;132;192;
SANT'ARCANGELO ;5971;2140;48;181;
SARCONI ;1583;416;11;33;
SASSO DI CASTALDA ;1083;321;16;31;
SATRIANO DI LUCANIA ;3407;1731;176;291;
SAVOIA DI LUCANIA ;1391;804;111;135;
SENISE ;7453;3079;55;180;
SPINOSO ;1626;1049;104;184;
TEANA ;824;271;5;34;
TERRANOVA DI POLLINO ;1334;955;150;215;
TITO ;7023;4794;405;653;
TOLVE ;3753;1201;22;69;
TRAMUTOLA ;3857;1167;25;151;
TRECCHINA ;3034;1135;32;101;
TRIVIGNO ;675;449;48;69;
VAGLIO BASILICATA ;2182;789;6;40;
VENOSA ;10887;6878;270;716;
VIETRI DI POTENZA ;3702;1045;27;72;
VIGGIANELLO ;3152;894;26;53;
VIGGIANO ;3874;2005;162;365;
