

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ANZOLA DELL'EMILIA ;9210;7059;95;246;
ARGELATO ;7609;6046;91;203;
BARICELLA ;5217;3859;54;147;
BENTIVOGLIO ;4231;3221;39;120;
BOLOGNA ;294381;191652;859;3755;
BORGO TOSSIGNANO ;2456;1853;38;72;
BUDRIO ;14466;9868;72;269;
CALDERARA DI RENO ;10212;7828;82;241;
CAMUGNANO ;1779;1073;9;35;
CASALECCHIO DI RENO ;27786;20715;206;571;
CASALFIUMANESE ;2654;1962;28;61;
CASTEL D'AIANO ;1642;1261;27;56;
CASTEL DEL RIO ;919;584;9;13;
CASTEL DI CASIO ;2783;2153;49;114;
CASTEL GUELFO DI BOLOGNA ;3400;2498;34;83;
CASTELLO D'ARGILE ;4828;3701;65;141;
CASTEL MAGGIORE ;14081;10684;110;323;
CASTEL SAN PIETRO TERME ;16462;12240;143;389;
CASTENASO ;11671;8962;101;269;
CASTIGLIONE DEI PEPOLI ;4603;3545;60;150;
CREVALCORE ;9884;7216;131;314;
DOZZA ;4994;3660;62;140;
FONTANELICE ;1438;1116;25;52;
GAGGIO MONTANO ;3772;2324;29;102;
GALLIERA ;3997;3110;77;168;
GRANAGLIONE ;1895;1159;3;36;
GRANAROLO DELL'EMILIA ;8829;6691;74;217;
GRIZZANA MORANDI ;3074;2280;23;106;
IMOLA ;53982;36764;182;732;
LIZZANO IN BELVEDERE ;1869;1472;53;86;
LOIANO ;3488;2524;48;105;
MALALBERGO ;6916;5036;91;240;
MARZABOTTO ;5247;3944;57;142;
MEDICINA ;13169;9653;97;299;
MINERBIO ;6832;4997;70;196;
MOLINELLA ;12275;9263;221;537;
MONGHIDORO ;3030;1879;19;58;
MONTERENZIO ;4596;3347;51;105;
MONTE SAN PIETRO ;8757;6623;45;177;
MONZUNO ;4925;3586;59;162;
MORDANO ;3524;2704;56;110;
OZZANO DELL'EMILIA ;10714;8088;89;265;
PIANORO ;13877;10330;87;255;
PIEVE DI CENTO ;5538;4246;105;195;
PORRETTA TERME ;3721;2290;20;86;
SALA BOLOGNESE ;6494;4934;62;174;
SAN BENEDETTO VAL DI SAMBRO ;3501;2709;71;161;
SAN GIORGIO DI PIANO ;6422;4844;50;144;
SAN GIOVANNI IN PERSICETO ;21739;15923;189;513;
SAN LAZZARO DI SAVENA ;25207;19023;179;498;
SAN PIETRO IN CASALE ;9131;6675;87;263;
SANT'AGATA BOLOGNESE ;5316;3995;85;193;
SASSO MARCONI ;11605;8786;102;234;
VALSAMOGGIA ;22820;17615;301;667;
VERGATO ;5763;4275;86;192;
ZOLA PREDOSA ;14565;11190;107;318;
