

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BAGNO A RIPOLI ;20594;15119;155;413;
BARBERINO DI MUGELLO ;8341;6042;69;240;
BARBERINO VAL D'ELSA ;3373;2636;67;120;
BORGO SAN LORENZO ;13985;10401;134;349;
CALENZANO ;13771;10195;107;320;
CAMPI BISENZIO ;31495;19539;106;531;
CAPRAIA E LIMITE ;5872;4294;58;157;
CASTELFIORENTINO ;13308;9538;112;278;
CERRETO GUIDI ;8186;5917;68;172;
CERTALDO ;12382;9362;95;240;
DICOMANO ;4267;3323;61;125;
EMPOLI ;35529;25892;318;798;
FIESOLE ;11203;8441;95;232;
FIGLINE E INCISA VALDARNO ;18217;13132;190;574;
FIRENZE ;283651;194604;2187;5504;
FIRENZUOLA ;3823;2943;101;199;
FUCECCHIO ;16883;11465;187;422;
GAMBASSI TERME ;3892;2959;45;85;
GREVE IN CHIANTI ;10398;7408;93;246;
IMPRUNETA ;11461;7829;45;193;
LASTRA A SIGNA ;15108;10609;131;389;
LONDA ;1435;1167;24;45;
MARRADI ;2805;1795;11;52;
MONTAIONE ;2927;2178;34;72;
MONTELUPO FIORENTINO ;10714;7847;116;302;
MONTESPERTOLI ;10366;7628;115;299;
PALAZZUOLO SUL SENIO ;1102;745;19;53;
PELAGO ;6142;4713;50;133;
PONTASSIEVE ;16315;12314;110;327;
REGGELLO ;13122;9066;62;251;
RIGNANO SULL'ARNO ;6799;4750;25;107;
RUFINA ;5940;4370;64;144;
SAN CASCIANO IN VAL DI PESA ;13253;9858;105;296;
SAN GODENZO ;993;800;35;57;
SCANDICCI ;39289;28169;243;737;
SCARPERIA E SAN PIERO ;9309;7087;108;269;
SESTO FIORENTINO ;37843;28186;273;673;
SIGNA ;13558;9544;146;423;
TAVARNELLE VAL DI PESA ;5956;4433;43;145;
VAGLIA ;4132;3136;54;122;
VICCHIO ;6553;4482;49;139;
VINCI ;11150;8144;97;255;
