

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ABBADIA CERRETO ;239;189;7;11;
BERTONICO ;866;686;10;29;
BOFFALORA D'ADDA ;1304;994;22;73;
BORGHETTO LODIGIANO ;3295;2515;45;126;
BORGO SAN GIOVANNI ;1693;996;9;40;
BREMBIO ;2040;1505;38;103;
CAMAIRAGO ;528;405;9;30;
CASALETTO LODIGIANO ;2219;1572;25;75;
CASALMAIOCCO ;2322;1782;35;103;
CASALPUSTERLENGO ;11243;8331;161;471;
CASELLE LANDI ;1342;977;33;81;
CASELLE LURANI ;2217;1485;27;95;
CASTELNUOVO BOCCA D'ADDA ;1354;1013;25;87;
CASTIGLIONE D'ADDA ;3843;2363;17;124;
CASTIRAGA VIDARDO ;2034;1566;25;86;
CAVACURTA ;660;510;14;38;
CAVENAGO D'ADDA ;1701;1130;10;49;
CERVIGNANO D'ADDA ;1654;1266;28;77;
CODOGNO ;12095;7191;62;264;
COMAZZO ;1654;1153;29;79;
CORNEGLIANO LAUDENSE ;2221;1679;42;86;
CORNO GIOVINE ;959;696;26;54;
CORNOVECCHIO ;183;107;3;9;
CORTE PALASIO ;1165;898;16;47;
CRESPIATICA ;1661;1141;29;72;
FOMBIO ;1821;1330;32;88;
GALGAGNANO ;942;740;11;51;
GRAFFIGNANA ;2044;1685;52;111;
GUARDAMIGLIO ;2043;1624;42;106;
LIVRAGA ;2077;1534;49;125;
LODI ;33582;21143;135;570;
LODI VECCHIO ;5527;4037;82;260;
MACCASTORNA ;55;36;3;4;
MAIRAGO ;1082;836;22;43;
MALEO ;2630;1989;61;144;
MARUDO ;1222;941;25;74;
MASSALENGO ;3256;2419;52;141;
MELETI ;379;315;8;22;
MERLINO ;1304;1069;36;74;
MONTANASO LOMBARDO ;1867;1471;35;84;
MULAZZANO ;4320;3122;46;155;
ORIO LITTA ;1583;1294;39;90;
OSPEDALETTO LODIGIANO ;1320;1019;32;75;
OSSAGO LODIGIANO ;1101;883;19;51;
PIEVE FISSIRAGA ;1287;1009;30;65;
SALERANO SUL LAMBRO ;2067;1649;54;184;
SAN FIORANO ;1490;1199;30;78;
SAN MARTINO IN STRADA ;2945;2282;69;202;
SAN ROCCO AL PORTO ;2717;1950;33;113;
SANT'ANGELO LODIGIANO ;9357;5931;55;230;
SANTO STEFANO LODIGIANO ;1625;1304;44;101;
SECUGNAGO ;1574;1205;28;72;
SENNA LODIGIANA ;1462;1120;33;95;
SOMAGLIA ;2770;2111;44;144;
SORDIO ;2404;1499;6;54;
TAVAZZANO CON VILLAVESCO ;4413;3296;55;170;
TERRANOVA DEI PASSERINI ;723;626;12;34;
TURANO LODIGIANO ;1191;946;28;59;
VALERA FRATTA ;1194;766;5;26;
VILLANOVA DEL SILLARO ;1233;972;19;66;
ZELO BUON PERSICO ;5258;3899;66;223;
