

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ANDRIANO/ANDRIAN ;781;443;15;18;
ALDINO/ALDEIN ;1270;658;26;68;
ANTERIVO/ALTREI ;322;185;6;13;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE ;10900;5802;152;340;
AVELENGO/HAFLING ;569;300;16;30;
BADIA/ABTEI ;2641;1519;53;116;
BARBIANO/BARBIAN ;1261;698;41;71;
BOLZANO/BOZEN ;77804;45192;338;1487;
BRAIES/PRAGS ;519;236;14;23;
BRENNERO/BRENNER ;1521;824;34;58;
BRESSANONE/BRIXEN ;15785;8477;231;470;
BRONZOLO/BRANZOLL ;2070;1275;15;63;
BRUNICO/BRUNECK ;11898;5915;174;360;
CAINES/KUENS ;302;163;2;2;
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE ;5901;3084;85;199;
CAMPO DI TRENS/FREIENFELD ;2006;983;61;98;
CAMPO TURES/SAND IN TAUFERS ;4119;2024;146;206;
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS ;1947;867;50;80;
CASTELROTTO/KASTELRUTH ;5007;2541;115;188;
CERMES/TSCHERMS ;1157;608;23;45;
CHIENES/KIENS ;2180;1138;63;131;
CHIUSA/KLAUSEN ;3904;2347;129;230;
CORNEDO ALL'ISARCO/KARNEID ;2506;1399;32;98;
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE ;1762;1033;30;76;
CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE ;493;305;3;19;
CORVARA IN BADIA/CORVARA ;1101;594;16;51;
CURON VENOSTA/GRAUN IM VINSCHGAU ;1991;803;48;76;
DOBBIACO/TOBLACH ;2560;1349;64;95;
EGNA/NEUMARKT ;3884;2159;32;125;
FALZES/PFALZEN ;2099;961;64;96;
FIE' ALLO SCILIAR/VOELS AM SCHLERN ;2560;1418;49;88;
FORTEZZA/FRANZENSFESTE ;643;394;15;29;
FUNES/VILLNOESS ;1964;1141;58;107;
GAIS/GAIS ;2510;1164;78;124;
GARGAZZONE/GARGAZON ;1299;630;16;37;
GLORENZA/GLURNS ;831;326;14;37;
LACES/LATSCH ;3968;1666;69;121;
LAGUNDO/ALGUND ;3878;1890;56;108;
LAION/LAJEN ;1913;1010;50;90;
LAIVES/LEIFERS ;13248;7981;82;382;
LANA/LANA ;8651;4259;156;366;
LASA/LAAS ;3163;1350;77;137;
LAUREGNO/LAUREIN ;260;130;13;15;
LA VALLE/WENGEN ;1024;584;66;98;
LUSON/LUESEN ;1144;543;21;39;
MAGRE' SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE ;917;472;14;23;
MALLES VENOSTA/MALS ;4376;1650;104;164;
MAREBBE/ENNEBERG ;2202;1207;77;130;
MARLENGO/MARLING ;1999;998;36;61;
MARTELLO/MARTELL ;789;333;16;31;
MELTINA/MOELTEN ;1228;660;26;37;
MERANO/MERAN ;28468;14859;208;627;
MONGUELFO-TESIDO/WELSBERG-TAISTEN ;2080;1008;55;84;
MONTAGNA/MONTAN ;1281;709;16;51;
MOSO IN PASSIRIA/MOOS IN PASSEIER ;1680;883;47;72;
NALLES/NALS ;1466;729;20;42;
NATURNO/NATURNS ;4463;1815;68;135;
NAZ-SCIAVES/NATZ-SCHABS ;2171;1225;66;105;
NOVA LEVANTE/WELSCHNOFEN ;1565;715;32;63;
NOVA PONENTE/DEUTSCHNOFEN ;2937;1519;47;120;
ORA/AUER ;2715;1530;27;87;
ORTISEI/ST. ULRICH ;3574;1795;68;119;
PARCINES/PARTSCHINS ;2880;1215;45;81;
PERCA/PERCHA ;1190;589;33;57;
PLAUS/PLAUS ;491;216;11;23;
PONTE GARDENA/WAIDBRUCK ;137;94;6;7;
POSTAL/BURGSTALL ;1412;704;18;40;
PRATO ALLO STELVIO/PRAD AM STILFSER JOCH ;2891;1012;67;94;
PREDOI/PRETTAU ;471;244;20;34;
PROVES/PROVEIS ;213;133;11;14;
RACINES/RATSCHINGS ;3373;1566;77;111;
RASUN ANTERSELVA/RASEN-ANTHOLZ ;2184;1092;73;121;
RENON/RITTEN ;5829;3188;121;267;
RIFIANO/RIFFIAN ;1045;482;30;37;
RIO DI PUSTERIA/MUEHLBACH ;2176;1161;75;111;
RODENGO/RODENECK ;929;462;24;37;
SALORNO/SALURN ;2485;1400;19;71;
SAN CANDIDO/INNICHEN ;2590;1350;49;87;
SAN GENESIO ATESINO/JENESIEN ;2325;1358;63;123;
SAN LEONARDO IN PASSIRIA/ST. LEONHARD IN PASSEIER ;2940;1287;59;125;
SAN LORENZO DI SEBATO/ST. LORENZEN ;2887;1461;63;105;
SAN MARTINO IN BADIA/ST. MARTIN IN THURN ;1346;783;60;99;
SAN MARTINO IN PASSIRIA/ST. MARTIN IN PASSEIER ;2540;1001;75;110;
SAN PANCRAZIO/ST. PANKRAZ ;1263;629;49;77;
SANTA CRISTINA VALGARDENA/ST. CHRISTINA IN GROEDEN ;1454;770;32;61;
SARENTINO/SARNTAL ;5531;2721;169;307;
SCENA/SCHENNA ;2188;1065;61;115;
SELVA DEI MOLINI/MUEHLWALD ;1120;556;42;76;
SELVA DI VAL GARDENA/WOLKENSTEIN IN GROEDEN ;2025;1014;38;60;
SENALES/SCHNALS ;1038;551;36;46;
SENALE-SAN FELICE/UNSERE LIEBE FRAU IM WALDE-ST. FELIX ;618;303;22;36;
SESTO/SEXTEN ;1518;645;20;32;
SILANDRO/SCHLANDERS ;4678;2278;96;166;
SLUDERNO/SCHLUDERNS ;1563;635;21;49;
STELVIO/STILFS ;1013;349;16;24;
TERENTO/TERENTEN ;1317;623;52;63;
TERLANO/TERLAN ;3154;1788;38;95;
TERMENO SULLA STRADA DEL VINO/TRAMIN AN DER WEINSTRASSE ;2562;1357;60;99;
TESIMO/TISENS ;1507;686;36;59;
TIRES/TIERS ;733;433;9;32;
TIROLO/TIROL ;1941;830;20;42;
TRODENA NEL PARCO NATURALE/TRUDEN IM NATURPARK ;815;403;26;63;
TUBRE/TAUFERS IM MUENSTERTAL ;1063;348;19;33;
ULTIMO/ULTEN ;2403;1089;77;134;
VADENA/PFATTEN ;776;441;7;33;
VALDAORA/OLANG ;2384;1198;49;84;
VAL DI VIZZE/PFITSCH ;2170;1066;53;82;
VALLE AURINA/AHRNTAL ;4572;2115;200;286;
VALLE DI CASIES/GSIES ;1735;1011;60;72;
VANDOIES/VINTL ;2574;1224;90;128;
VARNA/VAHRN ;3207;1776;71;137;
VELTURNO/FELDTHURNS ;2080;1175;75;125;
VERANO/VOERAN ;734;377;20;32;
VILLABASSA/NIEDERDORF ;1119;512;23;44;
VILLANDRO/VILLANDERS ;1465;790;50;76;
VIPITENO/STERZING ;5174;2370;77;179;
