

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALBI ;1124;545;47;64;
AMARONI ;2257;1129;92;167;
AMATO ;894;560;81;109;
ANDALI ;740;217;3;17;
ARGUSTO ;577;175;5;12;
BADOLATO ;4203;1280;16;44;
BELCASTRO ;1199;390;3;15;
BORGIA ;6789;2850;29;173;
BOTRICELLO ;3977;3210;261;398;
CARAFFA DI CATANZARO ;1734;847;12;33;
CARDINALE ;2578;730;8;42;
CARLOPOLI ;1549;685;8;34;
CATANZARO ;74537;32000;199;1527;
CENADI ;642;182;2;6;
CENTRACHE ;618;193;2;6;
CERVA ;1112;478;6;17;
CHIARAVALLE CENTRALE ;6500;2053;43;139;
CICALA ;939;381;6;26;
CONFLENTI ;1852;666;6;16;
CORTALE ;2194;1507;121;192;
CROPANI ;3673;3011;260;420;
CURINGA ;6270;2121;25;131;
DAVOLI ;4906;1841;13;89;
DECOLLATURA ;3485;1462;12;61;
FALERNA ;3886;2574;208;309;
FEROLETO ANTICO ;2207;867;11;52;
FOSSATO SERRALTA ;647;430;55;90;
GAGLIATO ;636;369;44;59;
GASPERINA ;2324;793;6;29;
GIMIGLIANO ;3072;2200;155;326;
GIRIFALCO ;6362;2438;38;164;
GIZZERIA ;4500;1694;13;63;
GUARDAVALLE ;4283;1612;22;80;
ISCA SULLO IONIO ;1503;760;14;44;
JACURSO ;791;255;8;13;
LAMEZIA TERME ;59983;23196;279;1356;
MAGISANO ;1197;542;3;25;
MAIDA ;4716;1807;31;86;
MARCEDUSA ;506;235;43;62;
MARCELLINARA ;1979;1553;103;167;
MARTIRANO ;962;391;6;22;
MARTIRANO LOMBARDO ;1201;477;8;36;
MIGLIERINA ;887;559;93;132;
MONTAURO ;1825;679;13;38;
MONTEPAONE ;4623;1910;19;66;
MOTTA SANTA LUCIA ;698;631;61;92;
NOCERA TERINESE ;4656;1950;33;140;
OLIVADI ;615;235;4;8;
PALERMITI ;1593;447;4;14;
PENTONE ;1924;1488;124;193;
PETRIZZI ;1350;428;7;31;
PETRONA' ;2514;928;10;40;
PIANOPOLI ;2470;1546;73;154;
PLATANIA ;2617;801;19;73;
SAN FLORO ;572;499;44;88;
SAN MANGO D'AQUINO ;1458;586;8;33;
SAN PIETRO A MAIDA ;5107;3056;273;367;
SAN PIETRO APOSTOLO ;1675;616;9;32;
SAN SOSTENE ;1277;432;9;43;
SANTA CATERINA DELLO IONIO ;2458;875;10;39;
SANT'ANDREA APOSTOLO DELLO IONIO ;2080;833;11;42;
SAN VITO SULLO IONIO ;2359;575;12;30;
SATRIANO ;4311;1240;12;37;
SELLIA ;489;368;27;37;
SELLIA MARINA ;5631;4643;369;581;
SERRASTRETTA ;3429;1375;35;107;
SERSALE ;4002;1804;20;115;
SETTINGIANO ;2490;1146;17;64;
SIMERI CRICHI ;3889;1628;16;104;
SORBO SAN BASILE ;896;380;7;16;
SOVERATO ;8138;5720;290;574;
SOVERIA MANNELLI ;3095;1587;31;90;
SOVERIA SIMERI ;1466;668;11;34;
SQUILLACE ;3296;2274;141;278;
STALETTI' ;2576;878;5;35;
TAVERNA ;2314;1369;22;61;
TIRIOLO ;3330;1567;21;118;
TORRE DI RUGGIERO ;1748;257;5;16;
VALLEFIORITA ;1963;749;13;50;
ZAGARISE ;1574;1222;104;165;
