

Ente;Liste/Gruppi;Voti;
ABANO TERME;PARTITO DEMOCRATICO;3970;;
ABANO TERME;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1912;;
ABANO TERME;FORZA ITALIA;1580;;
ABANO TERME;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1026;;
ABANO TERME;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;307;;
ABANO TERME;NUOVO CENTRO DESTRA - UDC;263;;
ABANO TERME;L'ALTRA EUROPA CON TSIPRAS;211;;
ABANO TERME;VERDI EUROPEI-GREEN ITALIA;101;;
ABANO TERME;SCELTA EUROPEA;72;;
ABANO TERME;ITALIA DEI VALORI;33;;
ABANO TERME;IO CAMBIO - MAIE;14;;
ABANO TERME;SVP;9;;
AGNA;PARTITO DEMOCRATICO;588;;
AGNA;FORZA ITALIA;420;;
AGNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;418;;
AGNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;319;;
AGNA;NUOVO CENTRO DESTRA - UDC;100;;
AGNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
AGNA;L'ALTRA EUROPA CON TSIPRAS;19;;
AGNA;ITALIA DEI VALORI;18;;
AGNA;VERDI EUROPEI-GREEN ITALIA;12;;
AGNA;SCELTA EUROPEA;10;;
AGNA;SVP;7;;
AGNA;IO CAMBIO - MAIE;5;;
ALBIGNASEGO;PARTITO DEMOCRATICO;4475;;
ALBIGNASEGO;FORZA ITALIA;3229;;
ALBIGNASEGO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2735;;
ALBIGNASEGO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1014;;
ALBIGNASEGO;L'ALTRA EUROPA CON TSIPRAS;366;;
ALBIGNASEGO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;345;;
ALBIGNASEGO;NUOVO CENTRO DESTRA - UDC;309;;
ALBIGNASEGO;VERDI EUROPEI-GREEN ITALIA;127;;
ALBIGNASEGO;SCELTA EUROPEA;99;;
ALBIGNASEGO;ITALIA DEI VALORI;72;;
ALBIGNASEGO;SVP;18;;
ALBIGNASEGO;IO CAMBIO - MAIE;15;;
ANGUILLARA VENETA;PARTITO DEMOCRATICO;885;;
ANGUILLARA VENETA;FORZA ITALIA;530;;
ANGUILLARA VENETA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;524;;
ANGUILLARA VENETA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;337;;
ANGUILLARA VENETA;NUOVO CENTRO DESTRA - UDC;98;;
ANGUILLARA VENETA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;87;;
ANGUILLARA VENETA;L'ALTRA EUROPA CON TSIPRAS;57;;
ANGUILLARA VENETA;ITALIA DEI VALORI;19;;
ANGUILLARA VENETA;SCELTA EUROPEA;18;;
ANGUILLARA VENETA;VERDI EUROPEI-GREEN ITALIA;17;;
ANGUILLARA VENETA;IO CAMBIO - MAIE;12;;
ANGUILLARA VENETA;SVP;2;;
ARQUA' PETRARCA;PARTITO DEMOCRATICO;333;;
ARQUA' PETRARCA;FORZA ITALIA;332;;
ARQUA' PETRARCA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;232;;
ARQUA' PETRARCA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;126;;
ARQUA' PETRARCA;NUOVO CENTRO DESTRA - UDC;67;;
ARQUA' PETRARCA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;65;;
ARQUA' PETRARCA;L'ALTRA EUROPA CON TSIPRAS;21;;
ARQUA' PETRARCA;VERDI EUROPEI-GREEN ITALIA;9;;
ARQUA' PETRARCA;ITALIA DEI VALORI;5;;
ARQUA' PETRARCA;SCELTA EUROPEA;4;;
ARQUA' PETRARCA;IO CAMBIO - MAIE;1;;
ARQUA' PETRARCA;SVP;1;;
ARRE;PARTITO DEMOCRATICO;420;;
ARRE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;237;;
ARRE;FORZA ITALIA;207;;
ARRE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;133;;
ARRE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;36;;
ARRE;NUOVO CENTRO DESTRA - UDC;36;;
ARRE;L'ALTRA EUROPA CON TSIPRAS;23;;
ARRE;VERDI EUROPEI-GREEN ITALIA;15;;
ARRE;ITALIA DEI VALORI;8;;
ARRE;SCELTA EUROPEA;5;;
ARRE;SVP;3;;
ARRE;IO CAMBIO - MAIE;2;;
ARZERGRANDE;PARTITO DEMOCRATICO;835;;
ARZERGRANDE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;560;;
ARZERGRANDE;FORZA ITALIA;398;;
ARZERGRANDE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;367;;
ARZERGRANDE;NUOVO CENTRO DESTRA - UDC;57;;
ARZERGRANDE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;40;;
ARZERGRANDE;L'ALTRA EUROPA CON TSIPRAS;40;;
ARZERGRANDE;VERDI EUROPEI-GREEN ITALIA;31;;
ARZERGRANDE;SCELTA EUROPEA;14;;
ARZERGRANDE;SVP;6;;
ARZERGRANDE;ITALIA DEI VALORI;5;;
ARZERGRANDE;IO CAMBIO - MAIE;2;;
BAGNOLI DI SOPRA;PARTITO DEMOCRATICO;730;;
BAGNOLI DI SOPRA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;440;;
BAGNOLI DI SOPRA;FORZA ITALIA;336;;
BAGNOLI DI SOPRA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;269;;
BAGNOLI DI SOPRA;NUOVO CENTRO DESTRA - UDC;80;;
BAGNOLI DI SOPRA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;47;;
BAGNOLI DI SOPRA;L'ALTRA EUROPA CON TSIPRAS;32;;
BAGNOLI DI SOPRA;VERDI EUROPEI-GREEN ITALIA;23;;
BAGNOLI DI SOPRA;ITALIA DEI VALORI;12;;
BAGNOLI DI SOPRA;IO CAMBIO - MAIE;8;;
BAGNOLI DI SOPRA;SCELTA EUROPEA;5;;
BAGNOLI DI SOPRA;SVP;1;;
BAONE;PARTITO DEMOCRATICO;794;;
BAONE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;390;;
BAONE;FORZA ITALIA;304;;
BAONE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;188;;
BAONE;NUOVO CENTRO DESTRA - UDC;98;;
BAONE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;87;;
BAONE;L'ALTRA EUROPA CON TSIPRAS;81;;
BAONE;VERDI EUROPEI-GREEN ITALIA;16;;
BAONE;ITALIA DEI VALORI;10;;
BAONE;SCELTA EUROPEA;7;;
BAONE;IO CAMBIO - MAIE;5;;
BAONE;SVP;1;;
BARBONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;104;;
BARBONA;PARTITO DEMOCRATICO;103;;
BARBONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;63;;
BARBONA;FORZA ITALIA;60;;
BARBONA;NUOVO CENTRO DESTRA - UDC;15;;
BARBONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
BARBONA;L'ALTRA EUROPA CON TSIPRAS;6;;
BARBONA;SVP;3;;
BARBONA;SCELTA EUROPEA;1;;
BARBONA;ITALIA DEI VALORI;1;;
BARBONA;IO CAMBIO - MAIE;1;;
BARBONA;VERDI EUROPEI-GREEN ITALIA;1;;
BATTAGLIA TERME;PARTITO DEMOCRATICO;1054;;
BATTAGLIA TERME;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;422;;
BATTAGLIA TERME;FORZA ITALIA;274;;
BATTAGLIA TERME;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;172;;
BATTAGLIA TERME;NUOVO CENTRO DESTRA - UDC;98;;
BATTAGLIA TERME;L'ALTRA EUROPA CON TSIPRAS;89;;
BATTAGLIA TERME;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;76;;
BATTAGLIA TERME;VERDI EUROPEI-GREEN ITALIA;27;;
BATTAGLIA TERME;ITALIA DEI VALORI;14;;
BATTAGLIA TERME;IO CAMBIO - MAIE;10;;
BATTAGLIA TERME;SVP;5;;
BATTAGLIA TERME;SCELTA EUROPEA;1;;
BOARA PISANI;PARTITO DEMOCRATICO;575;;
BOARA PISANI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;240;;
BOARA PISANI;FORZA ITALIA;228;;
