

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AFFILE ;1357;782;5;42;
AGOSTA ;1370;855;7;28;
ALBANO LAZIALE ;31163;18624;52;511;
ALLUMIERE ;3345;2293;16;97;
ANGUILLARA SABAZIA ;14161;8249;34;227;
ANTICOLI CORRADO ;752;438;5;15;
ANZIO ;42324;21891;51;506;
ARCINAZZO ROMANO ;1192;645;3;49;
ARDEA ;34870;17110;55;407;
ARICCIA ;14990;8872;32;224;
ARSOLI ;1281;1089;46;107;
ARTENA ;10757;8252;235;629;
BELLEGRA ;2401;1528;6;81;
BRACCIANO ;14385;8379;41;266;
CAMERATA NUOVA ;371;228;1;8;
CAMPAGNANO DI ROMA ;7890;4261;52;127;
CANALE MONTERANO ;3325;2036;2;57;
CANTERANO ;285;188;0;12;
CAPENA ;7322;5390;123;296;
CAPRANICA PRENESTINA ;293;254;2;10;
CARPINETO ROMANO ;4198;3056;95;270;
CASAPE ;580;305;6;13;
CASTEL GANDOLFO ;6813;3976;26;113;
CASTEL MADAMA ;5708;3505;22;121;
CASTELNUOVO DI PORTO ;6379;4490;83;230;
CASTEL SAN PIETRO ROMANO ;709;633;40;69;
CAVE ;8348;6623;186;476;
CERRETO LAZIALE ;870;621;5;16;
CERVARA DI ROMA ;413;200;2;9;
CERVETERI ;28265;15166;59;430;
CIAMPINO ;30366;21930;419;1153;
CICILIANO ;1056;832;33;77;
CINETO ROMANO ;488;322;0;14;
CIVITAVECCHIA ;42750;31817;982;2135;
CIVITELLA SAN PAOLO ;1379;799;7;22;
COLLEFERRO ;17371;10733;57;360;
COLONNA ;3125;2503;46;126;
FIANO ROMANO ;10477;5915;28;164;
FILACCIANO ;391;239;0;12;
FIUMICINO ;55200;28044;81;775;
FONTE NUOVA ;21854;15326;339;987;
FORMELLO ;9418;5169;25;137;
FRASCATI ;17613;12837;255;728;
GALLICANO NEL LAZIO ;4574;2451;17;86;
GAVIGNANO ;1597;1382;69;148;
GENAZZANO ;4751;3785;128;284;
GENZANO DI ROMA ;19070;11537;46;341;
GERANO ;1060;969;53;90;
GORGA ;641;594;62;100;
GROTTAFERRATA ;15656;11345;184;511;
GUIDONIA MONTECELIO ;63706;45347;793;2394;
JENNE ;341;191;2;5;
LABICO ;4537;2526;14;78;
LADISPOLI ;28030;14469;52;378;
LANUVIO ;9924;5690;20;156;
LARIANO ;10161;5424;14;230;
LICENZA ;759;449;3;23;
MAGLIANO ROMANO ;1100;673;7;32;
MANDELA ;720;448;1;13;
MANZIANA ;5948;3458;13;92;
MARANO EQUO ;645;445;1;6;
MARCELLINA ;4892;2584;17;88;
MARINO ;32507;23664;565;1359;
MAZZANO ROMANO ;2332;1204;9;37;
MENTANA ;15881;9056;34;289;
MONTE COMPATRI ;8685;5244;17;138;
MONTEFLAVIO ;1079;699;17;29;
MONTELANICO ;1772;953;7;52;
MONTELIBRETTI ;4105;2570;24;108;
MONTE PORZIO CATONE ;7001;5313;79;242;
MONTEROTONDO ;29945;21466;369;1129;
MONTORIO ROMANO ;1569;1020;8;48;
MORICONE ;2076;1624;53;125;
MORLUPO ;6442;3500;14;100;
NAZZANO ;1096;933;41;79;
NEMI ;1583;957;5;26;
NEROLA ;1480;798;6;49;
NETTUNO ;37808;19102;72;491;
OLEVANO ROMANO ;5378;3199;30;185;
PALESTRINA ;16447;13351;433;1063;
PALOMBARA SABINA ;9862;5725;29;266;
PERCILE ;253;229;32;40;
PISONIANO ;574;447;15;44;
POLI ;1764;1360;41;124;
POMEZIA ;46526;24736;83;626;
PONZANO ROMANO ;922;523;2;15;
RIANO ;7046;3918;7;99;
RIGNANO FLAMINIO ;7006;4342;25;109;
RIOFREDDO ;606;373;6;13;
ROCCA CANTERANO ;178;157;6;10;
ROCCA DI CAVE ;327;182;3;6;
ROCCA DI PAPA ;12349;6761;29;232;
ROCCAGIOVINE ;228;159;2;5;
ROCCA PRIORA ;9123;6907;151;398;
ROCCA SANTO STEFANO ;792;535;6;21;
ROIATE ;659;379;1;15;
ROMA ;2311813;1201878;3569;26649;
ROVIANO ;1118;944;42;93;
SACROFANO ;5200;2949;11;70;
SAMBUCI ;746;624;25;48;
SAN CESAREO ;10512;5952;30;198;
SAN GREGORIO DA SASSOLA ;1309;776;1;31;
SAN POLO DEI CAVALIERI ;2192;1088;8;28;
SANTA MARINELLA ;14593;7619;37;193;
SANT'ANGELO ROMANO ;3419;2514;70;146;
SANT'ORESTE ;2861;2284;64;171;
SAN VITO ROMANO ;2694;2259;66;156;
SARACINESCO ;142;117;3;7;
SEGNI ;7475;5764;183;424;
SUBIACO ;7448;4111;31;213;
TIVOLI ;42397;31566;701;1847;
TOLFA ;4039;2818;37;135;
TORRITA TIBERINA ;856;500;3;22;
TREVIGNANO ROMANO ;4268;2399;9;54;
VALLEPIETRA ;266;247;16;22;
VALLINFREDA ;297;149;2;6;
VALMONTONE ;11552;6417;43;270;
VELLETRI ;41419;22631;104;842;
VICOVARO ;3145;2480;69;164;
VIVARO ROMANO ;162;98;1;4;
ZAGAROLO ;12732;6819;47;273;
