

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACERNO ;2687;1286;20;70;
AGROPOLI ;17456;8204;69;354;
ALBANELLA ;5426;4288;374;524;
ALFANO ;1575;480;21;55;
ALTAVILLA SILENTINA ;5836;2885;33;176;
AMALFI ;4538;2080;29;83;
ANGRI ;26280;13124;114;509;
AQUARA ;1488;715;10;63;
ASCEA ;5163;4035;316;481;
ATENA LUCANA ;2694;896;11;36;
ATRANI ;775;621;35;51;
AULETTA ;2376;1708;195;236;
BARONISSI ;14092;11373;553;1008;
BATTIPAGLIA ;40477;20049;173;816;
BELLIZZI ;10680;9014;505;810;
BELLOSGUARDO ;968;615;60;76;
BRACIGLIANO ;4607;2362;47;131;
BUCCINO ;4934;2170;29;94;
BUONABITACOLO ;2653;1527;117;207;
CAGGIANO ;2945;1974;163;236;
CALVANICO ;1310;790;9;48;
CAMEROTA ;7814;2779;35;110;
CAMPAGNA ;13089;6053;75;272;
CAMPORA ;647;308;26;43;
CANNALONGA ;1306;559;20;29;
CAPACCIO ;17280;7863;106;347;
CASALBUONO ;1466;845;110;124;
CASALETTO SPARTANO ;1624;1057;174;215;
CASAL VELINO ;4353;2091;44;128;
CASELLE IN PITTARI ;2076;1491;264;308;
CASTELCIVITA ;1678;668;13;32;
CASTELLABATE ;8888;3315;33;162;
CASTELNUOVO CILENTO ;2280;1924;179;277;
CASTELNUOVO DI CONZA ;2089;436;48;68;
CASTEL SAN GIORGIO ;11268;6263;77;284;
CASTEL SAN LORENZO ;2651;920;9;36;
CASTIGLIONE DEL GENOVESI ;1076;940;57;99;
CAVA DE' TIRRENI ;45229;23916;328;1378;
CELLE DI BULGHERIA ;2124;931;107;134;
CENTOLA ;5258;1791;25;98;
CERASO ;3174;1130;27;64;
CETARA ;1930;866;11;36;
CICERALE ;1228;920;126;169;
COLLIANO ;3327;1241;39;79;
CONCA DEI MARINI ;624;281;5;11;
CONTRONE ;810;383;6;17;
CONTURSI TERME ;2855;1525;29;50;
CORBARA ;2082;1210;17;83;
CORLETO MONFORTE ;744;284;7;18;
CUCCARO VETERE ;705;441;39;56;
EBOLI ;29120;13484;126;668;
FELITTO ;1499;998;109;162;
FISCIANO ;11392;6440;99;284;
FURORE ;710;517;42;61;
FUTANI ;1424;873;106;130;
GIFFONI SEI CASALI ;4229;2089;53;169;
GIFFONI VALLE PIANA ;10254;4978;77;325;
GIOI ;1910;965;132;177;
GIUNGANO ;1011;883;103;131;
ISPANI ;1130;459;8;26;
LAUREANA CILENTO ;1173;753;75;103;
LAURINO ;1710;650;9;24;
LAURITO ;802;332;14;21;
LAVIANO ;1464;458;9;27;
LUSTRA ;1011;409;7;30;
MAGLIANO VETERE ;1006;562;98;126;
MAIORI ;4978;2262;24;74;
MERCATO SAN SEVERINO ;18278;14906;1047;1594;
MINORI ;2491;2038;158;252;
MOIO DELLA CIVITELLA ;2482;850;21;37;
MONTANO ANTILIA ;2123;1422;154;221;
MONTECORICE ;2802;1020;12;34;
MONTECORVINO PUGLIANO ;8156;4069;42;192;
MONTECORVINO ROVELLA ;10226;4195;58;192;
MONTEFORTE CILENTO ;714;220;3;4;
MONTE SAN GIACOMO ;1740;610;13;42;
MONTESANO SULLA MARCELLANA ;7270;2076;173;238;
MORIGERATI ;1108;482;57;68;
NOCERA INFERIORE ;37807;18352;156;881;
NOCERA SUPERIORE ;19674;16611;1142;1887;
NOVI VELIA ;2261;1694;179;229;
OGLIASTRO CILENTO ;2099;951;11;56;
OLEVANO SUL TUSCIANO ;5585;2410;48;164;
OLIVETO CITRA ;3442;2521;241;359;
OMIGNANO ;1339;1209;156;218;
ORRIA ;1277;422;6;16;
OTTATI ;660;501;56;75;
PADULA ;7274;1705;39;117;
PAGANI ;28394;22470;1485;2431;
PALOMONTE ;3582;1456;33;95;
PELLEZZANO ;9287;7205;330;569;
PERDIFUMO ;1839;728;14;34;
PERITO ;1055;412;4;19;
PERTOSA ;641;338;5;16;
PETINA ;1062;537;17;46;
PIAGGINE ;1851;643;9;22;
PISCIOTTA ;2673;889;9;59;
POLLA ;4771;1888;33;105;
POLLICA ;2139;977;10;55;
PONTECAGNANO FAIANO ;20225;10108;194;443;
POSITANO ;3223;1411;11;58;
POSTIGLIONE ;1927;984;7;53;
PRAIANO ;1822;801;18;44;
PRIGNANO CILENTO ;907;411;4;21;
RAVELLO ;2131;916;15;34;
RICIGLIANO ;1123;945;217;255;
ROCCADASPIDE ;6568;3083;37;140;
ROCCAGLORIOSA ;1898;770;11;49;
ROCCAPIEMONTE ;7531;3921;55;220;
ROFRANO ;1739;1086;145;190;
ROMAGNANO AL MONTE ;334;192;2;19;
ROSCIGNO ;898;585;72;102;
RUTINO ;884;354;4;18;
SACCO ;909;219;3;8;
SALA CONSILINA ;11921;8301;462;805;
SALENTO ;1787;1482;129;189;
SALERNO ;113658;61078;436;2457;
SALVITELLE ;552;415;35;53;
SAN CIPRIANO PICENTINO ;5385;4566;325;541;
SAN GIOVANNI A PIRO ;4450;1376;17;75;
SAN GREGORIO MAGNO ;4472;1716;16;64;
SAN MANGO PIEMONTE ;2075;1173;17;66;
SAN MARZANO SUL SARNO ;7635;3337;15;201;
SAN MAURO CILENTO ;903;666;69;98;
