

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGORDO ;3696;2549;81;189;
ALANO DI PIAVE ;2325;1192;12;41;
ALLEGHE ;1169;824;51;77;
ARSIE' ;3402;1585;52;108;
AURONZO DI CADORE ;2989;1478;16;80;
BELLUNO ;31296;16101;109;448;
BORCA DI CADORE ;653;301;2;9;
CALALZO DI CADORE ;1806;1300;45;114;
CANALE D'AGORDO ;1142;525;3;23;
CENCENIGHE AGORDINO ;1292;507;1;18;
CESIOMAGGIORE ;4451;1745;18;72;
CHIES D'ALPAGO ;1370;894;27;66;
CIBIANA DI CADORE ;451;250;8;15;
COLLE SANTA LUCIA ;368;156;0;2;
COMELICO SUPERIORE ;2189;1476;39;83;
CORTINA D'AMPEZZO ;4830;2507;24;80;
DANTA DI CADORE ;435;308;16;36;
DOMEGGE DI CADORE ;2341;1374;30;77;
FALCADE ;2029;865;4;30;
FARRA D'ALPAGO ;2136;1091;13;31;
FELTRE ;18117;9370;76;297;
FONZASO ;4219;1962;45;123;
FORNO DI ZOLDO ;2557;844;6;37;
GOSALDO ;815;294;1;7;
LAMON ;4047;1330;15;50;
LA VALLE AGORDINA ;1157;711;30;66;
LENTIAI ;3550;1811;52;118;
LIMANA ;4460;3031;91;158;
LIVINALLONGO DEL COL DI LANA ;1167;858;33;64;
LONGARONE ;5624;3216;113;270;
LORENZAGO DI CADORE ;573;389;21;39;
LOZZO DI CADORE ;1225;803;19;57;
MEL ;5863;3570;125;291;
OSPITALE DI CADORE ;267;180;7;18;
PEDAVENA ;4352;2646;67;181;
PERAROLO DI CADORE ;303;218;6;14;
PIEVE D'ALPAGO ;1631;812;10;34;
PIEVE DI CADORE ;3350;1635;8;47;
PONTE NELLE ALPI ;7560;4652;134;320;
PUOS D'ALPAGO ;2201;1482;60;120;
QUERO VAS ;2604;1813;53;154;
RIVAMONTE AGORDINO ;633;331;2;10;
ROCCA PIETORE ;1297;867;35;78;
SAN GREGORIO NELLE ALPI ;1707;731;6;28;
SAN NICOLO' DI COMELICO ;365;313;24;31;
SAN PIETRO DI CADORE ;1451;1058;40;79;
SANTA GIUSTINA ;6382;3926;109;248;
SAN TOMASO AGORDINO ;710;414;21;47;
SANTO STEFANO DI CADORE ;2359;1355;35;95;
SAN VITO DI CADORE ;1516;826;15;42;
SAPPADA ;1182;888;44;81;
SEDICO ;9076;5629;142;361;
SELVA DI CADORE ;458;157;0;9;
SEREN DEL GRAPPA ;2922;1458;60;146;
SOSPIROLO ;3110;1328;17;50;
SOVERZENE ;922;226;2;7;
SOVRAMONTE ;1692;660;3;23;
TAIBON AGORDINO ;1738;1110;44;107;
TAMBRE ;1347;583;6;33;
TRICHIANA ;4409;2870;90;209;
VALLADA AGORDINA ;617;315;13;26;
VALLE DI CADORE ;1841;781;8;31;
VIGO DI CADORE ;1369;607;5;14;
VODO CADORE ;748;354;2;26;
VOLTAGO AGORDINO ;898;499;25;46;
ZOLDO ALTO ;889;289;1;11;
ZOPPE' DI CADORE ;210;93;2;6;
