

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BASTIGLIA ;3053;2337;46;98;
BOMPORTO ;7386;5367;98;221;
CAMPOGALLIANO ;6481;4849;63;160;
CAMPOSANTO ;2312;1581;16;48;
CARPI ;51699;38194;386;1000;
CASTELFRANCO EMILIA ;23708;17591;240;630;
CASTELNUOVO RANGONE ;10795;7610;62;268;
CASTELVETRO DI MODENA ;8385;6134;97;241;
CAVEZZO ;5336;4062;86;169;
CONCORDIA SULLA SECCHIA ;6769;4812;105;209;
FANANO ;2524;1948;67;138;
FINALE EMILIA ;11984;7604;63;225;
FIORANO MODENESE ;13136;9477;159;411;
FIUMALBO ;1110;922;58;117;
FORMIGINE ;26603;19748;296;660;
FRASSINORO ;1975;1316;56;97;
GUIGLIA ;3515;2338;80;144;
LAMA MOCOGNO ;2352;1596;63;121;
MARANELLO ;13157;9631;142;349;
MARANO SUL PANARO ;3682;2662;63;151;
MEDOLLA ;4922;3761;78;151;
MIRANDOLA ;17856;12969;235;486;
MODENA ;135456;99270;1107;2709;
MONTECRETO ;829;650;33;52;
MONTEFIORINO ;1961;1200;10;27;
MONTESE ;2663;1983;80;139;
NONANTOLA ;11871;8799;145;328;
NOVI DI MODENA ;7949;5400;39;117;
PALAGANO ;1846;1131;17;38;
PAVULLO NEL FRIGNANO ;13501;8123;106;296;
PIEVEPELAGO ;2046;1347;55;92;
POLINAGO ;1375;809;20;49;
PRIGNANO SULLA SECCHIA ;3052;2376;86;136;
RAVARINO ;4718;3425;41;97;
RIOLUNATO ;679;530;32;46;
SAN CESARIO SUL PANARO ;4967;3832;57;155;
SAN FELICE SUL PANARO ;8159;6007;93;225;
SAN POSSIDONIO ;2718;2001;55;103;
SAN PROSPERO ;4415;3145;72;128;
SASSUOLO ;30428;22449;391;891;
SAVIGNANO SUL PANARO ;6847;5243;103;183;
SERRAMAZZONI ;6319;3772;41;130;
SESTOLA ;2186;1323;23;50;
SOLIERA ;11629;8885;112;289;
SPILAMBERTO ;8916;6820;121;255;
VIGNOLA ;17757;13334;271;597;
ZOCCA ;3907;2268;27;76;
