

Ente;Liste/Gruppi;Voti;
ACQUANEGRA SUL CHIESE;PARTITO DEMOCRATICO;621;;
ACQUANEGRA SUL CHIESE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;235;;
ACQUANEGRA SUL CHIESE;FORZA ITALIA;232;;
ACQUANEGRA SUL CHIESE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;169;;
ACQUANEGRA SUL CHIESE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;25;;
ACQUANEGRA SUL CHIESE;NUOVO CENTRO DESTRA - UDC;20;;
ACQUANEGRA SUL CHIESE;L'ALTRA EUROPA CON TSIPRAS;13;;
ACQUANEGRA SUL CHIESE;SCELTA EUROPEA;7;;
ACQUANEGRA SUL CHIESE;ITALIA DEI VALORI;6;;
ACQUANEGRA SUL CHIESE;VERDI EUROPEI-GREEN ITALIA;5;;
ACQUANEGRA SUL CHIESE;IO CAMBIO - MAIE;1;;
ASOLA;PARTITO DEMOCRATICO;2020;;
ASOLA;FORZA ITALIA;948;;
ASOLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;797;;
ASOLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;719;;
ASOLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;174;;
ASOLA;NUOVO CENTRO DESTRA - UDC;138;;
ASOLA;L'ALTRA EUROPA CON TSIPRAS;77;;
ASOLA;ITALIA DEI VALORI;43;;
ASOLA;VERDI EUROPEI-GREEN ITALIA;40;;
ASOLA;SCELTA EUROPEA;37;;
ASOLA;IO CAMBIO - MAIE;12;;
BAGNOLO SAN VITO;PARTITO DEMOCRATICO;1390;;
BAGNOLO SAN VITO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;614;;
BAGNOLO SAN VITO;FORZA ITALIA;508;;
BAGNOLO SAN VITO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;355;;
BAGNOLO SAN VITO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;137;;
BAGNOLO SAN VITO;L'ALTRA EUROPA CON TSIPRAS;119;;
BAGNOLO SAN VITO;NUOVO CENTRO DESTRA - UDC;90;;
BAGNOLO SAN VITO;ITALIA DEI VALORI;44;;
BAGNOLO SAN VITO;VERDI EUROPEI-GREEN ITALIA;31;;
BAGNOLO SAN VITO;IO CAMBIO - MAIE;13;;
BAGNOLO SAN VITO;SCELTA EUROPEA;11;;
BIGARELLO;PARTITO DEMOCRATICO;519;;
BIGARELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;295;;
BIGARELLO;FORZA ITALIA;163;;
BIGARELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;144;;
BIGARELLO;NUOVO CENTRO DESTRA - UDC;39;;
BIGARELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;33;;
BIGARELLO;VERDI EUROPEI-GREEN ITALIA;14;;
BIGARELLO;ITALIA DEI VALORI;7;;
BIGARELLO;L'ALTRA EUROPA CON TSIPRAS;7;;
BIGARELLO;SCELTA EUROPEA;6;;
BIGARELLO;IO CAMBIO - MAIE;3;;
BORGOFRANCO SUL PO;PARTITO DEMOCRATICO;200;;
BORGOFRANCO SUL PO;FORZA ITALIA;54;;
BORGOFRANCO SUL PO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;53;;
BORGOFRANCO SUL PO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;49;;
BORGOFRANCO SUL PO;NUOVO CENTRO DESTRA - UDC;17;;
BORGOFRANCO SUL PO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
BORGOFRANCO SUL PO;L'ALTRA EUROPA CON TSIPRAS;6;;
BORGOFRANCO SUL PO;VERDI EUROPEI-GREEN ITALIA;4;;
BORGOFRANCO SUL PO;SCELTA EUROPEA;4;;
BORGOFRANCO SUL PO;ITALIA DEI VALORI;2;;
BORGOFRANCO SUL PO;IO CAMBIO - MAIE;0;;
BORGO VIRGILIO;PARTITO DEMOCRATICO;3534;;
BORGO VIRGILIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1414;;
BORGO VIRGILIO;FORZA ITALIA;996;;
BORGO VIRGILIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;614;;
BORGO VIRGILIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;264;;
BORGO VIRGILIO;NUOVO CENTRO DESTRA - UDC;212;;
BORGO VIRGILIO;L'ALTRA EUROPA CON TSIPRAS;205;;
BORGO VIRGILIO;VERDI EUROPEI-GREEN ITALIA;69;;
BORGO VIRGILIO;ITALIA DEI VALORI;46;;
BORGO VIRGILIO;SCELTA EUROPEA;37;;
BORGO VIRGILIO;IO CAMBIO - MAIE;11;;
BOZZOLO;PARTITO DEMOCRATICO;961;;
BOZZOLO;FORZA ITALIA;388;;
BOZZOLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;377;;
BOZZOLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;357;;
BOZZOLO;NUOVO CENTRO DESTRA - UDC;89;;
BOZZOLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;80;;
BOZZOLO;L'ALTRA EUROPA CON TSIPRAS;46;;
BOZZOLO;VERDI EUROPEI-GREEN ITALIA;21;;
BOZZOLO;ITALIA DEI VALORI;16;;
BOZZOLO;SCELTA EUROPEA;16;;
BOZZOLO;IO CAMBIO - MAIE;9;;
CANNETO SULL'OGLIO;PARTITO DEMOCRATICO;900;;
CANNETO SULL'OGLIO;FORZA ITALIA;442;;
CANNETO SULL'OGLIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;396;;
CANNETO SULL'OGLIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;344;;
CANNETO SULL'OGLIO;NUOVO CENTRO DESTRA - UDC;90;;
CANNETO SULL'OGLIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;75;;
CANNETO SULL'OGLIO;L'ALTRA EUROPA CON TSIPRAS;43;;
CANNETO SULL'OGLIO;SCELTA EUROPEA;19;;
CANNETO SULL'OGLIO;ITALIA DEI VALORI;16;;
CANNETO SULL'OGLIO;VERDI EUROPEI-GREEN ITALIA;13;;
CANNETO SULL'OGLIO;IO CAMBIO - MAIE;4;;
CARBONARA DI PO;PARTITO DEMOCRATICO;410;;
CARBONARA DI PO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;143;;
CARBONARA DI PO;FORZA ITALIA;96;;
CARBONARA DI PO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;57;;
CARBONARA DI PO;NUOVO CENTRO DESTRA - UDC;23;;
CARBONARA DI PO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
CARBONARA DI PO;L'ALTRA EUROPA CON TSIPRAS;9;;
CARBONARA DI PO;ITALIA DEI VALORI;7;;
CARBONARA DI PO;VERDI EUROPEI-GREEN ITALIA;3;;
CARBONARA DI PO;SCELTA EUROPEA;3;;
CARBONARA DI PO;IO CAMBIO - MAIE;1;;
CASALMORO;PARTITO DEMOCRATICO;450;;
CASALMORO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;188;;
CASALMORO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;166;;
CASALMORO;FORZA ITALIA;154;;
CASALMORO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;46;;
CASALMORO;NUOVO CENTRO DESTRA - UDC;21;;
CASALMORO;ITALIA DEI VALORI;13;;
CASALMORO;L'ALTRA EUROPA CON TSIPRAS;10;;
CASALMORO;VERDI EUROPEI-GREEN ITALIA;8;;
CASALMORO;SCELTA EUROPEA;8;;
CASALMORO;IO CAMBIO - MAIE;3;;
CASALOLDO;PARTITO DEMOCRATICO;467;;
CASALOLDO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;271;;
CASALOLDO;FORZA ITALIA;235;;
CASALOLDO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;232;;
CASALOLDO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;51;;
CASALOLDO;NUOVO CENTRO DESTRA - UDC;34;;
CASALOLDO;ITALIA DEI VALORI;19;;
CASALOLDO;L'ALTRA EUROPA CON TSIPRAS;17;;
CASALOLDO;VERDI EUROPEI-GREEN ITALIA;8;;
CASALOLDO;SCELTA EUROPEA;6;;
CASALOLDO;IO CAMBIO - MAIE;4;;
CASALROMANO;PARTITO DEMOCRATICO;290;;
CASALROMANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;153;;
CASALROMANO;FORZA ITALIA;145;;
CASALROMANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;143;;
CASALROMANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;30;;
