

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALBINEA ;6895;5382;74;151;
BAGNOLO IN PIANO ;7024;5368;68;179;
BAISO ;2709;1963;62;107;
BIBBIANO ;7693;5401;78;197;
BORETTO ;4076;2821;87;185;
BRESCELLO ;4399;2815;46;141;
BUSANA ;1064;791;16;46;
CADELBOSCO DI SOPRA ;7681;5604;67;195;
CAMPAGNOLA EMILIA ;4028;3007;47;97;
CAMPEGINE ;3802;2476;14;69;
CARPINETI ;3322;2697;99;161;
CASALGRANDE ;14296;10557;135;381;
CASINA ;3663;2586;30;77;
CASTELLARANO ;11555;7675;52;221;
CASTELNOVO DI SOTTO ;6570;4325;30;118;
CASTELNOVO NE' MONTI ;8283;6218;150;307;
CAVRIAGO ;7596;5600;89;183;
CANOSSA ;2998;1841;14;66;
COLLAGNA ;846;491;6;20;
CORREGGIO ;18588;14245;181;419;
FABBRICO ;4642;3582;56;123;
GATTATICO ;4595;3402;61;162;
GUALTIERI ;5201;3656;51;151;
GUASTALLA ;11262;8274;162;438;
LIGONCHIO ;764;619;20;41;
LUZZARA ;6497;4368;32;124;
MONTECCHIO EMILIA ;8063;6162;104;251;
NOVELLARA ;9870;7587;112;267;
POVIGLIO ;5544;4003;76;187;
QUATTRO CASTELLA ;10360;7929;115;282;
RAMISETO ;1173;749;16;39;
REGGIOLO ;6752;5199;100;215;
REGGIO NELL'EMILIA ;119533;85896;926;2552;
RIO SALICETO ;4451;3443;48;131;
ROLO ;2876;2132;42;84;
RUBIERA ;10964;8258;112;286;
SAN MARTINO IN RIO ;5944;4240;36;128;
SAN POLO D'ENZA ;4581;2992;20;74;
SANT'ILARIO D'ENZA ;8505;6334;82;242;
SCANDIANO ;19714;15012;192;437;
TOANO ;3466;2550;68;137;
VETTO ;1601;1314;67;96;
VEZZANO SUL CROSTOLO ;3396;2672;47;102;
VIANO ;2748;2112;67;126;
VILLA MINOZZO ;3465;2460;71;142;
