

Ente;Liste/Gruppi;Voti;
FABRIZIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;31;;
FABRIZIA;ITALIA DEI VALORI;4;;
FABRIZIA;SCELTA EUROPEA;2;;
FABRIZIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
FABRIZIA;IO CAMBIO - MAIE;1;;
FABRIZIA;VERDI EUROPEI-GREEN ITALIA;0;;
FILADELFIA;PARTITO DEMOCRATICO;1127;;
FILADELFIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;361;;
FILADELFIA;NUOVO CENTRO DESTRA - UDC;292;;
FILADELFIA;FORZA ITALIA;263;;
FILADELFIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
FILADELFIA;L'ALTRA EUROPA CON TSIPRAS;30;;
FILADELFIA;SCELTA EUROPEA;17;;
FILADELFIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
FILADELFIA;ITALIA DEI VALORI;5;;
FILADELFIA;IO CAMBIO - MAIE;4;;
FILADELFIA;VERDI EUROPEI-GREEN ITALIA;2;;
FILANDARI;FORZA ITALIA;407;;
FILANDARI;PARTITO DEMOCRATICO;254;;
FILANDARI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;161;;
FILANDARI;NUOVO CENTRO DESTRA - UDC;118;;
FILANDARI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;42;;
FILANDARI;L'ALTRA EUROPA CON TSIPRAS;12;;
FILANDARI;ITALIA DEI VALORI;9;;
FILANDARI;SCELTA EUROPEA;5;;
FILANDARI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
FILANDARI;IO CAMBIO - MAIE;3;;
FILANDARI;VERDI EUROPEI-GREEN ITALIA;2;;
FILOGASO;PARTITO DEMOCRATICO;239;;
FILOGASO;NUOVO CENTRO DESTRA - UDC;91;;
FILOGASO;FORZA ITALIA;64;;
FILOGASO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;35;;
FILOGASO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
FILOGASO;SCELTA EUROPEA;5;;
FILOGASO;VERDI EUROPEI-GREEN ITALIA;4;;
FILOGASO;L'ALTRA EUROPA CON TSIPRAS;2;;
FILOGASO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;2;;
FILOGASO;ITALIA DEI VALORI;1;;
FILOGASO;IO CAMBIO - MAIE;0;;
FRANCAVILLA ANGITOLA;PARTITO DEMOCRATICO;284;;
FRANCAVILLA ANGITOLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;110;;
FRANCAVILLA ANGITOLA;FORZA ITALIA;101;;
FRANCAVILLA ANGITOLA;NUOVO CENTRO DESTRA - UDC;98;;
FRANCAVILLA ANGITOLA;SCELTA EUROPEA;13;;
FRANCAVILLA ANGITOLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
FRANCAVILLA ANGITOLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;9;;
FRANCAVILLA ANGITOLA;ITALIA DEI VALORI;4;;
FRANCAVILLA ANGITOLA;VERDI EUROPEI-GREEN ITALIA;3;;
FRANCAVILLA ANGITOLA;L'ALTRA EUROPA CON TSIPRAS;3;;
FRANCAVILLA ANGITOLA;IO CAMBIO - MAIE;1;;
FRANCICA;FORZA ITALIA;153;;
FRANCICA;PARTITO DEMOCRATICO;103;;
FRANCICA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;85;;
FRANCICA;NUOVO CENTRO DESTRA - UDC;59;;
FRANCICA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;36;;
FRANCICA;SCELTA EUROPEA;3;;
FRANCICA;IO CAMBIO - MAIE;2;;
