

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGLIANO TERME ;1461;954;72;106;
ALBUGNANO ;394;296;14;23;
ANTIGNANO ;887;636;37;64;
ARAMENGO ;521;347;19;29;
ASTI ;58986;34424;459;1671;
AZZANO D'ASTI ;340;256;4;8;
BALDICHIERI D'ASTI ;795;544;29;58;
BELVEGLIO ;269;193;10;18;
BERZANO DI SAN PIETRO ;332;289;11;23;
BRUNO ;351;245;17;23;
BUBBIO ;754;574;44;95;
BUTTIGLIERA D'ASTI ;2135;1534;49;107;
CALAMANDRANA ;1434;1102;76;118;
CALLIANO ;1173;832;68;99;
CALOSSO ;1062;763;62;102;
CAMERANO CASASCO ;366;287;16;29;
CANELLI ;8037;5656;233;486;
CANTARANA ;756;596;34;88;
CAPRIGLIO ;226;172;1;9;
CASORZO ;557;356;5;32;
CASSINASCO ;504;351;19;42;
CASTAGNOLE DELLE LANZE ;3025;2261;109;215;
CASTAGNOLE MONFERRATO ;1053;550;8;47;
CASTEL BOGLIONE ;508;360;34;58;
CASTELL'ALFERO ;2302;1732;73;148;
CASTELLERO ;289;212;9;17;
CASTELLETTO MOLINA ;129;118;11;15;
CASTELLO DI ANNONE ;1551;1077;43;105;
CASTELNUOVO BELBO ;760;431;9;32;
CASTELNUOVO CALCEA ;681;485;34;67;
CASTELNUOVO DON BOSCO ;2643;1782;82;166;
CASTEL ROCCHERO ;333;211;13;20;
CELLARENGO ;596;435;14;40;
CELLE ENOMONDO ;402;339;22;36;
CERRETO D'ASTI ;181;108;1;10;
CERRO TANARO ;634;401;11;26;
CESSOLE ;370;259;26;50;
CHIUSANO D'ASTI ;196;144;7;13;
CINAGLIO ;366;265;14;27;
CISTERNA D'ASTI ;955;829;52;95;
COAZZOLO ;250;187;7;15;
COCCONATO ;1195;918;45;81;
CORSIONE ;157;142;15;24;
CORTANDONE ;275;196;12;21;
CORTANZE ;222;146;5;6;
CORTAZZONE ;521;382;20;46;
CORTIGLIONE ;489;363;23;39;
COSSOMBRATO ;402;290;14;30;
COSTIGLIOLE D'ASTI ;4841;3496;187;351;
CUNICO ;397;303;15;24;
DUSINO SAN MICHELE ;835;586;22;63;
FERRERE ;1252;1016;61;113;
FONTANILE ;471;381;27;52;
FRINCO ;586;478;38;71;
GRANA ;544;411;44;74;
GRAZZANO BADOGLIO ;508;340;23;30;
INCISA SCAPACCINO ;1825;1326;87;145;
ISOLA D'ASTI ;1735;1288;75;135;
LOAZZOLO ;320;221;23;39;
MARANZANA ;240;186;19;35;
MARETTO ;315;251;15;27;
MOASCA ;404;342;19;32;
MOMBALDONE ;200;165;15;24;
MOMBARUZZO ;1031;654;49;85;
MOMBERCELLI ;1970;1107;32;90;
MONALE ;770;658;33;64;
MONASTERO BORMIDA ;818;538;22;50;
MONCALVO ;2522;1904;94;150;
MONCUCCO TORINESE ;714;514;27;50;
MONGARDINO ;820;622;39;66;
MONTABONE ;301;251;21;34;
MONTAFIA ;783;608;31;65;
MONTALDO SCARAMPI ;616;498;41;69;
MONTECHIARO D'ASTI ;1056;867;52;88;
MONTEGROSSO D'ASTI ;1919;1175;25;72;
MONTEMAGNO ;1040;639;39;58;
MONTIGLIO MONFERRATO ;1428;835;20;43;
MORANSENGO ;180;133;10;21;
NIZZA MONFERRATO ;8065;4670;90;283;
OLMO GENTILE ;105;40;3;4;
PASSERANO MARMORITO ;374;284;17;31;
PENANGO ;442;345;20;28;
PIEA ;486;349;20;40;
PINO D'ASTI ;167;145;9;15;
PIOVA' MASSAIA ;514;311;3;17;
PORTACOMARO ;1704;1260;53;93;
QUARANTI ;165;112;1;5;
REFRANCORE ;1395;965;35;87;
REVIGLIASCO D'ASTI ;735;600;34;64;
ROATTO ;327;228;9;17;
ROBELLA ;539;320;16;26;
ROCCA D'ARAZZO ;849;629;38;65;
ROCCAVERANO ;549;312;31;56;
ROCCHETTA PALAFEA ;314;221;30;41;
ROCCHETTA TANARO ;1224;910;53;88;
SAN DAMIANO D'ASTI ;6096;4605;272;542;
SAN GIORGIO SCARAMPI ;116;75;13;18;
SAN MARTINO ALFIERI ;572;444;19;39;
SAN MARZANO OLIVETO ;980;689;37;65;
SAN PAOLO SOLBRITO ;963;622;11;27;
SCURZOLENGO ;472;284;7;13;
SEROLE ;115;94;18;23;
SESSAME ;228;170;9;16;
SETTIME ;399;328;16;26;
SOGLIO ;145;120;6;15;
TIGLIOLE ;1444;1113;57;114;
TONCO ;741;410;5;26;
TONENGO ;190;97;2;6;
VAGLIO SERRA ;235;159;6;11;
VALFENERA ;1922;1243;33;96;
VESIME ;563;261;8;23;
VIALE D'ASTI ;207;166;9;21;
VIARIGI ;836;633;62;89;
VIGLIANO D'ASTI ;728;479;23;46;
VILLAFRANCA D'ASTI ;2398;1764;75;130;
VILLANOVA D'ASTI ;4363;2717;38;151;
VILLA SAN SECONDO ;339;241;16;24;
VINCHIO ;553;399;36;51;
