

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALA ;6670;3848;32;143;
ALBIANO ;1267;575;5;24;
ALDENO ;2414;1457;10;42;
AMBLAR ;234;96;3;8;
ANDALO ;872;373;5;18;
ARCO ;13503;7361;61;226;
AVIO ;3298;1796;22;84;
BASELGA DI PINE' ;4147;2040;27;96;
BEDOLLO ;1302;640;9;36;
BERSONE ;265;119;2;4;
BESENELLO ;2178;1232;6;42;
BIENO ;377;186;6;16;
BLEGGIO SUPERIORE ;1270;668;4;26;
BOCENAGO ;335;224;4;10;
BOLBENO ;274;168;0;5;
BONDO ;600;340;4;13;
BONDONE ;590;305;2;5;
BORGO VALSUGANA ;5870;2802;25;97;
BOSENTINO ;742;400;6;18;
BREGUZZO ;505;260;2;8;
BRENTONICO ;3066;1882;15;55;
BRESIMO ;222;118;9;18;
BREZ ;606;290;11;23;
BRIONE ;118;71;0;8;
CADERZONE TERME ;491;287;4;11;
CAGNO' ;323;165;3;8;
CALAVINO ;1105;661;7;21;
CALCERANICA AL LAGO ;1102;576;3;26;
CALDES ;872;438;11;23;
CALDONAZZO ;3069;1605;10;59;
CALLIANO ;1423;756;4;20;
CAMPITELLO DI FASSA ;579;269;5;16;
CAMPODENNO ;1238;630;8;22;
CANAL SAN BOVO ;1679;617;14;52;
CANAZEI ;1504;698;14;58;
CAPRIANA ;477;244;5;12;
CARANO ;840;358;8;18;
CARISOLO ;785;392;10;21;
CARZANO ;439;236;3;11;
CASTELFONDO ;503;245;5;15;
CASTEL CONDINO ;205;126;2;4;
CASTELLO-MOLINA DI FIEMME ;1859;875;13;40;
CASTELLO TESINO ;1224;561;5;22;
CASTELNUOVO ;1036;428;11;26;
CAVALESE ;3082;1487;19;68;
CAVARENO ;772;395;3;19;
CAVEDAGO ;486;195;2;12;
CAVEDINE ;2557;1325;17;77;
CAVIZZANA ;204;119;1;9;
CEMBRA ;1580;704;7;42;
CENTA SAN NICOLO' ;640;273;2;10;
CIMEGO ;341;188;4;10;
CIMONE ;568;338;3;6;
CINTE TESINO ;373;195;6;17;
CIS ;284;159;1;8;
CIVEZZANO ;3193;1651;8;51;
CLES ;5282;2798;26;119;
CLOZ ;553;313;5;14;
COMANO TERME ;2223;1160;15;36;
COMMEZZADURA ;798;338;10;21;
CONDINO ;1203;602;11;21;
COREDO ;1289;647;5;36;
CROVIANA ;505;268;1;5;
CUNEVO ;472;261;11;18;
DAIANO ;571;212;2;14;
DAMBEL ;367;188;2;7;
DAONE ;535;234;3;15;
DARE' ;191;100;0;5;
DENNO ;984;608;7;16;
DIMARO ;1146;497;4;18;
DON ;205;112;3;8;
DORSINO ;369;188;0;2;
DRENA ;485;276;3;9;
DRO' ;3651;1937;14;74;
FAEDO ;521;272;3;9;
FAI DELLA PAGANELLA ;769;370;3;16;
FAVER ;662;324;3;8;
FIAVE' ;856;492;5;25;
FIERA DI PRIMIERO ;417;229;3;14;
FIEROZZO ;394;190;3;8;
FLAVON ;420;214;0;8;
FOLGARIA ;2754;1514;5;59;
FONDO ;1078;481;5;13;
FORNACE ;1164;558;8;30;
FRASSILONGO ;321;102;0;11;
GARNIGA TERME ;335;179;0;2;
GIOVO ;2108;1178;12;59;
GIUSTINO ;589;321;8;16;
GRAUNO ;137;76;3;5;
GRIGNO ;2106;964;11;46;
GRUMES ;421;229;1;11;
IMER ;1080;481;8;27;
ISERA ;2217;1279;7;33;
IVANO-FRACENA ;265;134;3;11;
LASINO ;1083;628;7;47;
LARDARO ;206;93;2;6;
LAVARONE ;1162;534;3;15;
LAVIS ;6512;3718;26;135;
