

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
CAPRIVA DEL FRIULI ;1614;1061;41;88;
CORMONS ;6786;3646;23;124;
DOBERDO' DEL LAGO ;1213;910;24;48;
DOLEGNA DEL COLLIO ;410;229;8;27;
FARRA D'ISONZO ;1528;1049;35;70;
FOGLIANO REDIPUGLIA ;2592;1852;32;102;
GORIZIA ;29598;15882;116;531;
GRADISCA D'ISONZO ;5595;3929;77;189;
GRADO ;7218;3930;28;150;
MARIANO DEL FRIULI ;1399;944;15;44;
MEDEA ;930;667;20;34;
MONFALCONE ;20734;11470;56;342;
MORARO ;637;312;1;8;
MOSSA ;1417;1021;55;103;
ROMANS D'ISONZO ;3253;1931;14;63;
RONCHI DEI LEGIONARI ;9826;5668;29;160;
SAGRADO ;1892;1145;11;35;
SAN CANZIAN D'ISONZO ;5225;3087;15;114;
SAN FLORIANO DEL COLLIO ;712;535;29;41;
SAN LORENZO ISONTINO ;1409;984;29;67;
SAN PIER D'ISONZO ;1706;1092;6;25;
SAVOGNA D'ISONZO ;1442;1043;36;78;
STARANZANO ;5916;4261;67;193;
TURRIACO ;2335;1711;24;81;
VILLESSE ;1508;880;8;29;
