

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGRATE CONTURBIA ;1270;936;26;62;
AMENO ;788;452;12;22;
ARMENO ;1967;1364;72;149;
ARONA ;11811;7196;65;265;
BARENGO ;747;604;43;72;
BELLINZAGO NOVARESE ;7805;5651;175;460;
BIANDRATE ;932;545;12;33;
BOCA ;1186;611;18;47;
BOGOGNO ;1094;695;16;32;
BOLZANO NOVARESE ;1031;732;37;80;
BORGOLAVEZZARO ;1787;1250;42;108;
BORGOMANERO ;17030;10445;158;629;
BORGO TICINO ;3927;2067;28;130;
BRIGA NOVARESE ;2529;1840;57;166;
BRIONA ;979;705;47;82;
CALTIGNAGA ;2128;1637;44;116;
CAMERI ;8678;6476;157;424;
CARPIGNANO SESIA ;2082;1568;108;187;
CASALBELTRAME ;810;587;18;80;
CASALEGGIO NOVARA ;778;552;15;38;
CASALINO ;1349;1054;40;90;
CASALVOLONE ;670;418;7;19;
CASTELLAZZO NOVARESE ;248;205;12;20;
CASTELLETTO SOPRA TICINO ;7951;5454;137;334;
CAVAGLIETTO ;349;255;9;25;
CAVAGLIO D'AGOGNA ;1039;641;9;39;
CAVALLIRIO ;1088;880;30;70;
CERANO ;5292;3953;156;331;
COLAZZA ;364;287;7;20;
COMIGNAGO ;995;598;7;31;
CRESSA ;1367;917;27;72;
CUREGGIO ;2207;1723;61;150;
DIVIGNANO ;1167;670;8;34;
DORMELLETTO ;2092;1466;46;96;
FARA NOVARESE ;1671;1296;57;112;
FONTANETO D'AGOGNA ;2556;1672;101;170;
GALLIATE ;12144;8345;174;576;
GARBAGNA NOVARESE ;1132;877;34;99;
GARGALLO ;1499;1200;82;151;
GATTICO ;2853;1979;66;164;
GHEMME ;3066;2215;78;152;
GOZZANO ;4480;3192;135;257;
GRANOZZO CON MONTICELLO ;1183;736;15;54;
GRIGNASCO ;3934;2834;94;247;
INVORIO ;3711;2234;31;133;
LANDIONA ;488;279;11;26;
LESA ;1900;1403;52;88;
MAGGIORA ;1514;784;11;44;
MANDELLO VITTA ;216;164;16;36;
MARANO TICINO ;1252;1034;44;96;
MASSINO VISCONTI ;941;736;40;57;
MEINA ;2026;1565;45;103;
MEZZOMERICO ;928;601;7;20;
MIASINO ;813;459;12;23;
MOMO ;2173;1580;68;151;
NEBBIUNO ;1538;937;14;34;
NIBBIOLA ;698;433;4;20;
NOVARA ;78634;49697;510;2231;
OLEGGIO ;10991;7667;196;486;
OLEGGIO CASTELLO ;1651;1249;39;95;
ORTA SAN GIULIO ;1020;711;26;57;
PARUZZARO ;1730;1312;42;99;
PELLA ;852;672;36;72;
PETTENASCO ;1173;693;10;47;
PISANO ;656;491;21;36;
POGNO ;1181;946;49;112;
POMBIA ;1701;991;13;43;
PRATO SESIA ;1662;1181;45;94;
RECETTO ;730;585;41;58;
ROMAGNANO SESIA ;3310;2405;71;176;
ROMENTINO ;4154;3152;126;280;
SAN MAURIZIO D'OPAGLIO ;2481;1999;93;193;
SAN NAZZARO SESIA ;631;378;7;19;
SAN PIETRO MOSEZZO ;1587;1232;32;101;
SILLAVENGO ;497;406;45;71;
SIZZANO ;1217;957;57;97;
SORISO ;591;381;9;28;
SOZZAGO ;887;614;42;81;
SUNO ;2391;1379;38;85;
TERDOBBIATE ;430;340;21;41;
TORNACO ;775;625;33;56;
TRECATE ;14426;8890;88;457;
VAPRIO D'AGOGNA ;863;692;31;68;
VARALLO POMBIA ;3996;2364;22;103;
VERUNO ;1549;1234;44;121;
VESPOLATE ;1802;1348;45;95;
VICOLUNGO ;688;534;32;80;
VINZAGLIO ;482;291;5;12;
