

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUACANINA ;120;92;9;16;
APIRO ;2333;1502;99;159;
APPIGNANO ;3552;2698;140;227;
BELFORTE DEL CHIENTI ;1579;1215;53;89;
BOLOGNOLA ;132;60;3;6;
CALDAROLA ;1499;1153;51;111;
CAMERINO ;5891;4182;160;311;
CAMPOROTONDO DI FIASTRONE ;470;310;17;24;
CASTELRAIMONDO ;4186;2197;29;106;
CASTELSANTANGELO SUL NERA ;269;203;10;15;
CESSAPALOMBO ;484;313;24;39;
CINGOLI ;10350;6438;325;555;
CIVITANOVA MARCHE ;34208;18325;192;621;
COLMURANO ;1248;824;42;68;
CORRIDONIA ;12695;6949;77;268;
ESANATOGLIA ;1795;1080;15;55;
FIASTRA ;479;380;30;38;
FIORDIMONTE ;177;149;9;17;
FIUMINATA ;1353;982;38;65;
GAGLIOLE ;646;302;2;12;
GUALDO ;738;548;55;80;
LORO PICENO ;2260;1597;117;146;
MACERATA ;35867;20163;150;510;
MATELICA ;8914;6230;180;421;
MOGLIANO ;4255;3019;225;323;
MONTECASSIANO ;6392;4390;192;339;
MONTE CAVALLO ;112;80;3;7;
MONTECOSARO ;5683;4088;142;262;
MONTEFANO ;3003;2115;102;166;
MONTELUPONE ;3412;2036;90;139;
MONTE SAN GIUSTO ;5846;4196;182;316;
MONTE SAN MARTINO ;650;520;29;45;
MORROVALLE ;8628;4647;64;217;
MUCCIA ;749;450;4;11;
PENNA SAN GIOVANNI ;1054;467;14;39;
PETRIOLO ;1847;934;13;33;
PIEVEBOVIGLIANA ;726;574;26;47;
PIEVE TORINA ;1125;928;62;108;
PIORACO ;1070;731;25;49;
POGGIO SAN VICINO ;232;152;16;23;
POLLENZA ;5743;3925;160;272;
PORTO RECANATI ;9406;6113;170;369;
POTENZA PICENA ;13852;8808;282;559;
RECANATI ;19374;12839;424;822;
RIPE SAN GINESIO ;885;575;41;53;
SAN GINESIO ;3506;1660;20;66;
SAN SEVERINO MARCHE ;12344;6060;89;305;
SANT'ANGELO IN PONTANO ;1247;920;70;106;
SARNANO ;2811;2131;135;206;
SEFRO ;373;302;21;34;
SERRAPETRONA ;963;676;35;54;
SERRAVALLE DI CHIENTI ;904;714;57;91;
TOLENTINO ;16782;9589;93;329;
TREIA ;9080;5781;286;505;
URBISAGLIA ;2440;1588;63;121;
USSITA ;345;296;12;24;
VISSO ;987;815;41;77;
