

Ente;Liste/Gruppi;Voti;
ACQUAVIVA DELLE FONTI;PARTITO DEMOCRATICO;2974;;
ACQUAVIVA DELLE FONTI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2026;;
ACQUAVIVA DELLE FONTI;FORZA ITALIA;1954;;
ACQUAVIVA DELLE FONTI;L'ALTRA EUROPA CON TSIPRAS;433;;
ACQUAVIVA DELLE FONTI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;269;;
ACQUAVIVA DELLE FONTI;NUOVO CENTRO DESTRA - UDC;165;;
ACQUAVIVA DELLE FONTI;SCELTA EUROPEA;47;;
ACQUAVIVA DELLE FONTI;VERDI EUROPEI-GREEN ITALIA;41;;
ACQUAVIVA DELLE FONTI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;39;;
ACQUAVIVA DELLE FONTI;ITALIA DEI VALORI;24;;
ACQUAVIVA DELLE FONTI;IO CAMBIO - MAIE;11;;
ADELFIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2113;;
ADELFIA;PARTITO DEMOCRATICO;2038;;
ADELFIA;FORZA ITALIA;1170;;
ADELFIA;L'ALTRA EUROPA CON TSIPRAS;459;;
ADELFIA;SCELTA EUROPEA;211;;
ADELFIA;NUOVO CENTRO DESTRA - UDC;179;;
ADELFIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;165;;
ADELFIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;26;;
ADELFIA;ITALIA DEI VALORI;23;;
ADELFIA;VERDI EUROPEI-GREEN ITALIA;23;;
ADELFIA;IO CAMBIO - MAIE;11;;
ALBEROBELLO;PARTITO DEMOCRATICO;1727;;
ALBEROBELLO;FORZA ITALIA;1032;;
ALBEROBELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;870;;
ALBEROBELLO;NUOVO CENTRO DESTRA - UDC;292;;
ALBEROBELLO;L'ALTRA EUROPA CON TSIPRAS;270;;
ALBEROBELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;102;;
ALBEROBELLO;VERDI EUROPEI-GREEN ITALIA;40;;
ALBEROBELLO;ITALIA DEI VALORI;36;;
ALBEROBELLO;SCELTA EUROPEA;18;;
ALBEROBELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;14;;
ALBEROBELLO;IO CAMBIO - MAIE;11;;
