

Ente;Liste/Gruppi;Voti;
CASTELNUOVO DI GARFAGNANA;L'ALTRA EUROPA CON TSIPRAS;114;;
CASTELNUOVO DI GARFAGNANA;NUOVO CENTRO DESTRA - UDC;104;;
CASTELNUOVO DI GARFAGNANA;ITALIA DEI VALORI;31;;
CASTELNUOVO DI GARFAGNANA;VERDI EUROPEI-GREEN ITALIA;17;;
CASTELNUOVO DI GARFAGNANA;SCELTA EUROPEA;13;;
CASTELNUOVO DI GARFAGNANA;IO CAMBIO - MAIE;11;;
CASTIGLIONE DI GARFAGNANA;PARTITO DEMOCRATICO;631;;
CASTIGLIONE DI GARFAGNANA;FORZA ITALIA;226;;
CASTIGLIONE DI GARFAGNANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;146;;
CASTIGLIONE DI GARFAGNANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;64;;
CASTIGLIONE DI GARFAGNANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
CASTIGLIONE DI GARFAGNANA;NUOVO CENTRO DESTRA - UDC;37;;
CASTIGLIONE DI GARFAGNANA;L'ALTRA EUROPA CON TSIPRAS;32;;
CASTIGLIONE DI GARFAGNANA;VERDI EUROPEI-GREEN ITALIA;13;;
CASTIGLIONE DI GARFAGNANA;ITALIA DEI VALORI;10;;
CASTIGLIONE DI GARFAGNANA;IO CAMBIO - MAIE;5;;
CASTIGLIONE DI GARFAGNANA;SCELTA EUROPEA;3;;
COREGLIA ANTELMINELLI;PARTITO DEMOCRATICO;1511;;
COREGLIA ANTELMINELLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;444;;
COREGLIA ANTELMINELLI;FORZA ITALIA;305;;
COREGLIA ANTELMINELLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;87;;
COREGLIA ANTELMINELLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;68;;
COREGLIA ANTELMINELLI;L'ALTRA EUROPA CON TSIPRAS;58;;
COREGLIA ANTELMINELLI;NUOVO CENTRO DESTRA - UDC;46;;
COREGLIA ANTELMINELLI;ITALIA DEI VALORI;14;;
COREGLIA ANTELMINELLI;SCELTA EUROPEA;6;;
COREGLIA ANTELMINELLI;VERDI EUROPEI-GREEN ITALIA;6;;
COREGLIA ANTELMINELLI;IO CAMBIO - MAIE;6;;
FABBRICHE DI VERGEMOLI;PARTITO DEMOCRATICO;247;;
FABBRICHE DI VERGEMOLI;FORZA ITALIA;118;;
FABBRICHE DI VERGEMOLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;72;;
