

Ente;Liste/Gruppi;Voti;
BAGNOLO PIEMONTE;IO CAMBIO - MAIE;9;;
BALDISSERO D'ALBA;PARTITO DEMOCRATICO;204;;
BALDISSERO D'ALBA;FORZA ITALIA;183;;
BALDISSERO D'ALBA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;147;;
BALDISSERO D'ALBA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;64;;
BALDISSERO D'ALBA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;26;;
BALDISSERO D'ALBA;NUOVO CENTRO DESTRA - UDC;15;;
BALDISSERO D'ALBA;L'ALTRA EUROPA CON TSIPRAS;14;;
BALDISSERO D'ALBA;VERDI EUROPEI-GREEN ITALIA;9;;
BALDISSERO D'ALBA;ITALIA DEI VALORI;3;;
BALDISSERO D'ALBA;SCELTA EUROPEA;2;;
BALDISSERO D'ALBA;IO CAMBIO - MAIE;1;;
BARBARESCO;PARTITO DEMOCRATICO;92;;
BARBARESCO;FORZA ITALIA;84;;
BARBARESCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;69;;
BARBARESCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;26;;
BARBARESCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;21;;
BARBARESCO;VERDI EUROPEI-GREEN ITALIA;5;;
BARBARESCO;L'ALTRA EUROPA CON TSIPRAS;4;;
BARBARESCO;ITALIA DEI VALORI;3;;
BARBARESCO;NUOVO CENTRO DESTRA - UDC;3;;
BARBARESCO;IO CAMBIO - MAIE;2;;
BARBARESCO;SCELTA EUROPEA;0;;
BARGE;PARTITO DEMOCRATICO;1018;;
BARGE;FORZA ITALIA;871;;
BARGE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;538;;
BARGE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;393;;
BARGE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;203;;
BARGE;NUOVO CENTRO DESTRA - UDC;174;;
BARGE;L'ALTRA EUROPA CON TSIPRAS;95;;
BARGE;SCELTA EUROPEA;27;;
BARGE;ITALIA DEI VALORI;25;;
BARGE;VERDI EUROPEI-GREEN ITALIA;20;;
BARGE;IO CAMBIO - MAIE;12;;
BAROLO;FORZA ITALIA;153;;
BAROLO;PARTITO DEMOCRATICO;121;;
BAROLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;51;;
BAROLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;31;;
BAROLO;VERDI EUROPEI-GREEN ITALIA;26;;
BAROLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
BAROLO;NUOVO CENTRO DESTRA - UDC;15;;
BAROLO;L'ALTRA EUROPA CON TSIPRAS;11;;
BAROLO;SCELTA EUROPEA;7;;
BAROLO;ITALIA DEI VALORI;3;;
BAROLO;IO CAMBIO - MAIE;1;;
BASTIA MONDOVI';PARTITO DEMOCRATICO;108;;
BASTIA MONDOVI';FORZA ITALIA;42;;
BASTIA MONDOVI';MOVIMENTO 5 STELLE BEPPEGRILLO.IT;37;;
BASTIA MONDOVI';LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;33;;
BASTIA MONDOVI';NUOVO CENTRO DESTRA - UDC;17;;
BASTIA MONDOVI';FRATELLI D'ITALIA - ALLEANZA NAZIONALE;15;;
BASTIA MONDOVI';L'ALTRA EUROPA CON TSIPRAS;8;;
BASTIA MONDOVI';VERDI EUROPEI-GREEN ITALIA;2;;
BASTIA MONDOVI';IO CAMBIO - MAIE;1;;
