

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALAGNA VALSESIA ;370;197;1;18;
ALBANO VERCELLESE ;291;158;4;7;
ALICE CASTELLO ;2140;1628;87;192;
ARBORIO ;770;449;0;21;
ASIGLIANO VERCELLESE ;1185;936;44;92;
BALMUCCIA ;95;55;0;2;
BALOCCO ;203;138;2;9;
BIANZE' ;1687;1317;81;170;
BOCCIOLETO ;197;92;7;15;
BORGO D'ALE ;2169;1161;32;99;
BORGOSESIA ;11042;7910;223;580;
BORGO VERCELLI ;1835;1412;54;123;
BREIA ;165;125;6;15;
BURONZO ;787;627;46;63;
CAMPERTOGNO ;199;148;8;25;
CARCOFORO ;70;54;1;2;
CARESANA ;926;493;10;40;
CARESANABLOT ;961;740;22;52;
CARISIO ;735;574;42;77;
CASANOVA ELVO ;217;185;20;29;
CELLIO ;722;436;8;28;
CERVATTO ;51;35;2;2;
CIGLIANO ;4194;2556;121;275;
CIVIASCO ;226;146;1;5;
COLLOBIANO ;81;68;1;3;
COSTANZANA ;688;455;33;57;
CRAVAGLIANA ;253;135;1;9;
CRESCENTINO ;6444;4858;201;470;
CROVA ;343;305;17;28;
DESANA ;870;687;39;71;
FOBELLO ;199;131;12;22;
FONTANETTO PO ;1002;560;14;26;
FORMIGLIANA ;443;324;12;36;
GATTINARA ;6795;3919;56;242;
GHISLARENGO ;714;367;6;14;
GREGGIO ;294;178;12;16;
GUARDABOSONE ;304;216;7;20;
LAMPORO ;460;288;4;21;
LENTA ;754;467;8;22;
LIGNANA ;474;316;4;12;
LIVORNO FERRARIS ;3556;2186;40;156;
LOZZOLO ;771;443;8;18;
MOLLIA ;89;60;2;5;
MONCRIVELLO ;1262;1010;94;149;
MOTTA DE' CONTI ;695;535;37;68;
OLCENENGO ;624;539;32;47;
OLDENICO ;210;180;15;21;
PALAZZOLO VERCELLESE ;1142;857;46;79;
PERTENGO ;286;245;14;27;
PEZZANA ;1090;868;50;107;
PILA ;108;57;1;2;
PIODE ;181;123;14;27;
POSTUA ;501;303;4;13;
PRAROLO ;577;321;8;19;
QUARONA ;3528;2601;102;239;
QUINTO VERCELLESE ;339;224;5;14;
RASSA ;79;68;4;7;
RIMA SAN GIUSEPPE ;61;38;3;3;
RIMASCO ;114;92;6;9;
RIMELLA ;143;64;5;9;
RIVA VALDOBBIA ;206;118;1;9;
RIVE ;411;322;20;31;
ROASIO ;2302;1416;69;122;
RONSECCO ;503;379;30;55;
ROSSA ;169;137;10;14;
ROVASENDA ;893;665;54;84;
SABBIA ;94;57;5;7;
SALASCO ;187;162;9;13;
SALI VERCELLESE ;101;88;5;12;
SALUGGIA ;3460;2032;45;125;
SAN GERMANO VERCELLESE ;1361;827;17;55;
SAN GIACOMO VERCELLESE ;288;209;9;16;
SANTHIA' ;7097;4742;83;281;
SCOPA ;328;244;21;36;
SCOPELLO ;323;185;2;11;
SERRAVALLE SESIA ;4014;2524;30;137;
STROPPIANA ;1102;779;49;83;
TRICERRO ;586;489;31;51;
TRINO ;5840;3557;88;251;
TRONZANO VERCELLESE ;2869;1818;46;162;
VALDUGGIA ;1754;1040;21;79;
VARALLO ;6255;3676;57;252;
VERCELLI ;37289;25202;644;1729;
VILLARBOIT ;393;347;22;50;
VILLATA ;1314;1050;71;126;
VOCCA ;136;93;1;6;
