Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACQUAPENDENTE,4626,3144,29,109,VITERBO
ARLENA DI CASTRO,676,500,7,26,VITERBO
BAGNOREGIO,3036,2471,113,235,VITERBO
BARBARANO ROMANO,914,565,1,21,VITERBO
BASSANO IN TEVERINA,1051,947,47,115,VITERBO
BASSANO ROMANO,3943,2155,11,62,VITERBO
BLERA,2634,1597,18,67,VITERBO
BOLSENA,3433,2759,141,309,VITERBO
BOMARZO,1457,915,7,28,VITERBO
CALCATA,741,611,33,54,VITERBO
CANEPINA,2503,2123,70,166,VITERBO
CANINO,4232,2457,19,121,VITERBO
CAPODIMONTE,1490,1259,63,124,VITERBO
CAPRANICA,5086,3252,17,124,VITERBO
CAPRAROLA,4271,2553,27,105,VITERBO
CARBOGNANO,1625,945,11,37,VITERBO
CASTEL SANT'ELIA,1982,1231,10,49,VITERBO
CASTIGLIONE IN TEVERINA,1770,1324,30,87,VITERBO
CELLENO,1114,897,39,76,VITERBO
CELLERE,1038,870,54,102,VITERBO
CIVITA CASTELLANA,12432,9032,212,542,VITERBO
CIVITELLA D'AGLIANO,1426,1212,66,107,VITERBO
CORCHIANO,2819,1659,12,82,VITERBO
FABRICA DI ROMA,6427,3705,32,152,VITERBO
FALERIA,1647,919,7,32,VITERBO
FARNESE,1447,1063,57,116,VITERBO
GALLESE,2313,1364,10,68,VITERBO
GRADOLI,1152,874,23,59,VITERBO
GRAFFIGNANO,2035,1638,73,142,VITERBO
GROTTE DI CASTRO,2408,1865,79,195,VITERBO
ISCHIA DI CASTRO,2011,1712,101,202,VITERBO
LATERA,840,437,5,31,VITERBO
LUBRIANO,730,426,6,23,VITERBO
MARTA,2928,1569,12,69,VITERBO
MONTALTO DI CASTRO,6941,4200,31,170,VITERBO
MONTEFIASCONE,11042,6268,49,249,VITERBO
MONTE ROMANO,1680,1534,57,104,VITERBO
MONTEROSI,3064,2399,81,173,VITERBO
NEPI,7323,5557,181,395,VITERBO
ONANO,873,679,35,62,VITERBO
ORIOLO ROMANO,3047,1910,9,69,VITERBO
ORTE,6518,5077,145,300,VITERBO
PIANSANO,1801,1428,65,132,VITERBO
PROCENO,503,320,4,23,VITERBO
RONCIGLIONE,6915,3988,29,143,VITERBO
SAN LORENZO NUOVO,1704,1451,66,128,VITERBO
SORIANO NEL CIMINO,6817,4099,42,219,VITERBO
SUTRI,5281,3133,15,74,VITERBO
TARQUINIA,13695,7198,33,240,VITERBO
TESSENNANO,292,254,14,21,VITERBO
TUSCANIA,6784,5627,189,381,VITERBO
VALENTANO,2673,1456,3,49,VITERBO
VALLERANO,2082,1239,19,76,VITERBO
VASANELLO,3241,1994,23,120,VITERBO
VEJANO,1874,1525,97,156,VITERBO
VETRALLA,10912,6411,35,240,VITERBO
VIGNANELLO,3802,2303,32,109,VITERBO
VILLA SAN GIOVANNI IN TUSCIA,1007,911,48,78,VITERBO
VITERBO,52677,29319,107,841,VITERBO
VITORCHIANO,3961,2318,8,99,VITERBO
