Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ANNONE VENETO,3410,2184,60,131,VENEZIA
CAMPAGNA LUPIA,5577,3443,28,113,VENEZIA
CAMPOLONGO MAGGIORE,8396,5216,38,200,VENEZIA
CAMPONOGARA,10393,7345,129,370,VENEZIA
CAORLE,9506,5304,31,162,VENEZIA
CAVALLINO-TREPORTI,10669,4838,52,223,VENEZIA
CAVARZERE,12680,6902,53,256,VENEZIA
CEGGIA,4740,3475,64,177,VENEZIA
CHIOGGIA,41560,22765,207,1258,VENEZIA
CINTO CAOMAGGIORE,2822,1978,56,126,VENEZIA
CONA,2565,1933,46,120,VENEZIA
CONCORDIA SAGITTARIA,8983,6228,140,364,VENEZIA
DOLO,11980,7496,49,248,VENEZIA
ERACLEA,10093,5480,39,198,VENEZIA
FIESSO D'ARTICO,6031,3782,34,123,VENEZIA
FOSSALTA DI PIAVE,3353,2430,46,134,VENEZIA
FOSSALTA DI PORTOGRUARO,5275,3640,78,192,VENEZIA
FOSSO',5336,3385,32,135,VENEZIA
GRUARO,2547,1867,67,113,VENEZIA
JESOLO,20108,10006,59,283,VENEZIA
MARCON,13306,8012,38,219,VENEZIA
MARTELLAGO,17143,10659,56,317,VENEZIA
MEOLO,5077,3676,79,195,VENEZIA
MIRA,30918,18641,113,553,VENEZIA
MIRANO,22430,13908,74,431,VENEZIA
MUSILE DI PIAVE,8877,5008,38,157,VENEZIA
NOALE,12819,9613,207,560,VENEZIA
NOVENTA DI PIAVE,5476,2961,15,88,VENEZIA
PIANIGA,9652,5912,55,224,VENEZIA
PORTOGRUARO,21102,11770,60,325,VENEZIA
PRAMAGGIORE,3591,1943,13,73,VENEZIA
QUARTO D'ALTINO,6420,3732,30,107,VENEZIA
SALZANO,10488,6231,39,212,VENEZIA
SAN DONA' DI PIAVE,32662,18309,114,477,VENEZIA
SAN MICHELE AL TAGLIAMENTO,10139,5195,31,143,VENEZIA
SANTA MARIA DI SALA,13624,8189,54,341,VENEZIA
SAN STINO DI LIVENZA,10451,5878,38,166,VENEZIA
SCORZE',14713,11075,176,542,VENEZIA
SPINEA,21409,15390,171,579,VENEZIA
STRA,5893,4404,83,218,VENEZIA
TEGLIO VENETO,1905,1372,36,74,VENEZIA
TORRE DI MOSTO,3948,2142,12,86,VENEZIA
VENEZIA,208060,119640,544,3015,VENEZIA
VIGONOVO,7533,4902,51,193,VENEZIA
