Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACQUAVIVA DELLE FONTI,17464,8305,72,322,BARI
ADELFIA,15043,6694,49,276,BARI
ALBEROBELLO,9601,4675,82,263,BARI
ALTAMURA,53326,26717,232,1269,BARI
BARI,273433,189274,10604,17540,BARI
BINETTO,1810,1591,105,162,BARI
BITETTO,9771,5116,32,249,BARI
BITONTO,45667,20180,196,1244,BARI
BITRITTO,9727,7222,372,635,BARI
CAPURSO,13174,5646,36,194,BARI
CASAMASSIMA,16114,6394,46,254,BARI
CASSANO DELLE MURGE,12011,8735,407,781,BARI
CASTELLANA GROTTE,17070,8726,100,434,BARI
CELLAMARE,4720,3571,149,293,BARI
CONVERSANO,22300,9996,87,404,BARI
CORATO,39632,29292,1589,2573,BARI
GIOIA DEL COLLE,23163,11307,129,627,BARI
GIOVINAZZO,18126,7683,77,310,BARI
GRAVINA IN PUGLIA,34523,15090,91,741,BARI
GRUMO APPULA,11368,4954,43,224,BARI
LOCOROTONDO,12250,6460,117,434,BARI
MODUGNO,31741,13714,79,531,BARI
MOLA DI BARI,24748,8943,64,336,BARI
MOLFETTA,53905,18511,107,511,BARI
MONOPOLI,41746,18540,171,800,BARI
NOCI,16196,8759,84,357,BARI
NOICATTARO,20688,8853,67,307,BARI
PALO DEL COLLE,18123,7781,62,373,BARI
POGGIORSINI,1128,1056,85,121,BARI
POLIGNANO A MARE,16100,7102,80,333,BARI
PUTIGNANO,23074,18053,899,1756,BARI
RUTIGLIANO,15149,12081,805,1193,BARI
RUVO DI PUGLIA,20845,9657,123,521,BARI
SAMMICHELE DI BARI,5902,2773,32,146,BARI
SANNICANDRO DI BARI,9368,3816,34,154,BARI
SANTERAMO IN COLLE,22284,11496,127,700,BARI
TERLIZZI,22195,9514,101,628,BARI
TORITTO,7646,5775,357,518,BARI
TRIGGIANO,24216,10077,46,313,BARI
TURI,10783,8008,494,836,BARI
VALENZANO,15827,7345,29,191,BARI
