Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AFFILE,1357,782,5,42,ROMA
AGOSTA,1370,855,7,28,ROMA
ALBANO LAZIALE,31163,18624,52,511,ROMA
ALLUMIERE,3345,2293,16,97,ROMA
ANGUILLARA SABAZIA,14161,8249,34,227,ROMA
ANTICOLI CORRADO,752,438,5,15,ROMA
ANZIO,42324,21891,51,506,ROMA
ARCINAZZO ROMANO,1192,645,3,49,ROMA
ARDEA,34870,17110,55,407,ROMA
ARICCIA,14990,8872,32,224,ROMA
ARSOLI,1281,1089,46,107,ROMA
ARTENA,10757,8252,235,629,ROMA
BELLEGRA,2401,1528,6,81,ROMA
BRACCIANO,14385,8379,41,266,ROMA
CAMERATA NUOVA,371,228,1,8,ROMA
CAMPAGNANO DI ROMA,7890,4261,52,127,ROMA
CANALE MONTERANO,3325,2036,2,57,ROMA
CANTERANO,285,188,0,12,ROMA
CAPENA,7322,5390,123,296,ROMA
CAPRANICA PRENESTINA,293,254,2,10,ROMA
CARPINETO ROMANO,4198,3056,95,270,ROMA
CASAPE,580,305,6,13,ROMA
CASTEL GANDOLFO,6813,3976,26,113,ROMA
CASTEL MADAMA,5708,3505,22,121,ROMA
CASTELNUOVO DI PORTO,6379,4490,83,230,ROMA
CASTEL SAN PIETRO ROMANO,709,633,40,69,ROMA
CAVE,8348,6623,186,476,ROMA
CERRETO LAZIALE,870,621,5,16,ROMA
CERVARA DI ROMA,413,200,2,9,ROMA
CERVETERI,28265,15166,59,430,ROMA
CIAMPINO,30366,21930,419,1153,ROMA
CICILIANO,1056,832,33,77,ROMA
CINETO ROMANO,488,322,0,14,ROMA
CIVITAVECCHIA,42750,31817,982,2135,ROMA
CIVITELLA SAN PAOLO,1379,799,7,22,ROMA
COLLEFERRO,17371,10733,57,360,ROMA
COLONNA,3125,2503,46,126,ROMA
FIANO ROMANO,10477,5915,28,164,ROMA
FILACCIANO,391,239,0,12,ROMA
FIUMICINO,55200,28044,81,775,ROMA
FONTE NUOVA,21854,15326,339,987,ROMA
FORMELLO,9418,5169,25,137,ROMA
FRASCATI,17613,12837,255,728,ROMA
GALLICANO NEL LAZIO,4574,2451,17,86,ROMA
GAVIGNANO,1597,1382,69,148,ROMA
GENAZZANO,4751,3785,128,284,ROMA
GENZANO DI ROMA,19070,11537,46,341,ROMA
GERANO,1060,969,53,90,ROMA
GORGA,641,594,62,100,ROMA
GROTTAFERRATA,15656,11345,184,511,ROMA
GUIDONIA MONTECELIO,63706,45347,793,2394,ROMA
JENNE,341,191,2,5,ROMA
LABICO,4537,2526,14,78,ROMA
LADISPOLI,28030,14469,52,378,ROMA
LANUVIO,9924,5690,20,156,ROMA
LARIANO,10161,5424,14,230,ROMA
LICENZA,759,449,3,23,ROMA
MAGLIANO ROMANO,1100,673,7,32,ROMA
MANDELA,720,448,1,13,ROMA
MANZIANA,5948,3458,13,92,ROMA
MARANO EQUO,645,445,1,6,ROMA
MARCELLINA,4892,2584,17,88,ROMA
MARINO,32507,23664,565,1359,ROMA
MAZZANO ROMANO,2332,1204,9,37,ROMA
MENTANA,15881,9056,34,289,ROMA
MONTE COMPATRI,8685,5244,17,138,ROMA
MONTEFLAVIO,1079,699,17,29,ROMA
MONTELANICO,1772,953,7,52,ROMA
MONTELIBRETTI,4105,2570,24,108,ROMA
MONTE PORZIO CATONE,7001,5313,79,242,ROMA
MONTEROTONDO,29945,21466,369,1129,ROMA
MONTORIO ROMANO,1569,1020,8,48,ROMA
MORICONE,2076,1624,53,125,ROMA
MORLUPO,6442,3500,14,100,ROMA
NAZZANO,1096,933,41,79,ROMA
NEMI,1583,957,5,26,ROMA
NEROLA,1480,798,6,49,ROMA
NETTUNO,37808,19102,72,491,ROMA
OLEVANO ROMANO,5378,3199,30,185,ROMA
PALESTRINA,16447,13351,433,1063,ROMA
PALOMBARA SABINA,9862,5725,29,266,ROMA
PERCILE,253,229,32,40,ROMA
PISONIANO,574,447,15,44,ROMA
POLI,1764,1360,41,124,ROMA
POMEZIA,46526,24736,83,626,ROMA
PONZANO ROMANO,922,523,2,15,ROMA
RIANO,7046,3918,7,99,ROMA
RIGNANO FLAMINIO,7006,4342,25,109,ROMA
RIOFREDDO,606,373,6,13,ROMA
ROCCA CANTERANO,178,157,6,10,ROMA
ROCCA DI CAVE,327,182,3,6,ROMA
ROCCA DI PAPA,12349,6761,29,232,ROMA
ROCCAGIOVINE,228,159,2,5,ROMA
ROCCA PRIORA,9123,6907,151,398,ROMA
ROCCA SANTO STEFANO,792,535,6,21,ROMA
ROIATE,659,379,1,15,ROMA
ROMA,2311813,1201878,3569,26649,ROMA
ROVIANO,1118,944,42,93,ROMA
SACROFANO,5200,2949,11,70,ROMA
SAMBUCI,746,624,25,48,ROMA
SAN CESAREO,10512,5952,30,198,ROMA
SAN GREGORIO DA SASSOLA,1309,776,1,31,ROMA
SAN POLO DEI CAVALIERI,2192,1088,8,28,ROMA
SANTA MARINELLA,14593,7619,37,193,ROMA
SANT'ANGELO ROMANO,3419,2514,70,146,ROMA
SANT'ORESTE,2861,2284,64,171,ROMA
SAN VITO ROMANO,2694,2259,66,156,ROMA
SARACINESCO,142,117,3,7,ROMA
SEGNI,7475,5764,183,424,ROMA
SUBIACO,7448,4111,31,213,ROMA
TIVOLI,42397,31566,701,1847,ROMA
TOLFA,4039,2818,37,135,ROMA
TORRITA TIBERINA,856,500,3,22,ROMA
TREVIGNANO ROMANO,4268,2399,9,54,ROMA
VALLEPIETRA,266,247,16,22,ROMA
VALLINFREDA,297,149,2,6,ROMA
VALMONTONE,11552,6417,43,270,ROMA
VELLETRI,41419,22631,104,842,ROMA
VICOVARO,3145,2480,69,164,ROMA
VIVARO ROMANO,162,98,1,4,ROMA
ZAGAROLO,12732,6819,47,273,ROMA
