Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
BELLARIA-IGEA MARINA,14291,10766,217,505,RIMINI
CASTELDELCI,383,316,27,33,RIMINI
CATTOLICA,13359,8334,42,175,RIMINI
CORIANO,8542,5941,41,190,RIMINI
GEMMANO,1208,599,8,28,RIMINI
MAIOLO,710,594,20,43,RIMINI
MISANO ADRIATICO,10041,7017,89,227,RIMINI
MONDAINO,1141,809,23,78,RIMINI
MONTE COLOMBO,2767,1591,9,39,RIMINI
MONTEFIORE CONCA,1950,1357,45,91,RIMINI
MONTEGRIDOLFO,835,576,14,37,RIMINI
MONTESCUDO,2807,1937,43,113,RIMINI
MORCIANO DI ROMAGNA,5350,3799,86,194,RIMINI
NOVAFELTRIA,5948,3869,29,137,RIMINI
PENNABILLI,2482,1504,11,57,RIMINI
POGGIO TORRIANA,4039,3091,83,184,RIMINI
RICCIONE,27863,20203,284,651,RIMINI
RIMINI,114082,71331,353,1532,RIMINI
SALUDECIO,2498,1775,43,93,RIMINI
SAN CLEMENTE,4133,2863,58,127,RIMINI
SAN GIOVANNI IN MARIGNANO,7401,5544,80,175,RIMINI
SAN LEO,2691,1972,55,135,RIMINI
SANT'AGATA FELTRIA,1898,1372,50,88,RIMINI
SANTARCANGELO DI ROMAGNA,17336,12698,209,520,RIMINI
TALAMELLO,921,747,24,42,RIMINI
VERUCCHIO,8152,5750,110,253,RIMINI
