Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AFRICO,2416,1041,6,32,REGGIO CALABRIA
AGNANA CALABRA,518,380,47,57,REGGIO CALABRIA
ANOIA,2157,714,12,55,REGGIO CALABRIA
ANTONIMINA,1269,408,14,44,REGGIO CALABRIA
ARDORE,4469,1774,20,75,REGGIO CALABRIA
BAGALADI,976,753,96,123,REGGIO CALABRIA
BAGNARA CALABRA,11021,3683,28,154,REGGIO CALABRIA
BENESTARE,2178,1660,229,367,REGGIO CALABRIA
BIANCO,3787,1327,13,54,REGGIO CALABRIA
BIVONGI,1654,627,11,55,REGGIO CALABRIA
BOVA,427,160,4,8,REGGIO CALABRIA
BOVALINO,6996,3090,49,205,REGGIO CALABRIA
BOVA MARINA,3398,2490,182,371,REGGIO CALABRIA
BRANCALEONE,3296,2282,227,336,REGGIO CALABRIA
BRUZZANO ZEFFIRIO,1231,375,5,18,REGGIO CALABRIA
CALANNA,882,405,9,35,REGGIO CALABRIA
CAMINI,852,266,2,13,REGGIO CALABRIA
CAMPO CALABRO,3769,1737,19,114,REGGIO CALABRIA
CANDIDONI,476,114,2,6,REGGIO CALABRIA
CANOLO,744,567,64,100,REGGIO CALABRIA
CARAFFA DEL BIANCO,642,260,5,10,REGGIO CALABRIA
CARDETO,1527,1166,105,149,REGGIO CALABRIA
CARERI,2009,1101,148,249,REGGIO CALABRIA
CASIGNANA,885,349,1,8,REGGIO CALABRIA
CAULONIA,7343,2488,18,185,REGGIO CALABRIA
CIMINA',626,127,2,7,REGGIO CALABRIA
CINQUEFRONDI,6404,2473,34,140,REGGIO CALABRIA
CITTANOVA,8198,6253,496,817,REGGIO CALABRIA
CONDOFURI,4250,1405,20,96,REGGIO CALABRIA
COSOLETO,1083,325,2,8,REGGIO CALABRIA
DELIANUOVA,3265,1038,21,69,REGGIO CALABRIA
FEROLETO DELLA CHIESA,1585,1117,200,284,REGGIO CALABRIA
