Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ARMUNGIA,464,146,1,3,CAGLIARI
ASSEMINI,22137,8993,50,219,CAGLIARI
BALLAO,763,263,1,9,CAGLIARI
BARRALI,936,314,3,10,CAGLIARI
BURCEI,2320,548,18,32,CAGLIARI
CAGLIARI,131559,58547,221,1141,CAGLIARI
CAPOTERRA,18770,7486,32,138,CAGLIARI
CASTIADAS,1313,426,5,16,CAGLIARI
DECIMOMANNU,6686,2638,19,89,CAGLIARI
DECIMOPUTZU,3658,1298,12,39,CAGLIARI
DOLIANOVA,8253,3056,15,91,CAGLIARI
DOMUS DE MARIA,1522,570,7,26,CAGLIARI
DONORI,1815,737,10,35,CAGLIARI
ELMAS,7648,3482,15,80,CAGLIARI
ESCALAPLANO,1962,687,2,25,CAGLIARI
ESCOLCA,549,200,3,8,CAGLIARI
ESTERZILI,619,153,0,0,CAGLIARI
GERGEI,1063,407,3,11,CAGLIARI
GESICO,734,241,2,9,CAGLIARI
GONI,427,112,0,3,CAGLIARI
GUAMAGGIORE,859,326,7,28,CAGLIARI
GUASILA,2322,1751,162,248,CAGLIARI
ISILI,2413,903,11,35,CAGLIARI
MANDAS,1939,758,14,57,CAGLIARI
MARACALAGONIS,6473,2493,14,86,CAGLIARI
MONASTIR,3945,1474,11,51,CAGLIARI
MONSERRATO,17448,7466,49,208,CAGLIARI
MURAVERA,4415,1771,6,44,CAGLIARI
NURAGUS,824,319,1,11,CAGLIARI
NURALLAO,1150,470,3,13,CAGLIARI
NURAMINIS,2312,854,7,36,CAGLIARI
NURRI,1845,491,0,19,CAGLIARI
ORROLI,2030,622,6,29,CAGLIARI
ORTACESUS,788,291,2,13,CAGLIARI
PIMENTEL,994,355,6,14,CAGLIARI
PULA,6219,4581,213,445,CAGLIARI
QUARTUCCIU,10825,4559,20,107,CAGLIARI
QUARTU SANT'ELENA,59556,23791,112,554,CAGLIARI
SADALI,810,339,0,10,CAGLIARI
SAMATZAI,1450,635,8,23,CAGLIARI
SAN BASILIO,1097,342,6,19,CAGLIARI
SAN NICOLO' GERREI,733,223,4,8,CAGLIARI
SAN SPERATE,6878,2753,20,111,CAGLIARI
SANT'ANDREA FRIUS,1503,522,4,21,CAGLIARI
SAN VITO,3203,1227,9,52,CAGLIARI
SARROCH,4617,1735,7,50,CAGLIARI
SELARGIUS,24259,11000,64,272,CAGLIARI
SELEGAS,1185,407,1,21,CAGLIARI
SENORBI',3984,1511,9,64,CAGLIARI
SERDIANA,2195,787,7,30,CAGLIARI
SERRI,582,143,2,8,CAGLIARI
SESTU,16465,6837,50,180,CAGLIARI
SETTIMO SAN PIETRO,5584,2398,17,83,CAGLIARI
SEULO,780,285,2,11,CAGLIARI
SILIQUA,3356,1207,7,38,CAGLIARI
SILIUS,1055,283,3,9,CAGLIARI
SINNAI,14196,5764,44,198,CAGLIARI
SIURGUS DONIGALA,1714,484,6,17,CAGLIARI
SOLEMINIS,1544,662,7,33,CAGLIARI
SUELLI,1009,366,8,16,CAGLIARI
TEULADA,3303,1241,16,61,CAGLIARI
USSANA,3494,1391,18,60,CAGLIARI
UTA,6778,2062,20,70,CAGLIARI
VALLERMOSA,1708,650,6,20,CAGLIARI
VILLANOVA TULO,982,279,0,54,CAGLIARI
VILLAPUTZU,4180,1684,12,98,CAGLIARI
VILLASALTO,1025,426,4,18,CAGLIARI
VILLA SAN PIETRO,1728,660,8,19,CAGLIARI
VILLASIMIUS,3035,2389,120,212,CAGLIARI
VILLASOR,5938,2351,16,92,CAGLIARI
VILLASPECIOSA,1999,793,3,25,CAGLIARI
