Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ANDRIANO/ANDRIAN,781,443,15,18,BOLZANO
ALDINO/ALDEIN,1270,658,26,68,BOLZANO
ANTERIVO/ALTREI,322,185,6,13,BOLZANO
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,10900,5802,152,340,BOLZANO
AVELENGO/HAFLING,569,300,16,30,BOLZANO
BADIA/ABTEI,2641,1519,53,116,BOLZANO
BARBIANO/BARBIAN,1261,698,41,71,BOLZANO
BOLZANO/BOZEN,77804,45192,338,1487,BOLZANO
BRAIES/PRAGS,519,236,14,23,BOLZANO
BRENNERO/BRENNER,1521,824,34,58,BOLZANO
BRESSANONE/BRIXEN,15785,8477,231,470,BOLZANO
BRONZOLO/BRANZOLL,2070,1275,15,63,BOLZANO
BRUNICO/BRUNECK,11898,5915,174,360,BOLZANO
CAINES/KUENS,302,163,2,2,BOLZANO
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,5901,3084,85,199,BOLZANO
CAMPO DI TRENS/FREIENFELD,2006,983,61,98,BOLZANO
CAMPO TURES/SAND IN TAUFERS,4119,2024,146,206,BOLZANO
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,1947,867,50,80,BOLZANO
CASTELROTTO/KASTELRUTH,5007,2541,115,188,BOLZANO
CERMES/TSCHERMS,1157,608,23,45,BOLZANO
CHIENES/KIENS,2180,1138,63,131,BOLZANO
CHIUSA/KLAUSEN,3904,2347,129,230,BOLZANO
CORNEDO ALL'ISARCO/KARNEID,2506,1399,32,98,BOLZANO
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,1762,1033,30,76,BOLZANO
CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,493,305,3,19,BOLZANO
CORVARA IN BADIA/CORVARA,1101,594,16,51,BOLZANO
CURON VENOSTA/GRAUN IM VINSCHGAU,1991,803,48,76,BOLZANO
DOBBIACO/TOBLACH,2560,1349,64,95,BOLZANO
EGNA/NEUMARKT,3884,2159,32,125,BOLZANO
FALZES/PFALZEN,2099,961,64,96,BOLZANO
FIE' ALLO SCILIAR/VOELS AM SCHLERN,2560,1418,49,88,BOLZANO
FORTEZZA/FRANZENSFESTE,643,394,15,29,BOLZANO
FUNES/VILLNOESS,1964,1141,58,107,BOLZANO
GAIS/GAIS,2510,1164,78,124,BOLZANO
GARGAZZONE/GARGAZON,1299,630,16,37,BOLZANO
GLORENZA/GLURNS,831,326,14,37,BOLZANO
LACES/LATSCH,3968,1666,69,121,BOLZANO
LAGUNDO/ALGUND,3878,1890,56,108,BOLZANO
LAION/LAJEN,1913,1010,50,90,BOLZANO
LAIVES/LEIFERS,13248,7981,82,382,BOLZANO
LANA/LANA,8651,4259,156,366,BOLZANO
LASA/LAAS,3163,1350,77,137,BOLZANO
LAUREGNO/LAUREIN,260,130,13,15,BOLZANO
LA VALLE/WENGEN,1024,584,66,98,BOLZANO
