Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ARBUS,5681,2116,22,97,MEDIO CAMPIDANO
BARUMINI,1119,379,4,10,MEDIO CAMPIDANO
COLLINAS,781,256,3,8,MEDIO CAMPIDANO
FURTEI,1434,639,6,28,MEDIO CAMPIDANO
GENURI,314,99,1,1,MEDIO CAMPIDANO
GESTURI,1137,440,3,12,MEDIO CAMPIDANO
GONNOSFANADIGA,5800,2144,25,103,MEDIO CAMPIDANO
GUSPINI,10442,4736,27,167,MEDIO CAMPIDANO
LAS PLASSAS,218,97,1,1,MEDIO CAMPIDANO
LUNAMATRONA,1531,635,8,34,MEDIO CAMPIDANO
PABILLONIS,2399,802,5,26,MEDIO CAMPIDANO
PAULI ARBAREI,555,209,3,6,MEDIO CAMPIDANO
SAMASSI,4668,1875,12,70,MEDIO CAMPIDANO
SAN GAVINO MONREALE,7646,5405,255,493,MEDIO CAMPIDANO
SANLURI,7386,3352,20,91,MEDIO CAMPIDANO
SARDARA,3568,1283,17,42,MEDIO CAMPIDANO
SEGARIU,1070,430,3,11,MEDIO CAMPIDANO
SERRAMANNA,7870,3073,23,111,MEDIO CAMPIDANO
SERRENTI,4324,2793,127,251,MEDIO CAMPIDANO
SETZU,129,50,2,4,MEDIO CAMPIDANO
SIDDI,611,251,3,9,MEDIO CAMPIDANO
TUILI,951,307,5,9,MEDIO CAMPIDANO
TURRI,416,155,5,8,MEDIO CAMPIDANO
USSARAMANNA,510,247,0,4,MEDIO CAMPIDANO
VILLACIDRO,12032,5037,29,165,MEDIO CAMPIDANO
VILLAMAR,2407,829,7,18,MEDIO CAMPIDANO
VILLANOVAFORRU,578,235,2,10,MEDIO CAMPIDANO
VILLANOVAFRANCA,1216,419,2,17,MEDIO CAMPIDANO
