Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ALTOPASCIO,11242,6396,49,261,LUCCA
BAGNI DI LUCCA,6220,2612,14,104,LUCCA
BARGA,8760,6125,174,416,LUCCA
BORGO A MOZZANO,6489,4391,173,379,LUCCA
CAMAIORE,27341,14401,103,461,LUCCA
CAMPORGIANO,2154,1481,66,137,LUCCA
CAPANNORI,39791,25118,645,1595,LUCCA
CAREGGINE,733,432,28,38,LUCCA
CASTELNUOVO DI GARFAGNANA,5785,3987,136,253,LUCCA
CASTIGLIONE DI GARFAGNANA,1623,1331,66,116,LUCCA
COREGLIA ANTELMINELLI,4807,2668,27,117,LUCCA
FABBRICHE DI VERGEMOLI,948,613,44,72,LUCCA
FORTE DEI MARMI,6576,3645,23,112,LUCCA
FOSCIANDORA,565,429,21,34,LUCCA
GALLICANO,3337,2485,92,215,LUCCA
GIUNCUGNANO,524,343,14,38,LUCCA
LUCCA,76022,39185,205,1015,LUCCA
MASSAROSA,18995,12826,271,788,LUCCA
MINUCCIANO,1954,1485,66,140,LUCCA
MOLAZZANA,1227,737,22,39,LUCCA
MONTECARLO,3701,2695,88,193,LUCCA
PESCAGLIA,3317,2298,74,186,LUCCA
PIAZZA AL SERCHIO,2333,1314,10,54,LUCCA
PIETRASANTA,20871,10770,68,448,LUCCA
PIEVE FOSCIANA,2293,1303,21,62,LUCCA
PORCARI,6785,3901,32,122,LUCCA
SAN ROMANO IN GARFAGNANA,1357,966,71,111,LUCCA
SERAVEZZA,11170,5843,41,262,LUCCA
SILLANO,643,477,28,60,LUCCA
STAZZEMA,3267,1902,85,219,LUCCA
VAGLI SOTTO,1032,751,42,92,LUCCA
VIAREGGIO,51579,27742,113,600,LUCCA
VILLA BASILICA,1670,1100,49,100,LUCCA
VILLA COLLEMANDINA,1437,938,40,86,LUCCA
