Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AGUGLIANO,4001,3083,75,138,ANCONA
ANCONA,79552,46444,266,854,ANCONA
ARCEVIA,4174,2870,106,202,ANCONA
BARBARA,1094,939,61,80,ANCONA
BELVEDERE OSTRENSE,2006,1435,65,103,ANCONA
CAMERANO,6432,3676,25,110,ANCONA
CAMERATA PICENA,2068,1479,31,79,ANCONA
CASTELBELLINO,3726,2815,71,149,ANCONA
CASTELFIDARDO,15273,8595,69,268,ANCONA
CASTELLEONE DI SUASA,1381,1151,54,87,ANCONA
CASTELPLANIO,2772,2018,66,139,ANCONA
CERRETO D'ESI,3000,2042,81,174,ANCONA
CHIARAVALLE,11882,7481,66,191,ANCONA
CORINALDO,4281,2619,42,92,ANCONA
CUPRAMONTANA,4140,2376,38,122,ANCONA
FABRIANO,24740,14511,137,520,ANCONA
FALCONARA MARITTIMA,21334,13406,80,270,ANCONA
FILOTTRANO,8347,5811,270,474,ANCONA
GENGA,1531,1248,68,114,ANCONA
JESI,32144,20874,161,513,ANCONA
LORETO,11198,6437,77,242,ANCONA
MAIOLATI SPONTINI,5112,3748,111,203,ANCONA
MERGO,837,677,29,44,ANCONA
MONSANO,2751,2115,53,97,ANCONA
MONTECAROTTO,1916,1213,22,50,ANCONA
MONTEMARCIANO,8241,5746,125,276,ANCONA
MONTE ROBERTO,2283,1745,57,95,ANCONA
MONTE SAN VITO,5604,4080,75,182,ANCONA
MORRO D'ALBA,1593,994,19,45,ANCONA
NUMANA,3360,2317,61,126,ANCONA
OFFAGNA,1771,1294,52,91,ANCONA
OSIMO,29212,20271,627,1198,ANCONA
OSTRA,5526,3848,160,280,ANCONA
OSTRA VETERE,2901,1768,29,78,ANCONA
POGGIO SAN MARCELLO,610,478,32,45,ANCONA
POLVERIGI,3756,2761,51,131,ANCONA
ROSORA,1523,969,15,48,ANCONA
SAN MARCELLO,1804,1370,34,67,ANCONA
SAN PAOLO DI JESI,748,594,34,61,ANCONA
SANTA MARIA NUOVA,3565,2139,27,86,ANCONA
SASSOFERRATO,5837,4264,177,344,ANCONA
SENIGALLIA,37134,22000,181,584,ANCONA
SERRA DE' CONTI,2959,2219,55,101,ANCONA
SERRA SAN QUIRICO,2376,1805,77,130,ANCONA
SIROLO,3620,2537,73,142,ANCONA
STAFFOLO,1930,1363,53,109,ANCONA
TRECASTELLI,6117,4397,156,241,ANCONA
