Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ALFONSINE,9580,7361,85,224,RAVENNA
BAGNACAVALLO,13165,10007,119,346,RAVENNA
BAGNARA DI ROMAGNA,1772,1290,13,32,RAVENNA
BRISIGHELLA,6162,4635,103,241,RAVENNA
CASOLA VALSENIO,2189,1660,34,99,RAVENNA
CASTEL BOLOGNESE,7241,5244,89,223,RAVENNA
CERVIA,22801,16713,207,575,RAVENNA
CONSELICE,7271,5356,68,186,RAVENNA
COTIGNOLA,5920,4511,55,152,RAVENNA
FAENZA,44835,29994,198,726,RAVENNA
FUSIGNANO,6277,4645,56,162,RAVENNA
LUGO,25167,19046,253,650,RAVENNA
MASSA LOMBARDA,7631,5709,68,148,RAVENNA
RAVENNA,121726,81326,421,1997,RAVENNA
RIOLO TERME,4480,2999,25,79,RAVENNA
RUSSI,9386,7078,141,336,RAVENNA
SANT'AGATA SUL SANTERNO,2179,1629,38,84,RAVENNA
SOLAROLO,3305,2532,51,111,RAVENNA
