Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AILOCHE,285,149,1,13,BIELLA
ANDORNO MICCA,3043,2001,72,178,BIELLA
BENNA,988,784,40,76,BIELLA
BIELLA,37169,24985,588,1527,BIELLA
BIOGLIO,841,599,23,57,BIELLA
BORRIANA,760,612,45,72,BIELLA
BRUSNENGO,2282,1267,51,136,BIELLA
CALLABIANA,120,98,1,6,BIELLA
CAMANDONA,334,255,12,24,BIELLA
CAMBURZANO,1009,759,31,72,BIELLA
CAMPIGLIA CERVO,203,104,6,14,BIELLA
CANDELO,6634,4602,128,360,BIELLA
CAPRILE,184,139,1,8,BIELLA
CASAPINTA,416,278,17,32,BIELLA
CASTELLETTO CERVO,700,414,8,34,BIELLA
CAVAGLIA',2905,2228,95,259,BIELLA
CERRETO CASTELLO,530,415,11,35,BIELLA
CERRIONE,2496,1854,85,207,BIELLA
COGGIOLA,1741,1016,19,67,BIELLA
COSSATO,12532,8653,225,602,BIELLA
CREVACUORE,1375,1037,57,113,BIELLA
CROSA,266,184,9,20,BIELLA
CURINO,510,282,23,39,BIELLA
DONATO,613,376,31,57,BIELLA
DORZANO,434,268,5,18,BIELLA
GAGLIANICO,3188,2353,77,190,BIELLA
GIFFLENGA,100,82,10,14,BIELLA
GRAGLIA,1390,999,63,140,BIELLA
LESSONA,2161,1575,57,130,BIELLA
MAGNANO,382,252,10,25,BIELLA
MASSAZZA,439,332,18,38,BIELLA
MASSERANO,1968,986,20,57,BIELLA
MEZZANA MORTIGLIENGO,520,319,4,24,BIELLA
MIAGLIANO,538,370,27,47,BIELLA
MONGRANDO,3300,2423,98,227,BIELLA
MOSSO,1417,923,57,109,BIELLA
MOTTALCIATA,1205,857,53,109,BIELLA
MUZZANO,571,414,21,39,BIELLA
NETRO,861,656,37,82,BIELLA
OCCHIEPPO INFERIORE,3345,2393,79,194,BIELLA
OCCHIEPPO SUPERIORE,2423,1897,99,201,BIELLA
PETTINENGO,1280,923,35,88,BIELLA
PIATTO,473,387,16,47,BIELLA
PIEDICAVALLO,199,139,5,12,BIELLA
POLLONE,1828,1273,53,109,BIELLA
PONDERANO,3259,2395,76,174,BIELLA
PORTULA,1218,835,39,82,BIELLA
PRALUNGO,2270,1576,83,160,BIELLA
PRAY,1985,1367,56,124,BIELLA
QUAREGNA,1146,858,27,81,BIELLA
QUITTENGO,223,142,7,15,BIELLA
RONCO BIELLESE,1268,921,24,66,BIELLA
ROPPOLO,772,626,26,52,BIELLA
ROSAZZA,100,67,0,4,BIELLA
SAGLIANO MICCA,1495,967,29,80,BIELLA
SALA BIELLESE,515,313,11,40,BIELLA
SALUSSOLA,1711,1180,56,138,BIELLA
SANDIGLIANO,2336,1761,68,157,BIELLA
SAN PAOLO CERVO,160,95,3,4,BIELLA
SELVE MARCONE,78,59,3,6,BIELLA
SOPRANA,656,483,33,65,BIELLA
SORDEVOLO,1114,834,46,98,BIELLA
SOSTEGNO,651,505,29,59,BIELLA
STRONA,1009,622,28,58,BIELLA
TAVIGLIANO,845,512,6,41,BIELLA
TERNENGO,248,168,2,7,BIELLA
TOLLEGNO,2157,1397,52,126,BIELLA
TORRAZZO,175,144,11,21,BIELLA
TRIVERO,5056,2966,53,197,BIELLA
VALDENGO,2096,1603,78,165,BIELLA
VALLANZENGO,207,129,2,7,BIELLA
VALLE MOSSO,2876,1848,66,168,BIELLA
VALLE SAN NICOLAO,983,608,22,52,BIELLA
VEGLIO,456,243,11,23,BIELLA
VERRONE,1028,816,28,75,BIELLA
VIGLIANO BIELLESE,6874,5016,153,374,BIELLA
VILLA DEL BOSCO,318,216,12,25,BIELLA
VILLANOVA BIELLESE,168,156,13,21,BIELLA
VIVERONE,1152,904,36,81,BIELLA
ZIMONE,367,304,35,49,BIELLA
ZUBIENA,1052,810,36,101,BIELLA
ZUMAGLIA,925,724,33,82,BIELLA
