Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ABRIOLA,1692,729,12,40,POTENZA
ACERENZA,2843,1077,83,139,POTENZA
ALBANO DI LUCANIA,1396,559,18,61,POTENZA
ANZI,1617,1258,141,210,POTENZA
ARMENTO,638,443,70,113,POTENZA
ATELLA,3535,1628,29,132,POTENZA
AVIGLIANO,10234,4932,59,253,POTENZA
BALVANO,2316,758,16,50,POTENZA
BANZI,1259,946,90,148,POTENZA
BARAGIANO,2419,1058,47,91,POTENZA
BARILE,3077,1885,105,259,POTENZA
BELLA,4890,1956,31,151,POTENZA
BRIENZA,4329,2796,341,490,POTENZA
BRINDISI MONTAGNA,804,598,73,94,POTENZA
CALVELLO,2637,696,15,37,POTENZA
CALVERA,655,311,52,80,POTENZA
CAMPOMAGGIORE,815,283,3,17,POTENZA
CANCELLARA,1714,462,9,38,POTENZA
CARBONE,962,244,7,13,POTENZA
CASTELGRANDE,1789,435,14,40,POTENZA
CASTELLUCCIO INFERIORE,2715,774,28,70,POTENZA
CASTELLUCCIO SUPERIORE,972,331,16,46,POTENZA
CASTELMEZZANO,883,639,83,121,POTENZA
CASTELSARACENO,1457,604,10,51,POTENZA
CASTRONUOVO DI SANT'ANDREA,1169,364,11,40,POTENZA
CERSOSIMO,738,270,8,19,POTENZA
CHIAROMONTE,1998,1394,149,252,POTENZA
CORLETO PERTICARA,3151,1045,13,98,POTENZA
EPISCOPIA,1555,598,30,60,POTENZA
FARDELLA,766,274,5,16,POTENZA
FILIANO,2606,1239,10,67,POTENZA
FORENZA,2603,624,14,47,POTENZA
FRANCAVILLA IN SINNI,4040,1812,36,172,POTENZA
GALLICCHIO,893,619,27,102,POTENZA
GENZANO DI LUCANIA,5619,1768,18,106,POTENZA
GINESTRA,833,247,3,23,POTENZA
GRUMENTO NOVA,2528,1220,174,244,POTENZA
GUARDIA PERTICARA,546,416,66,103,POTENZA
LAGONEGRO,5459,2215,28,138,POTENZA
LATRONICO,4543,2033,48,205,POTENZA
LAURENZANA,1795,1348,121,192,POTENZA
LAURIA,12926,6127,155,735,POTENZA
LAVELLO,11060,4338,36,242,POTENZA
MARATEA,5885,3550,218,358,POTENZA
MARSICO NUOVO,5790,1368,31,103,POTENZA
MARSICOVETERE,5066,3500,313,526,POTENZA
MASCHITO,2079,510,10,38,POTENZA
MELFI,14463,5977,60,347,POTENZA
MISSANELLO,467,377,42,67,POTENZA
MOLITERNO,4728,1412,14,79,POTENZA
MONTEMILONE,1482,566,7,33,POTENZA
MONTEMURRO,2236,906,84,142,POTENZA
MURO LUCANO,6012,3908,410,578,POTENZA
NEMOLI,1518,1078,112,182,POTENZA
NOEPOLI,1025,614,103,119,POTENZA
OPPIDO LUCANO,4430,1595,17,68,POTENZA
PALAZZO SAN GERVASIO,4613,1475,16,122,POTENZA
PATERNO,4055,1133,25,74,POTENZA
PESCOPAGANO,3071,1415,111,190,POTENZA
PICERNO,6146,4153,485,667,POTENZA
PIETRAGALLA,4530,2909,217,352,POTENZA
PIETRAPERTOSA,1409,288,6,19,POTENZA
PIGNOLA,6093,2208,18,94,POTENZA
POTENZA,57807,44012,2222,4774,POTENZA
RAPOLLA,3836,1884,13,77,POTENZA
RAPONE,1165,744,112,144,POTENZA
RIONERO IN VULTURE,11944,5262,64,399,POTENZA
RIPACANDIDA,2304,662,6,28,POTENZA
RIVELLO,3017,1952,186,326,POTENZA
ROCCANOVA,1524,1054,123,178,POTENZA
ROTONDA,3168,2372,330,493,POTENZA
RUOTI,3310,1122,33,101,POTENZA
RUVO DEL MONTE,1474,413,13,23,POTENZA
SAN CHIRICO NUOVO,1526,970,92,157,POTENZA
SAN CHIRICO RAPARO,1644,407,14,55,POTENZA
SAN COSTANTINO ALBANESE,790,427,14,35,POTENZA
SAN FELE,4459,2148,213,299,POTENZA
SAN MARTINO D'AGRI,980,394,4,38,POTENZA
SAN PAOLO ALBANESE,307,166,11,15,POTENZA
SAN SEVERINO LUCANO,2197,1038,125,181,POTENZA
SANT'ANGELO LE FRATTE,1509,1030,132,192,POTENZA
SANT'ARCANGELO,5971,2140,48,181,POTENZA
SARCONI,1583,416,11,33,POTENZA
SASSO DI CASTALDA,1083,321,16,31,POTENZA
SATRIANO DI LUCANIA,3407,1731,176,291,POTENZA
SAVOIA DI LUCANIA,1391,804,111,135,POTENZA
SENISE,7453,3079,55,180,POTENZA
SPINOSO,1626,1049,104,184,POTENZA
TEANA,824,271,5,34,POTENZA
TERRANOVA DI POLLINO,1334,955,150,215,POTENZA
TITO,7023,4794,405,653,POTENZA
TOLVE,3753,1201,22,69,POTENZA
TRAMUTOLA,3857,1167,25,151,POTENZA
TRECCHINA,3034,1135,32,101,POTENZA
TRIVIGNO,675,449,48,69,POTENZA
VAGLIO BASILICATA,2182,789,6,40,POTENZA
VENOSA,10887,6878,270,716,POTENZA
VIETRI DI POTENZA,3702,1045,27,72,POTENZA
VIGGIANELLO,3152,894,26,53,POTENZA
VIGGIANO,3874,2005,162,365,POTENZA
