Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACCIANO,390,196,7,20,L'AQUILA
AIELLI,1400,796,25,110,L'AQUILA
ALFEDENA,926,463,8,31,L'AQUILA
ANVERSA DEGLI ABRUZZI,335,192,6,14,L'AQUILA
ATELETA,1248,622,45,83,L'AQUILA
AVEZZANO,33671,21614,701,2035,L'AQUILA
BALSORANO,3271,2014,126,217,L'AQUILA
BARETE,563,358,11,30,L'AQUILA
BARISCIANO,1716,913,13,51,L'AQUILA
BARREA,673,359,15,40,L'AQUILA
BISEGNA,335,133,10,21,L'AQUILA
BUGNARA,1129,656,39,64,L'AQUILA
CAGNANO AMITERNO,1131,695,31,57,L'AQUILA
CALASCIO,147,65,1,1,L'AQUILA
CAMPO DI GIOVE,838,556,22,40,L'AQUILA
CAMPOTOSTO,582,277,10,21,L'AQUILA
CANISTRO,823,695,33,59,L'AQUILA
CANSANO,502,141,6,16,L'AQUILA
CAPESTRANO,1021,455,20,37,L'AQUILA
CAPISTRELLO,4174,2903,195,326,L'AQUILA
CAPITIGNANO,533,350,19,42,L'AQUILA
CAPORCIANO,268,135,12,17,L'AQUILA
CAPPADOCIA,501,302,11,19,L'AQUILA
CARAPELLE CALVISIO,155,47,0,1,L'AQUILA
CARSOLI,4388,2617,86,208,L'AQUILA
CASTEL DEL MONTE,406,208,13,25,L'AQUILA
CASTEL DI IERI,312,205,15,51,L'AQUILA
CASTEL DI SANGRO,5847,3012,68,195,L'AQUILA
CASTELLAFIUME,921,669,66,90,L'AQUILA
CASTELVECCHIO CALVISIO,178,75,8,17,L'AQUILA
CASTELVECCHIO SUBEQUO,979,618,30,68,L'AQUILA
CELANO,9002,5918,232,938,L'AQUILA
CERCHIO,1600,956,42,102,L'AQUILA
CIVITA D'ANTINO,1310,590,27,68,L'AQUILA
CIVITELLA ALFEDENA,276,184,15,28,L'AQUILA
CIVITELLA ROVETO,2796,1857,59,119,L'AQUILA
COCULLO,368,142,7,14,L'AQUILA
COLLARMELE,909,534,17,47,L'AQUILA
COLLELONGO,1262,792,26,51,L'AQUILA
COLLEPIETRO,288,101,2,3,L'AQUILA
CORFINIO,1192,564,18,55,L'AQUILA
FAGNANO ALTO,466,197,5,12,L'AQUILA
FONTECCHIO,403,220,5,10,L'AQUILA
FOSSA,652,343,11,25,L'AQUILA
GAGLIANO ATERNO,310,162,10,14,L'AQUILA
GIOIA DEI MARSI,1602,1214,60,115,L'AQUILA
GORIANO SICOLI,673,398,30,57,L'AQUILA
INTRODACQUA,1975,1104,36,114,L'AQUILA
L'AQUILA,59177,34034,811,2275,L'AQUILA
LECCE NEI MARSI,1365,924,30,81,L'AQUILA
LUCO DEI MARSI,4588,2823,87,201,L'AQUILA
LUCOLI,844,451,20,41,L'AQUILA
MAGLIANO DE' MARSI,3607,2076,95,261,L'AQUILA
MASSA D'ALBE,1465,807,23,58,L'AQUILA
MOLINA ATERNO,362,266,13,42,L'AQUILA
MONTEREALE,2220,1396,77,184,L'AQUILA
MORINO,1510,959,47,125,L'AQUILA
NAVELLI,643,305,18,30,L'AQUILA
OCRE,1020,584,14,52,L'AQUILA
OFENA,512,227,4,15,L'AQUILA
OPI,394,228,11,29,L'AQUILA
ORICOLA,985,621,17,41,L'AQUILA
ORTONA DEI MARSI,637,306,30,44,L'AQUILA
ORTUCCHIO,1582,1099,43,128,L'AQUILA
