Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ABBASANTA,2409,961,14,43,ORISTANO
AIDOMAGGIORE,417,134,1,9,ORISTANO
ALBAGIARA,257,95,1,2,ORISTANO
ALES,1286,501,7,25,ORISTANO
ALLAI,306,128,1,5,ORISTANO
ARBOREA,3415,1297,7,39,ORISTANO
ARDAULI,897,318,6,17,ORISTANO
ASSOLO,367,134,2,7,ORISTANO
ASUNI,318,74,0,1,ORISTANO
BARADILI,72,33,0,2,ORISTANO
BARATILI SAN PIETRO,1151,407,2,14,ORISTANO
BARESSA,623,192,0,6,ORISTANO
BAULADU,586,248,1,22,ORISTANO
BIDONI',175,43,0,1,ORISTANO
BONARCADO,1437,429,3,28,ORISTANO
BORONEDDU,141,45,2,5,ORISTANO
BOSA,6838,4921,313,606,ORISTANO
BUSACHI,1222,262,2,17,ORISTANO
CABRAS,7956,2364,5,70,ORISTANO
CUGLIERI,2626,863,4,33,ORISTANO
CURCURIS,269,109,0,3,ORISTANO
FLUSSIO,425,117,0,2,ORISTANO
FORDONGIANUS,837,246,7,13,ORISTANO
GENONI,746,470,36,74,ORISTANO
GHILARZA,3825,1487,13,71,ORISTANO
GONNOSCODINA,447,143,3,7,ORISTANO
GONNOSNO',706,201,2,7,ORISTANO
GONNOSTRAMATZA,815,296,1,11,ORISTANO
LACONI,1732,689,3,28,ORISTANO
MAGOMADAS,594,182,1,5,ORISTANO
MARRUBIU,4166,1525,11,52,ORISTANO
MASULLAS,945,280,3,16,ORISTANO
MILIS,1345,459,1,15,ORISTANO
MODOLO,171,38,0,1,ORISTANO
MOGORELLA,393,105,1,6,ORISTANO
MOGORO,3736,1289,11,45,ORISTANO
MONTRESTA,473,176,2,4,ORISTANO
MORGONGIORI,671,242,7,26,ORISTANO
NARBOLIA,1549,489,4,21,ORISTANO
NEONELI,595,186,1,6,ORISTANO
NORBELLO,1040,373,6,24,ORISTANO
NUGHEDU SANTA VITTORIA,436,156,2,5,ORISTANO
NURACHI,1528,485,3,20,ORISTANO
NURECI,305,106,0,6,ORISTANO
OLLASTRA,1033,305,6,23,ORISTANO
ORISTANO,27178,10707,51,283,ORISTANO
PALMAS ARBOREA,1227,345,1,14,ORISTANO
PAU,265,77,2,8,ORISTANO
PAULILATINO,2014,562,7,54,ORISTANO
POMPU,226,82,2,5,ORISTANO
RIOLA SARDO,1939,531,3,21,ORISTANO
RUINAS,646,240,1,9,ORISTANO
SAGAMA,175,44,0,1,ORISTANO
SAMUGHEO,2669,796,5,27,ORISTANO
SAN NICOLO' D'ARCIDANO,2253,718,9,29,ORISTANO
SANTA GIUSTA,4081,1341,15,56,ORISTANO
SANTU LUSSURGIU,2424,580,7,31,ORISTANO
SAN VERO MILIS,2187,768,7,26,ORISTANO
SCANO DI MONTIFERRO,1390,360,4,20,ORISTANO
SEDILO,1921,591,1,22,ORISTANO
SENEGHE,1620,582,1,17,ORISTANO
SENIS,414,132,1,4,ORISTANO
SENNARIOLO,170,42,1,2,ORISTANO
SIAMAGGIORE,828,219,2,12,ORISTANO
SIAMANNA,720,221,2,10,ORISTANO
SIAPICCIA,323,88,3,8,ORISTANO
SIMALA,315,110,2,5,ORISTANO
SIMAXIS,1963,759,3,24,ORISTANO
SINI,443,153,3,13,ORISTANO
SIRIS,201,57,1,1,ORISTANO
SODDI',107,38,0,1,ORISTANO
SOLARUSSA,2107,682,5,27,ORISTANO
SORRADILE,386,311,52,78,ORISTANO
SUNI,1003,257,4,11,ORISTANO
TADASUNI,157,69,1,4,ORISTANO
TERRALBA,8883,3091,16,79,ORISTANO
TINNURA,223,81,3,11,ORISTANO
TRAMATZA,833,305,9,21,ORISTANO
TRESNURAGHES,1108,292,3,14,ORISTANO
ULA TIRSO,502,119,2,5,ORISTANO
URAS,2551,788,9,34,ORISTANO
USELLUS,729,228,3,7,ORISTANO
VILLANOVA TRUSCHEDU,287,83,0,4,ORISTANO
VILLA SANT'ANTONIO,336,105,0,1,ORISTANO
VILLAURBANA,1463,471,5,31,ORISTANO
VILLA VERDE,292,86,1,4,ORISTANO
ZEDDIANI,1004,284,3,11,ORISTANO
ZERFALIU,932,264,1,8,ORISTANO
