Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACQUASANTA TERME,3580,1435,14,52,ASCOLI PICENO
ACQUAVIVA PICENA,3175,1637,19,65,ASCOLI PICENO
APPIGNANO DEL TRONTO,1688,1078,12,54,ASCOLI PICENO
ARQUATA DEL TRONTO,1329,563,9,29,ASCOLI PICENO
ASCOLI PICENO,42478,32480,1204,2159,ASCOLI PICENO
CARASSAI,1093,717,45,75,ASCOLI PICENO
CASTEL DI LAMA,6791,5442,187,336,ASCOLI PICENO
CASTIGNANO,2565,1935,132,216,ASCOLI PICENO
CASTORANO,1901,1509,69,130,ASCOLI PICENO
COLLI DEL TRONTO,2948,2333,110,167,ASCOLI PICENO
COMUNANZA,2628,2154,190,268,ASCOLI PICENO
COSSIGNANO,1037,631,46,51,ASCOLI PICENO
CUPRA MARITTIMA,4522,3233,133,218,ASCOLI PICENO
FOLIGNANO,7711,5875,222,417,ASCOLI PICENO
FORCE,1294,606,18,40,ASCOLI PICENO
GROTTAMMARE,12700,7260,59,195,ASCOLI PICENO
MALTIGNANO,2089,1602,50,122,ASCOLI PICENO
MASSIGNANO,1435,1035,70,118,ASCOLI PICENO
MONSAMPOLO DEL TRONTO,3638,2690,115,198,ASCOLI PICENO
MONTALTO DELLE MARCHE,2105,1573,106,141,ASCOLI PICENO
MONTEDINOVE,556,361,27,43,ASCOLI PICENO
MONTEFIORE DELL'ASO,1890,1360,73,117,ASCOLI PICENO
MONTEGALLO,548,241,1,8,ASCOLI PICENO
MONTEMONACO,553,455,48,76,ASCOLI PICENO
MONTEPRANDONE,9745,7158,284,456,ASCOLI PICENO
OFFIDA,4450,3402,106,203,ASCOLI PICENO
PALMIANO,185,154,15,17,ASCOLI PICENO
RIPATRANSONE,3738,2044,36,112,ASCOLI PICENO
ROCCAFLUVIONE,1826,1497,100,170,ASCOLI PICENO
ROTELLA,788,633,65,81,ASCOLI PICENO
SAN BENEDETTO DEL TRONTO,38813,21984,154,570,ASCOLI PICENO
SPINETOLI,5550,4209,123,248,ASCOLI PICENO
VENAROTTA,1852,1427,103,176,ASCOLI PICENO
