Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AIELLO DEL SABATO,3384,1715,20,67,AVELLINO
ALTAVILLA IRPINA,4520,2764,214,380,AVELLINO
ANDRETTA,2597,1125,200,226,AVELLINO
AQUILONIA,2110,929,21,50,AVELLINO
ARIANO IRPINO,18948,15774,1118,1938,AVELLINO
ATRIPALDA,9607,4457,49,231,AVELLINO
AVELLA,6555,3157,47,180,AVELLINO
AVELLINO,46423,23294,189,915,AVELLINO
BAGNOLI IRPINO,3683,1377,27,67,AVELLINO
BAIANO,4021,1848,29,87,AVELLINO
BISACCIA,4046,2690,244,324,AVELLINO
BONITO,2473,1787,130,218,AVELLINO
CAIRANO,454,151,3,6,AVELLINO
CALABRITTO,2813,982,37,68,AVELLINO
CALITRI,4844,2216,31,166,AVELLINO
CANDIDA,1134,845,85,129,AVELLINO
CAPOSELE,4149,1506,17,56,AVELLINO
CAPRIGLIA IRPINA,2224,1035,17,46,AVELLINO
CARIFE,1775,1089,90,126,AVELLINO
CASALBORE,1769,767,19,44,AVELLINO
CASSANO IRPINO,1244,737,86,113,AVELLINO
CASTEL BARONIA,1283,882,82,110,AVELLINO
CASTELFRANCI,2296,902,8,32,AVELLINO
CASTELVETERE SUL CALORE,1589,1197,111,150,AVELLINO
CERVINARA,8827,4011,40,164,AVELLINO
CESINALI,2129,1791,107,176,AVELLINO
CHIANCHE,612,198,1,11,AVELLINO
CHIUSANO DI SAN DOMENICO,2536,1696,179,265,AVELLINO
CONTRADA,2833,2166,142,202,AVELLINO
CONZA DELLA CAMPANIA,2033,657,8,29,AVELLINO
DOMICELLA,1449,1319,154,192,AVELLINO
FLUMERI,2959,1261,17,60,AVELLINO
FONTANAROSA,3366,1053,9,37,AVELLINO
FORINO,4593,3593,302,467,AVELLINO
FRIGENTO,4149,1696,23,72,AVELLINO
GESUALDO,4346,1616,18,75,AVELLINO
GRECI,842,350,5,13,AVELLINO
GROTTAMINARDA,7487,5789,396,593,AVELLINO
GROTTOLELLA,1783,1361,98,163,AVELLINO
GUARDIA LOMBARDI,2865,698,13,27,AVELLINO
LACEDONIA,2620,1083,21,72,AVELLINO
LAPIO,1599,598,9,46,AVELLINO
LAURO,2942,1748,30,60,AVELLINO
LIONI,7419,2653,39,161,AVELLINO
LUOGOSANO,1125,566,7,21,AVELLINO
MANOCALZATI,2890,1301,25,63,AVELLINO
MARZANO DI NOLA,1392,970,15,35,AVELLINO
MELITO IRPINO,2183,1442,179,251,AVELLINO
MERCOGLIANO,9911,7705,406,760,AVELLINO
MIRABELLA ECLANO,7113,5076,357,672,AVELLINO
MONTAGUTO,457,288,34,50,AVELLINO
MONTECALVO IRPINO,4038,2753,229,327,AVELLINO
MONTEFALCIONE,3444,1422,19,66,AVELLINO
MONTEFORTE IRPINO,9081,4534,28,238,AVELLINO
MONTEFREDANE,2169,979,17,36,AVELLINO
MONTEFUSCO,1502,1036,94,123,AVELLINO
MONTELLA,8295,5332,461,646,AVELLINO
MONTEMARANO,3396,1361,31,69,AVELLINO
MONTEMILETTO,5193,3857,431,565,AVELLINO
MONTEVERDE,766,293,5,10,AVELLINO
MONTORO,16454,13426,849,1397,AVELLINO
MORRA DE SANCTIS,1928,1029,105,141,AVELLINO
MOSCHIANO,1729,1239,116,139,AVELLINO
MUGNANO DEL CARDINALE,4602,2183,22,99,AVELLINO
NUSCO,5602,2911,223,368,AVELLINO
OSPEDALETTO D'ALPINOLO,1696,839,10,28,AVELLINO
PAGO DEL VALLO DI LAURO,1451,901,6,26,AVELLINO
PAROLISE,788,446,38,63,AVELLINO
PATERNOPOLI,2368,1754,223,303,AVELLINO
PETRURO IRPINO,324,118,2,5,AVELLINO
PIETRADEFUSI,2417,936,13,31,AVELLINO
PIETRASTORNINA,1432,691,7,26,AVELLINO
PRATA DI PRINCIPATO ULTRA,2671,1114,12,48,AVELLINO
PRATOLA SERRA,3561,1872,14,62,AVELLINO
QUADRELLE,1544,744,6,25,AVELLINO
QUINDICI,2006,1002,13,36,AVELLINO
ROCCABASCERANA,2270,1138,20,55,AVELLINO
ROCCA SAN FELICE,1046,364,11,32,AVELLINO
ROTONDI,3162,1470,15,48,AVELLINO
SALZA IRPINA,746,599,50,73,AVELLINO
SAN MANGO SUL CALORE,1369,460,8,27,AVELLINO
SAN MARTINO VALLE CAUDINA,4451,2089,18,52,AVELLINO
SAN MICHELE DI SERINO,2254,1707,130,242,AVELLINO
SAN NICOLA BARONIA,858,573,43,59,AVELLINO
SAN POTITO ULTRA,1549,754,12,27,AVELLINO
SAN SOSSIO BARONIA,2006,1313,149,172,AVELLINO
SANTA LUCIA DI SERINO,1510,1012,99,151,AVELLINO
SANT'ANDREA DI CONZA,2239,1235,172,205,AVELLINO
