Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AGGIUS,1360,541,6,21,OLBIA-TEMPIO
AGLIENTU,989,294,4,8,OLBIA-TEMPIO
ALA' DEI SARDI,1509,268,1,17,OLBIA-TEMPIO
ARZACHENA,10344,3408,22,103,OLBIA-TEMPIO
BADESI,1576,539,4,16,OLBIA-TEMPIO
BERCHIDDA,2445,847,12,62,OLBIA-TEMPIO
BORTIGIADAS,676,269,3,14,OLBIA-TEMPIO
BUDDUSO',3089,654,7,23,OLBIA-TEMPIO
BUDONI,4127,1161,18,27,OLBIA-TEMPIO
CALANGIANUS,3567,1458,16,71,OLBIA-TEMPIO
GOLFO ARANCI,1972,1464,128,128,OLBIA-TEMPIO
LA MADDALENA,9705,3652,20,107,OLBIA-TEMPIO
LOIRI PORTO SAN PAOLO,2761,1135,4,29,OLBIA-TEMPIO
LUOGOSANTO,1526,520,4,21,OLBIA-TEMPIO
LURAS,2123,643,9,38,OLBIA-TEMPIO
MONTI,2055,697,7,38,OLBIA-TEMPIO
OLBIA,44293,15444,67,333,OLBIA-TEMPIO
OSCHIRI,3033,1159,13,30,OLBIA-TEMPIO
PADRU,1754,536,3,23,OLBIA-TEMPIO
PALAU,3294,1249,7,26,OLBIA-TEMPIO
SAN TEODORO,3828,1307,0,30,OLBIA-TEMPIO
SANTA TERESA GALLURA,4162,1569,9,41,OLBIA-TEMPIO
SANT'ANTONIO DI GALLURA,1236,444,5,28,OLBIA-TEMPIO
TELTI,1862,755,10,43,OLBIA-TEMPIO
TEMPIO PAUSANIA,11796,4149,33,157,OLBIA-TEMPIO
TRINITA' D'AGULTU E VIGNOLA,1885,835,9,22,OLBIA-TEMPIO
