Ente,Liste/Gruppi,Voti,nomefile
BORORE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,8,NUORO
BORORE,ITALIA DEI VALORI,4,NUORO
BORORE,VERDI EUROPEI-GREEN ITALIA,1,NUORO
BORORE,IO CAMBIO - MAIE,1,NUORO
BORTIGALI,PARTITO DEMOCRATICO,183,NUORO
BORTIGALI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,90,NUORO
BORTIGALI,FORZA ITALIA,37,NUORO
BORTIGALI,NUOVO CENTRO DESTRA - UDC,20,NUORO
BORTIGALI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,16,NUORO
BORTIGALI,L'ALTRA EUROPA CON TSIPRAS,15,NUORO
BORTIGALI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,8,NUORO
BORTIGALI,SCELTA EUROPEA,4,NUORO
BORTIGALI,IO CAMBIO - MAIE,2,NUORO
BORTIGALI,ITALIA DEI VALORI,2,NUORO
BORTIGALI,VERDI EUROPEI-GREEN ITALIA,0,NUORO
DESULO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,207,NUORO
DESULO,PARTITO DEMOCRATICO,200,NUORO
DESULO,FORZA ITALIA,109,NUORO
DESULO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,91,NUORO
DESULO,SCELTA EUROPEA,58,NUORO
DESULO,L'ALTRA EUROPA CON TSIPRAS,17,NUORO
DESULO,NUOVO CENTRO DESTRA - UDC,14,NUORO
DESULO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,5,NUORO
DESULO,ITALIA DEI VALORI,2,NUORO
DESULO,VERDI EUROPEI-GREEN ITALIA,0,NUORO
DESULO,IO CAMBIO - MAIE,0,NUORO
DORGALI,PARTITO DEMOCRATICO,1268,NUORO
DORGALI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1079,NUORO
DORGALI,FORZA ITALIA,269,NUORO
DORGALI,NUOVO CENTRO DESTRA - UDC,107,NUORO
DORGALI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,76,NUORO
DORGALI,L'ALTRA EUROPA CON TSIPRAS,65,NUORO
DORGALI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,26,NUORO
DORGALI,ITALIA DEI VALORI,15,NUORO
DORGALI,SCELTA EUROPEA,8,NUORO
DORGALI,VERDI EUROPEI-GREEN ITALIA,6,NUORO
DORGALI,IO CAMBIO - MAIE,4,NUORO
DUALCHI,PARTITO DEMOCRATICO,110,NUORO
DUALCHI,SCELTA EUROPEA,42,NUORO
DUALCHI,FORZA ITALIA,21,NUORO
DUALCHI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,14,NUORO
DUALCHI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,4,NUORO
DUALCHI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,3,NUORO
DUALCHI,VERDI EUROPEI-GREEN ITALIA,1,NUORO
DUALCHI,NUOVO CENTRO DESTRA - UDC,1,NUORO
DUALCHI,IO CAMBIO - MAIE,0,NUORO
DUALCHI,L'ALTRA EUROPA CON TSIPRAS,0,NUORO
DUALCHI,ITALIA DEI VALORI,0,NUORO
FONNI,PARTITO DEMOCRATICO,401,NUORO
FONNI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,238,NUORO
FONNI,FORZA ITALIA,139,NUORO
FONNI,NUOVO CENTRO DESTRA - UDC,29,NUORO
FONNI,L'ALTRA EUROPA CON TSIPRAS,23,NUORO
FONNI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,18,NUORO
FONNI,SCELTA EUROPEA,6,NUORO
FONNI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,5,NUORO
FONNI,ITALIA DEI VALORI,3,NUORO
FONNI,VERDI EUROPEI-GREEN ITALIA,2,NUORO
FONNI,IO CAMBIO - MAIE,0,NUORO
GADONI,PARTITO DEMOCRATICO,84,NUORO
GADONI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,70,NUORO
GADONI,FORZA ITALIA,34,NUORO
GADONI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,13,NUORO
GADONI,NUOVO CENTRO DESTRA - UDC,5,NUORO
GADONI,IO CAMBIO - MAIE,2,NUORO
GADONI,L'ALTRA EUROPA CON TSIPRAS,1,NUORO
GADONI,ITALIA DEI VALORI,1,NUORO
GADONI,SCELTA EUROPEA,0,NUORO
GADONI,VERDI EUROPEI-GREEN ITALIA,0,NUORO
GADONI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,0,NUORO
GALTELLI',PARTITO DEMOCRATICO,212,NUORO
GALTELLI',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,89,NUORO
GALTELLI',FORZA ITALIA,82,NUORO
GALTELLI',NUOVO CENTRO DESTRA - UDC,31,NUORO
GALTELLI',FRATELLI D'ITALIA - ALLEANZA NAZIONALE,9,NUORO
GALTELLI',LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,9,NUORO
GALTELLI',L'ALTRA EUROPA CON TSIPRAS,8,NUORO
GALTELLI',SCELTA EUROPEA,7,NUORO
GALTELLI',IO CAMBIO - MAIE,2,NUORO
GALTELLI',VERDI EUROPEI-GREEN ITALIA,1,NUORO
