Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ALA,6670,3848,32,143,TRENTO
ALBIANO,1267,575,5,24,TRENTO
ALDENO,2414,1457,10,42,TRENTO
AMBLAR,234,96,3,8,TRENTO
ANDALO,872,373,5,18,TRENTO
ARCO,13503,7361,61,226,TRENTO
AVIO,3298,1796,22,84,TRENTO
BASELGA DI PINE',4147,2040,27,96,TRENTO
BEDOLLO,1302,640,9,36,TRENTO
BERSONE,265,119,2,4,TRENTO
BESENELLO,2178,1232,6,42,TRENTO
BIENO,377,186,6,16,TRENTO
BLEGGIO SUPERIORE,1270,668,4,26,TRENTO
BOCENAGO,335,224,4,10,TRENTO
BOLBENO,274,168,0,5,TRENTO
BONDO,600,340,4,13,TRENTO
BONDONE,590,305,2,5,TRENTO
BORGO VALSUGANA,5870,2802,25,97,TRENTO
BOSENTINO,742,400,6,18,TRENTO
BREGUZZO,505,260,2,8,TRENTO
BRENTONICO,3066,1882,15,55,TRENTO
BRESIMO,222,118,9,18,TRENTO
BREZ,606,290,11,23,TRENTO
BRIONE,118,71,0,8,TRENTO
CADERZONE TERME,491,287,4,11,TRENTO
CAGNO',323,165,3,8,TRENTO
CALAVINO,1105,661,7,21,TRENTO
CALCERANICA AL LAGO,1102,576,3,26,TRENTO
CALDES,872,438,11,23,TRENTO
CALDONAZZO,3069,1605,10,59,TRENTO
CALLIANO,1423,756,4,20,TRENTO
CAMPITELLO DI FASSA,579,269,5,16,TRENTO
CAMPODENNO,1238,630,8,22,TRENTO
CANAL SAN BOVO,1679,617,14,52,TRENTO
CANAZEI,1504,698,14,58,TRENTO
CAPRIANA,477,244,5,12,TRENTO
CARANO,840,358,8,18,TRENTO
CARISOLO,785,392,10,21,TRENTO
CARZANO,439,236,3,11,TRENTO
CASTELFONDO,503,245,5,15,TRENTO
CASTEL CONDINO,205,126,2,4,TRENTO
CASTELLO-MOLINA DI FIEMME,1859,875,13,40,TRENTO
CASTELLO TESINO,1224,561,5,22,TRENTO
CASTELNUOVO,1036,428,11,26,TRENTO
CAVALESE,3082,1487,19,68,TRENTO
CAVARENO,772,395,3,19,TRENTO
CAVEDAGO,486,195,2,12,TRENTO
CAVEDINE,2557,1325,17,77,TRENTO
CAVIZZANA,204,119,1,9,TRENTO
CEMBRA,1580,704,7,42,TRENTO
CENTA SAN NICOLO',640,273,2,10,TRENTO
CIMEGO,341,188,4,10,TRENTO
CIMONE,568,338,3,6,TRENTO
CINTE TESINO,373,195,6,17,TRENTO
CIS,284,159,1,8,TRENTO
CIVEZZANO,3193,1651,8,51,TRENTO
CLES,5282,2798,26,119,TRENTO
CLOZ,553,313,5,14,TRENTO
COMANO TERME,2223,1160,15,36,TRENTO
COMMEZZADURA,798,338,10,21,TRENTO
CONDINO,1203,602,11,21,TRENTO
COREDO,1289,647,5,36,TRENTO
CROVIANA,505,268,1,5,TRENTO
CUNEVO,472,261,11,18,TRENTO
DAIANO,571,212,2,14,TRENTO
DAMBEL,367,188,2,7,TRENTO
DAONE,535,234,3,15,TRENTO
DARE',191,100,0,5,TRENTO
DENNO,984,608,7,16,TRENTO
DIMARO,1146,497,4,18,TRENTO
DON,205,112,3,8,TRENTO
