Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACQUARICA DEL CAPO,4933,3247,270,395,LECCE
ALESSANO,6093,2539,38,117,LECCE
ALEZIO,5216,2000,23,72,LECCE
ALLISTE,5804,1969,32,130,LECCE
ANDRANO,4321,3461,271,445,LECCE
ARADEO,8695,3521,52,170,LECCE
ARNESANO,3201,1586,21,73,LECCE
BAGNOLO DEL SALENTO,1774,1415,156,204,LECCE
BOTRUGNO,2900,2091,162,238,LECCE
CALIMERA,6177,3716,40,141,LECCE
CAMPI SALENTINA,9056,7357,658,991,LECCE
CANNOLE,1556,837,14,31,LECCE
CAPRARICA DI LECCE,2173,998,16,54,LECCE
CARMIANO,10180,4430,83,271,LECCE
CARPIGNANO SALENTINO,3586,2689,196,294,LECCE
CASARANO,17451,7062,70,368,LECCE
CASTRI DI LECCE,2471,2143,170,283,LECCE
CASTRIGNANO DE' GRECI,4258,1839,37,86,LECCE
CASTRIGNANO DEL CAPO,5299,2109,24,100,LECCE
CASTRO,2118,1246,19,42,LECCE
CAVALLINO,9999,5276,71,234,LECCE
COLLEPASSO,5704,2417,47,119,LECCE
COPERTINO,19842,15462,1420,2245,LECCE
CORIGLIANO D'OTRANTO,5503,2641,38,132,LECCE
CORSANO,4933,3835,328,451,LECCE
CURSI,3740,2917,225,319,LECCE
CUTROFIANO,8149,3289,45,168,LECCE
DISO,2818,1566,30,108,LECCE
GAGLIANO DEL CAPO,5377,1963,24,104,LECCE
GALATINA,23378,10450,150,507,LECCE
GALATONE,13521,6210,78,305,LECCE
GALLIPOLI,17943,7250,65,368,LECCE
GIUGGIANELLO,1093,936,81,103,LECCE
GIURDIGNANO,1687,807,15,43,LECCE
GUAGNANO,5119,2070,41,123,LECCE
LECCE,75905,35442,239,1372,LECCE
LEQUILE,7091,5545,310,567,LECCE
LEVERANO,11395,4876,79,243,LECCE
LIZZANELLO,9537,4997,64,258,LECCE
MAGLIE,12940,7605,111,365,LECCE
MARTANO,8738,4082,64,223,LECCE
MARTIGNANO,1499,1286,91,140,LECCE
MATINO,10653,3910,61,258,LECCE
MELENDUGNO,8390,3772,42,164,LECCE
MELISSANO,6246,2438,40,121,LECCE
MELPIGNANO,2309,1139,17,44,LECCE
MIGGIANO,3205,2568,223,324,LECCE
MINERVINO DI LECCE,3305,2699,239,348,LECCE
MONTERONI DI LECCE,11310,5673,75,320,LECCE
MONTESANO SALENTINO,2277,1069,16,70,LECCE
MORCIANO DI LEUCA,3857,2401,206,281,LECCE
MURO LECCESE,4658,3580,212,360,LECCE
NARDO',26620,13704,132,554,LECCE
NEVIANO,4916,2055,32,95,LECCE
NOCIGLIA,2258,1031,27,77,LECCE
NOVOLI,6996,3211,40,147,LECCE
ORTELLE,2084,1143,23,84,LECCE
OTRANTO,4907,2347,28,64,LECCE
PALMARIGGI,1402,1182,158,224,LECCE
PARABITA,8699,3633,26,132,LECCE
PATU',1695,915,10,26,LECCE
POGGIARDO,5325,2694,37,138,LECCE
PORTO CESAREO,4790,2070,22,59,LECCE
PRESICCE,5937,3811,313,418,LECCE
RACALE,9173,3448,41,172,LECCE
RUFFANO,8572,2834,35,134,LECCE
SALICE SALENTINO,7124,3552,61,204,LECCE
SALVE,5360,1900,27,108,LECCE
SANARICA,1326,1086,90,135,LECCE
SAN CASSIANO,1859,974,30,70,LECCE
SAN CESARIO DI LECCE,6715,3585,45,190,LECCE
SAN DONATO DI LECCE,4885,2592,49,148,LECCE
SANNICOLA,5713,2466,36,128,LECCE
SAN PIETRO IN LAMA,3076,1378,24,80,LECCE
SANTA CESAREA TERME,2586,1308,33,93,LECCE
SCORRANO,6478,2700,40,163,LECCE
SECLI',1661,1389,165,207,LECCE
SOGLIANO CAVOUR,3546,1830,32,105,LECCE
SOLETO,4695,3890,305,412,LECCE
SPECCHIA,4593,3421,228,373,LECCE
SPONGANO,3310,1727,64,113,LECCE
SQUINZANO,12516,5882,93,320,LECCE
STERNATIA,2083,1813,155,214,LECCE
SUPERSANO,3950,2904,292,456,LECCE
SURANO,1640,1272,167,208,LECCE
SURBO,12091,4910,73,294,LECCE
TAURISANO,11855,3712,31,135,LECCE
TAVIANO,10266,4068,51,206,LECCE
TIGGIANO,2518,2062,173,238,LECCE
TREPUZZI,12209,6027,73,288,LECCE
TRICASE,15501,7014,111,386,LECCE
TUGLIE,5386,3654,255,402,LECCE
UGENTO,11686,3943,56,220,LECCE
UGGIANO LA CHIESA,3946,1993,26,79,LECCE
VEGLIE,11828,4711,62,261,LECCE
VERNOLE,6221,2848,52,206,LECCE
ZOLLINO,1986,1548,152,201,LECCE
