Ente,Liste/Gruppi,Voti,nomefile
BOZZOLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,377,MANTOVA
BOZZOLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,357,MANTOVA
BOZZOLO,NUOVO CENTRO DESTRA - UDC,89,MANTOVA
BOZZOLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,80,MANTOVA
BOZZOLO,L'ALTRA EUROPA CON TSIPRAS,46,MANTOVA
BOZZOLO,VERDI EUROPEI-GREEN ITALIA,21,MANTOVA
BOZZOLO,ITALIA DEI VALORI,16,MANTOVA
BOZZOLO,SCELTA EUROPEA,16,MANTOVA
BOZZOLO,IO CAMBIO - MAIE,9,MANTOVA
CANNETO SULL'OGLIO,PARTITO DEMOCRATICO,900,MANTOVA
CANNETO SULL'OGLIO,FORZA ITALIA,442,MANTOVA
CANNETO SULL'OGLIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,396,MANTOVA
CANNETO SULL'OGLIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,344,MANTOVA
CANNETO SULL'OGLIO,NUOVO CENTRO DESTRA - UDC,90,MANTOVA
CANNETO SULL'OGLIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,75,MANTOVA
CANNETO SULL'OGLIO,L'ALTRA EUROPA CON TSIPRAS,43,MANTOVA
CANNETO SULL'OGLIO,SCELTA EUROPEA,19,MANTOVA
CANNETO SULL'OGLIO,ITALIA DEI VALORI,16,MANTOVA
CANNETO SULL'OGLIO,VERDI EUROPEI-GREEN ITALIA,13,MANTOVA
CANNETO SULL'OGLIO,IO CAMBIO - MAIE,4,MANTOVA
CARBONARA DI PO,PARTITO DEMOCRATICO,410,MANTOVA
CARBONARA DI PO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,143,MANTOVA
CARBONARA DI PO,FORZA ITALIA,96,MANTOVA
CARBONARA DI PO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,57,MANTOVA
