Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AMEGLIA,3818,2839,84,181,LA SPEZIA
ARCOLA,8573,5717,90,258,LA SPEZIA
BEVERINO,2225,1686,74,159,LA SPEZIA
BOLANO,6582,4648,133,313,LA SPEZIA
BONASSOLA,838,608,15,33,LA SPEZIA
BORGHETTO DI VARA,1096,516,5,13,LA SPEZIA
BRUGNATO,1079,624,12,25,LA SPEZIA
CALICE AL CORNOVIGLIO,1138,693,22,55,LA SPEZIA
CARRO,660,297,1,12,LA SPEZIA
CARRODANO,556,341,14,20,LA SPEZIA
CASTELNUOVO MAGRA,7001,4990,104,267,LA SPEZIA
DEIVA MARINA,1368,987,30,53,LA SPEZIA
FOLLO,5387,3837,117,260,LA SPEZIA
FRAMURA,757,483,16,37,LA SPEZIA
LA SPEZIA,75055,41828,221,1253,LA SPEZIA
LERICI,9128,5369,34,179,LA SPEZIA
LEVANTO,4956,2787,14,97,LA SPEZIA
MAISSANA,591,422,31,41,LA SPEZIA
MONTEROSSO AL MARE,1787,1047,30,72,LA SPEZIA
ORTONOVO,6998,4110,20,146,LA SPEZIA
PIGNONE,877,445,28,45,LA SPEZIA
PORTOVENERE,3513,1934,17,56,LA SPEZIA
RICCO' DEL GOLFO DI SPEZIA,3183,2223,73,175,LA SPEZIA
RIOMAGGIORE,1650,983,10,34,LA SPEZIA
ROCCHETTA DI VARA,613,474,29,51,LA SPEZIA
SANTO STEFANO DI MAGRA,7495,4570,24,153,LA SPEZIA
SARZANA,18111,10539,43,304,LA SPEZIA
SESTA GODANO,1597,1016,70,123,LA SPEZIA
VARESE LIGURE,2104,1362,86,169,LA SPEZIA
VERNAZZA,1002,577,17,33,LA SPEZIA
VEZZANO LIGURE,6198,4398,82,190,LA SPEZIA
ZIGNAGO,464,385,24,44,LA SPEZIA
