Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AGRATE CONTURBIA,1270,936,26,62,NOVARA
AMENO,788,452,12,22,NOVARA
ARMENO,1967,1364,72,149,NOVARA
ARONA,11811,7196,65,265,NOVARA
BARENGO,747,604,43,72,NOVARA
BELLINZAGO NOVARESE,7805,5651,175,460,NOVARA
BIANDRATE,932,545,12,33,NOVARA
BOCA,1186,611,18,47,NOVARA
BOGOGNO,1094,695,16,32,NOVARA
BOLZANO NOVARESE,1031,732,37,80,NOVARA
BORGOLAVEZZARO,1787,1250,42,108,NOVARA
BORGOMANERO,17030,10445,158,629,NOVARA
BORGO TICINO,3927,2067,28,130,NOVARA
BRIGA NOVARESE,2529,1840,57,166,NOVARA
BRIONA,979,705,47,82,NOVARA
CALTIGNAGA,2128,1637,44,116,NOVARA
CAMERI,8678,6476,157,424,NOVARA
CARPIGNANO SESIA,2082,1568,108,187,NOVARA
CASALBELTRAME,810,587,18,80,NOVARA
CASALEGGIO NOVARA,778,552,15,38,NOVARA
CASALINO,1349,1054,40,90,NOVARA
CASALVOLONE,670,418,7,19,NOVARA
CASTELLAZZO NOVARESE,248,205,12,20,NOVARA
CASTELLETTO SOPRA TICINO,7951,5454,137,334,NOVARA
CAVAGLIETTO,349,255,9,25,NOVARA
CAVAGLIO D'AGOGNA,1039,641,9,39,NOVARA
CAVALLIRIO,1088,880,30,70,NOVARA
CERANO,5292,3953,156,331,NOVARA
COLAZZA,364,287,7,20,NOVARA
COMIGNAGO,995,598,7,31,NOVARA
CRESSA,1367,917,27,72,NOVARA
CUREGGIO,2207,1723,61,150,NOVARA
DIVIGNANO,1167,670,8,34,NOVARA
DORMELLETTO,2092,1466,46,96,NOVARA
FARA NOVARESE,1671,1296,57,112,NOVARA
FONTANETO D'AGOGNA,2556,1672,101,170,NOVARA
GALLIATE,12144,8345,174,576,NOVARA
GARBAGNA NOVARESE,1132,877,34,99,NOVARA
GARGALLO,1499,1200,82,151,NOVARA
GATTICO,2853,1979,66,164,NOVARA
GHEMME,3066,2215,78,152,NOVARA
GOZZANO,4480,3192,135,257,NOVARA
GRANOZZO CON MONTICELLO,1183,736,15,54,NOVARA
GRIGNASCO,3934,2834,94,247,NOVARA
INVORIO,3711,2234,31,133,NOVARA
LANDIONA,488,279,11,26,NOVARA
LESA,1900,1403,52,88,NOVARA
MAGGIORA,1514,784,11,44,NOVARA
MANDELLO VITTA,216,164,16,36,NOVARA
MARANO TICINO,1252,1034,44,96,NOVARA
MASSINO VISCONTI,941,736,40,57,NOVARA
MEINA,2026,1565,45,103,NOVARA
MEZZOMERICO,928,601,7,20,NOVARA
MIASINO,813,459,12,23,NOVARA
MOMO,2173,1580,68,151,NOVARA
NEBBIUNO,1538,937,14,34,NOVARA
NIBBIOLA,698,433,4,20,NOVARA
NOVARA,78634,49697,510,2231,NOVARA
OLEGGIO,10991,7667,196,486,NOVARA
OLEGGIO CASTELLO,1651,1249,39,95,NOVARA
ORTA SAN GIULIO,1020,711,26,57,NOVARA
PARUZZARO,1730,1312,42,99,NOVARA
PELLA,852,672,36,72,NOVARA
PETTENASCO,1173,693,10,47,NOVARA
PISANO,656,491,21,36,NOVARA
POGNO,1181,946,49,112,NOVARA
POMBIA,1701,991,13,43,NOVARA
PRATO SESIA,1662,1181,45,94,NOVARA
RECETTO,730,585,41,58,NOVARA
ROMAGNANO SESIA,3310,2405,71,176,NOVARA
ROMENTINO,4154,3152,126,280,NOVARA
SAN MAURIZIO D'OPAGLIO,2481,1999,93,193,NOVARA
SAN NAZZARO SESIA,631,378,7,19,NOVARA
SAN PIETRO MOSEZZO,1587,1232,32,101,NOVARA
SILLAVENGO,497,406,45,71,NOVARA
SIZZANO,1217,957,57,97,NOVARA
SORISO,591,381,9,28,NOVARA
SOZZAGO,887,614,42,81,NOVARA
SUNO,2391,1379,38,85,NOVARA
TERDOBBIATE,430,340,21,41,NOVARA
TORNACO,775,625,33,56,NOVARA
TRECATE,14426,8890,88,457,NOVARA
VAPRIO D'AGOGNA,863,692,31,68,NOVARA
VARALLO POMBIA,3996,2364,22,103,NOVARA
VERUNO,1549,1234,44,121,NOVARA
VESPOLATE,1802,1348,45,95,NOVARA
VICOLUNGO,688,534,32,80,NOVARA
VINZAGLIO,482,291,5,12,NOVARA
