Ente,Liste/Gruppi,Voti,nomefile
CASTELNUOVO RANGONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,163,MODENA
CASTELNUOVO RANGONE,NUOVO CENTRO DESTRA - UDC,129,MODENA
CASTELNUOVO RANGONE,VERDI EUROPEI-GREEN ITALIA,55,MODENA
CASTELNUOVO RANGONE,SCELTA EUROPEA,35,MODENA
CASTELNUOVO RANGONE,ITALIA DEI VALORI,22,MODENA
CASTELNUOVO RANGONE,SVP,7,MODENA
CASTELNUOVO RANGONE,IO CAMBIO - MAIE,2,MODENA
CASTELVETRO DI MODENA,PARTITO DEMOCRATICO,3171,MODENA
CASTELVETRO DI MODENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1339,MODENA
CASTELVETRO DI MODENA,FORZA ITALIA,645,MODENA
CASTELVETRO DI MODENA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,292,MODENA
CASTELVETRO DI MODENA,L'ALTRA EUROPA CON TSIPRAS,122,MODENA
CASTELVETRO DI MODENA,NUOVO CENTRO DESTRA - UDC,108,MODENA
CASTELVETRO DI MODENA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,106,MODENA
CASTELVETRO DI MODENA,VERDI EUROPEI-GREEN ITALIA,55,MODENA
CASTELVETRO DI MODENA,SCELTA EUROPEA,26,MODENA
CASTELVETRO DI MODENA,ITALIA DEI VALORI,22,MODENA
CASTELVETRO DI MODENA,IO CAMBIO - MAIE,4,MODENA
CASTELVETRO DI MODENA,SVP,3,MODENA
CAVEZZO,PARTITO DEMOCRATICO,2074,MODENA
CAVEZZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,742,MODENA
CAVEZZO,FORZA ITALIA,447,MODENA
CAVEZZO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,311,MODENA
CAVEZZO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,97,MODENA
CAVEZZO,NUOVO CENTRO DESTRA - UDC,79,MODENA
CAVEZZO,L'ALTRA EUROPA CON TSIPRAS,48,MODENA
CAVEZZO,VERDI EUROPEI-GREEN ITALIA,41,MODENA
CAVEZZO,ITALIA DEI VALORI,21,MODENA
CAVEZZO,SCELTA EUROPEA,18,MODENA
CAVEZZO,IO CAMBIO - MAIE,13,MODENA
CAVEZZO,SVP,2,MODENA
CONCORDIA SULLA SECCHIA,PARTITO DEMOCRATICO,2609,MODENA
