Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AGAZZANO,1571,928,14,27,PIACENZA
ALSENO,3898,2946,77,151,PIACENZA
BESENZONE,769,595,36,54,PIACENZA
BETTOLA,2631,1268,11,56,PIACENZA
BOBBIO,3349,2450,112,185,PIACENZA
BORGONOVO VAL TIDONE,5678,3361,31,121,PIACENZA
CADEO,4553,2720,29,117,PIACENZA
CALENDASCO,1972,1518,45,103,PIACENZA
CAMINATA,253,217,11,13,PIACENZA
CAORSO,3796,2828,81,170,PIACENZA
CARPANETO PIACENTINO,5988,3564,25,113,PIACENZA
CASTELL'ARQUATO,3937,2956,91,168,PIACENZA
CASTEL SAN GIOVANNI,9741,7220,235,442,PIACENZA
CASTELVETRO PIACENTINO,4443,2637,20,106,PIACENZA
CERIGNALE,178,99,6,10,PIACENZA
COLI,927,694,56,77,PIACENZA
CORTE BRUGNATELLA,601,489,53,70,PIACENZA
CORTEMAGGIORE,3451,2074,14,61,PIACENZA
FARINI,1395,920,58,102,PIACENZA
FERRIERE,1424,622,10,23,PIACENZA
FIORENZUOLA D'ARDA,11209,7152,49,224,PIACENZA
GAZZOLA,1691,1273,36,79,PIACENZA
GOSSOLENGO,4388,3225,47,139,PIACENZA
GRAGNANO TREBBIENSE,3292,2401,57,144,PIACENZA
GROPPARELLO,2104,1186,5,41,PIACENZA
LUGAGNANO VAL D'ARDA,3442,2612,83,189,PIACENZA
MONTICELLI D'ONGINA,4421,2744,22,129,PIACENZA
MORFASSO,1162,743,31,51,PIACENZA
NIBBIANO,1889,1436,52,118,PIACENZA
OTTONE,664,388,40,48,PIACENZA
PECORARA,721,538,31,50,PIACENZA
PIACENZA,75063,45521,286,1205,PIACENZA
PIANELLO VAL TIDONE,1883,1418,77,116,PIACENZA
PIOZZANO,569,479,19,39,PIACENZA
PODENZANO,7248,5424,149,322,PIACENZA
PONTE DELL'OLIO,4029,2935,73,179,PIACENZA
PONTENURE,4716,3616,73,173,PIACENZA
RIVERGARO,5583,4127,91,205,PIACENZA
ROTTOFRENO,8856,5381,43,195,PIACENZA
SAN GIORGIO PIACENTINO,4608,3451,91,211,PIACENZA
SAN PIETRO IN CERRO,734,470,21,39,PIACENZA
SARMATO,2211,1616,40,100,PIACENZA
TRAVO,1871,1325,56,98,PIACENZA
VERNASCA,2022,1416,49,86,PIACENZA
VIGOLZONE,3418,2566,99,192,PIACENZA
VILLANOVA SULL'ARDA,1492,858,7,26,PIACENZA
ZERBA,115,60,1,3,PIACENZA
ZIANO PIACENTINO,2155,1496,56,104,PIACENZA
