Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
LUSERNA SAN GIOVANNI,6412,4278,140,380,TORINO
LUSERNETTA,527,363,20,46,TORINO
LUSIGLIE',461,304,12,22,TORINO
MACELLO,1231,832,52,129,TORINO
MAGLIONE,470,277,16,32,TORINO
MARENTINO,1145,945,35,68,TORINO
MASSELLO,64,41,0,3,TORINO
MATHI,3225,1962,34,128,TORINO
MATTIE,629,457,14,56,TORINO
MAZZE',3670,2632,112,254,TORINO
MEANA DI SUSA,731,553,13,35,TORINO
MERCENASCO,971,709,28,64,TORINO
MEUGLIANO,79,49,1,5,TORINO
MEZZENILE,695,505,34,68,TORINO
MOMBELLO DI TORINO,328,226,6,12,TORINO
MOMPANTERO,549,385,6,19,TORINO
MONASTERO DI LANZO,333,250,23,47,TORINO
MONCALIERI,44934,29636,321,1290,TORINO
MONCENISIO,37,35,3,3,TORINO
MONTALDO TORINESE,596,393,4,11,TORINO
MONTALENGHE,819,493,8,23,TORINO
MONTALTO DORA,2833,2109,73,154,TORINO
MONTANARO,4673,3276,134,272,TORINO
MONTEU DA PO,757,448,7,19,TORINO
MORIONDO TORINESE,687,585,29,52,TORINO
NICHELINO,38213,28353,765,2018,TORINO
NOASCA,145,92,4,8,TORINO
NOLE,5713,4023,117,299,TORINO
NOMAGLIO,300,211,7,15,TORINO
NONE,6553,4651,131,352,TORINO
NOVALESA,459,343,17,28,TORINO
OGLIANICO,1158,980,39,92,TORINO
ORBASSANO,18968,12358,119,587,TORINO
ORIO CANAVESE,693,424,2,13,TORINO
OSASCO,1017,790,31,67,TORINO
OSASIO,872,495,10,33,TORINO
OULX,2605,1844,46,109,TORINO
OZEGNA,1016,570,14,41,TORINO
PALAZZO CANAVESE,687,549,28,56,TORINO
PANCALIERI,1622,1259,107,188,TORINO
PARELLA,413,256,0,9,TORINO
PAVAROLO,877,686,27,48,TORINO
PAVONE CANAVESE,3256,2389,83,186,TORINO
PECCO,186,151,3,13,TORINO
PECETTO TORINESE,3244,2461,42,105,TORINO
PEROSA ARGENTINA,2957,2012,68,175,TORINO
PEROSA CANAVESE,471,298,5,18,TORINO
PERRERO,709,435,16,50,TORINO
PERTUSIO,642,405,7,21,TORINO
PESSINETTO,506,385,20,36,TORINO
PIANEZZA,11721,8262,71,328,TORINO
PINASCA,2593,1865,94,195,TORINO
PINEROLO,30162,18377,223,819,TORINO
PINO TORINESE,6841,4747,41,127,TORINO
PIOBESI TORINESE,3054,2339,79,169,TORINO
PIOSSASCO,14867,10440,152,550,TORINO
PISCINA,3076,1962,67,198,TORINO
PIVERONE,1199,873,30,79,TORINO
POIRINO,8329,6257,213,500,TORINO
POMARETTO,893,689,23,62,TORINO
PONT-CANAVESE,2820,1626,42,130,TORINO
PORTE,889,587,9,33,TORINO
PRAGELATO,499,388,25,38,TORINO
PRALI,266,188,7,9,TORINO
PRALORMO,1585,1169,39,92,TORINO
PRAMOLLO,393,155,12,26,TORINO
PRAROSTINO,1222,813,34,94,TORINO
PRASCORSANO,667,530,29,49,TORINO
PRATIGLIONE,468,284,22,40,TORINO
QUAGLIUZZO,286,240,8,22,TORINO
QUASSOLO,309,262,20,35,TORINO
QUINCINETTO,904,705,59,82,TORINO
REANO,1460,1152,33,65,TORINO
RIBORDONE,56,50,5,7,TORINO
RIVALBA,919,641,8,29,TORINO
RIVALTA DI TORINO,15726,10625,111,445,TORINO
RIVA PRESSO CHIERI,3592,2562,91,215,TORINO
RIVARA,2150,1674,91,179,TORINO
RIVAROLO CANAVESE,10288,7274,241,545,TORINO
RIVAROSSA,1267,968,29,91,TORINO
RIVOLI,40866,29018,436,1263,TORINO
ROBASSOMERO,2442,1868,46,145,TORINO
ROCCA CANAVESE,1489,1073,53,125,TORINO
ROLETTO,1817,1269,39,99,TORINO
ROMANO CANAVESE,2409,1713,58,142,TORINO
RONCO CANAVESE,383,129,8,13,TORINO
RONDISSONE,1593,1144,50,98,TORINO
RORA',461,178,12,19,TORINO
ROSTA,3799,2780,31,114,TORINO
ROURE,773,498,22,43,TORINO
RUBIANA,1912,1487,34,113,TORINO
RUEGLIO,695,481,49,94,TORINO
SALASSA,1479,1033,46,113,TORINO
SALBERTRAND,483,332,15,35,TORINO
SALERANO CANAVESE,432,320,15,25,TORINO
SALZA DI PINEROLO,62,53,8,11,TORINO
SAMONE,1280,802,8,27,TORINO
SAN BENIGNO CANAVESE,4679,3322,96,201,TORINO
SAN CARLO CANAVESE,3325,2370,72,210,TORINO
SAN COLOMBANO BELMONTE,330,279,22,32,TORINO
SAN DIDERO,458,361,10,20,TORINO
SAN FRANCESCO AL CAMPO,3931,2817,84,243,TORINO
SANGANO,3135,2515,56,128,TORINO
SAN GERMANO CHISONE,1592,1081,59,122,TORINO
SAN GILLIO,2583,1986,54,123,TORINO
SAN GIORGIO CANAVESE,2172,1590,65,121,TORINO
SAN GIORIO DI SUSA,831,674,22,51,TORINO
SAN GIUSTO CANAVESE,2700,1956,67,184,TORINO
SAN MARTINO CANAVESE,715,589,35,72,TORINO
SAN MAURIZIO CANAVESE,7937,5273,68,270,TORINO
SAN MAURO TORINESE,15594,10730,114,403,TORINO
SAN PIETRO VAL LEMINA,1274,970,34,84,TORINO
SAN PONSO,235,198,10,30,TORINO
SAN RAFFAELE CIMENA,2481,1943,65,174,TORINO
SAN SEBASTIANO DA PO,1769,1283,65,122,TORINO
SAN SECONDO DI PINEROLO,3221,2058,86,186,TORINO
SANT'AMBROGIO DI TORINO,3699,2737,56,178,TORINO
SANT'ANTONINO DI SUSA,3443,2572,97,175,TORINO
SANTENA,8527,5467,58,262,TORINO
SAUZE DI CESANA,213,173,12,18,TORINO
SAUZE D'OULX,907,564,15,36,TORINO
SCALENGHE,3393,2147,96,241,TORINO
SCARMAGNO,675,464,6,22,TORINO
SCIOLZE,1191,920,20,44,TORINO
SESTRIERE,688,376,5,20,TORINO
SETTIMO ROTTARO,436,270,7,25,TORINO
SETTIMO TORINESE,38459,28038,535,1517,TORINO
SETTIMO VITTONE,1292,971,58,114,TORINO
SPARONE,843,681,60,114,TORINO
STRAMBINELLO,232,179,10,20,TORINO
STRAMBINO,5408,3921,132,314,TORINO
SUSA,5201,3966,140,325,TORINO
TAVAGNASCO,646,490,38,68,TORINO
TORINO,681647,437196,3976,16807,TORINO
TORRAZZA PIEMONTE,2556,1859,68,183,TORINO
TORRE CANAVESE,537,326,3,17,TORINO
TORRE PELLICE,4253,2588,61,156,TORINO
TRANA,3214,2125,19,87,TORINO
TRAUSELLA,167,83,6,16,TORINO
TRAVERSELLA,356,230,24,56,TORINO
TRAVES,474,358,23,40,TORINO
TROFARELLO,8820,6098,60,308,TORINO
USSEAUX,171,141,7,16,TORINO
USSEGLIO,199,169,33,40,TORINO
VAIE,1173,900,31,82,TORINO
VAL DELLA TORRE,3190,2332,59,165,TORINO
VALLO TORINESE,646,543,24,59,TORINO
VALGIOIE,797,566,27,56,TORINO
VALPERGA,2641,1552,38,114,TORINO
VALPRATO SOANA,127,101,9,15,TORINO
VARISELLA,662,493,16,61,TORINO
VAUDA CANAVESE,1241,1008,63,107,TORINO
VENARIA REALE,28159,18818,164,784,TORINO
VENAUS,845,696,28,73,TORINO
VEROLENGO,4378,3208,141,310,TORINO
VERRUA SAVOIA,1338,921,44,100,TORINO
VESTIGNE',707,523,35,68,TORINO
VIALFRE',203,179,7,10,TORINO
VICO CANAVESE,751,503,43,88,TORINO
VIDRACCO,448,350,3,9,TORINO
VIGONE,4696,2922,184,357,TORINO
VILLAFRANCA PIEMONTE,4393,2929,139,284,TORINO
VILLANOVA CANAVESE,978,774,31,64,TORINO
VILLARBASSE,2780,2193,36,103,TORINO
VILLAR DORA,2318,1818,45,118,TORINO
VILLAREGGIA,840,666,51,87,TORINO
VILLAR FOCCHIARDO,1767,1345,43,105,TORINO
VILLAR PELLICE,1545,681,30,95,TORINO
VILLAR PEROSA,3522,2635,106,265,TORINO
VILLASTELLONE,3785,3045,118,273,TORINO
VINOVO,11924,8777,216,530,TORINO
VIRLE PIEMONTE,1195,572,8,23,TORINO
VISCHE,1217,913,65,111,TORINO
VISTRORIO,437,297,2,15,TORINO
VIU',999,718,54,98,TORINO
VOLPIANO,12304,7577,90,366,TORINO
VOLVERA,7200,4999,105,320,TORINO
