Ente,Liste/Gruppi,Voti,nomefile
ARTOGNE,ITALIA DEI VALORI,7,BRESCIA
ARTOGNE,VERDI EUROPEI-GREEN ITALIA,6,BRESCIA
AZZANO MELLA,PARTITO DEMOCRATICO,539,BRESCIA
AZZANO MELLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,263,BRESCIA
AZZANO MELLA,FORZA ITALIA,239,BRESCIA
AZZANO MELLA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,216,BRESCIA
AZZANO MELLA,NUOVO CENTRO DESTRA - UDC,38,BRESCIA
AZZANO MELLA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,35,BRESCIA
AZZANO MELLA,L'ALTRA EUROPA CON TSIPRAS,28,BRESCIA
AZZANO MELLA,VERDI EUROPEI-GREEN ITALIA,12,BRESCIA
AZZANO MELLA,ITALIA DEI VALORI,11,BRESCIA
AZZANO MELLA,IO CAMBIO - MAIE,3,BRESCIA
AZZANO MELLA,SCELTA EUROPEA,2,BRESCIA
BAGNOLO MELLA,PARTITO DEMOCRATICO,2588,BRESCIA
BAGNOLO MELLA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,983,BRESCIA
BAGNOLO MELLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,965,BRESCIA
BAGNOLO MELLA,FORZA ITALIA,861,BRESCIA
BAGNOLO MELLA,NUOVO CENTRO DESTRA - UDC,209,BRESCIA
BAGNOLO MELLA,L'ALTRA EUROPA CON TSIPRAS,137,BRESCIA
BAGNOLO MELLA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,132,BRESCIA
BAGNOLO MELLA,VERDI EUROPEI-GREEN ITALIA,49,BRESCIA
BAGNOLO MELLA,ITALIA DEI VALORI,31,BRESCIA
BAGNOLO MELLA,SCELTA EUROPEA,24,BRESCIA
BAGNOLO MELLA,IO CAMBIO - MAIE,9,BRESCIA
BAGOLINO,PARTITO DEMOCRATICO,779,BRESCIA
BAGOLINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,545,BRESCIA
BAGOLINO,FORZA ITALIA,282,BRESCIA
BAGOLINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,243,BRESCIA
BAGOLINO,NUOVO CENTRO DESTRA - UDC,47,BRESCIA
BAGOLINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,38,BRESCIA
BAGOLINO,L'ALTRA EUROPA CON TSIPRAS,26,BRESCIA
BAGOLINO,ITALIA DEI VALORI,10,BRESCIA
BAGOLINO,VERDI EUROPEI-GREEN ITALIA,10,BRESCIA
BAGOLINO,SCELTA EUROPEA,8,BRESCIA
BAGOLINO,IO CAMBIO - MAIE,1,BRESCIA
BARBARIGA,PARTITO DEMOCRATICO,440,BRESCIA
BARBARIGA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,302,BRESCIA
BARBARIGA,FORZA ITALIA,258,BRESCIA
BARBARIGA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,185,BRESCIA
BARBARIGA,NUOVO CENTRO DESTRA - UDC,94,BRESCIA
BARBARIGA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,32,BRESCIA
BARBARIGA,L'ALTRA EUROPA CON TSIPRAS,19,BRESCIA
BARBARIGA,ITALIA DEI VALORI,7,BRESCIA
BARBARIGA,VERDI EUROPEI-GREEN ITALIA,5,BRESCIA
BARBARIGA,IO CAMBIO - MAIE,4,BRESCIA
BARBARIGA,SCELTA EUROPEA,4,BRESCIA
BARGHE,PARTITO DEMOCRATICO,253,BRESCIA
BARGHE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,96,BRESCIA
BARGHE,FORZA ITALIA,94,BRESCIA
BARGHE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,66,BRESCIA
BARGHE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,16,BRESCIA
BARGHE,NUOVO CENTRO DESTRA - UDC,16,BRESCIA
BARGHE,L'ALTRA EUROPA CON TSIPRAS,15,BRESCIA
BARGHE,VERDI EUROPEI-GREEN ITALIA,6,BRESCIA
BARGHE,SCELTA EUROPEA,4,BRESCIA
BARGHE,ITALIA DEI VALORI,3,BRESCIA
BARGHE,IO CAMBIO - MAIE,1,BRESCIA
BASSANO BRESCIANO,PARTITO DEMOCRATICO,457,BRESCIA
