Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AUGUSTA,31474,13693,94,460,SIRACUSA
AVOLA,26250,9776,89,560,SIRACUSA
BUCCHERI,2700,786,10,38,SIRACUSA
BUSCEMI,1113,411,6,20,SIRACUSA
CANICATTINI BAGNI,6847,2691,18,122,SIRACUSA
CARLENTINI,15243,6698,45,346,SIRACUSA
CASSARO,854,278,1,12,SIRACUSA
FERLA,2453,881,12,57,SIRACUSA
FLORIDIA,19231,7457,51,304,SIRACUSA
FRANCOFONTE,11348,3723,31,272,SIRACUSA
LENTINI,21214,7834,50,455,SIRACUSA
MELILLI,11611,4685,47,232,SIRACUSA
NOTO,19780,6886,83,485,SIRACUSA
PACHINO,19952,13279,1301,1934,SIRACUSA
PALAZZOLO ACREIDE,8362,3159,33,201,SIRACUSA
PORTOPALO DI CAPO PASSERO,3177,2521,234,331,SIRACUSA
PRIOLO GARGALLO,9999,4189,35,133,SIRACUSA
ROSOLINI,17750,5829,58,297,SIRACUSA
SIRACUSA,100528,38582,228,1349,SIRACUSA
SOLARINO,7311,2551,19,98,SIRACUSA
SORTINO,8107,3849,45,233,SIRACUSA
