Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ABANO TERME,15750,9745,48,247,PADOVA
AGNA,2731,2136,81,172,PADOVA
ALBIGNASEGO,19748,13254,91,450,PADOVA
ANGUILLARA VENETA,3872,2759,69,173,PADOVA
ARQUA' PETRARCA,1584,1274,42,78,PADOVA
ARRE,1833,1204,23,79,PADOVA
ARZERGRANDE,3994,2449,17,94,PADOVA
BAGNOLI DI SOPRA,2878,2152,98,169,PADOVA
BAONE,2782,2081,56,100,PADOVA
BARBONA,610,421,28,51,PADOVA
BATTAGLIA TERME,3096,2347,46,105,PADOVA
BOARA PISANI,2169,1353,17,49,PADOVA
BORGORICCO,6669,4880,125,282,PADOVA
BOVOLENTA,2783,1687,8,45,PADOVA
BRUGINE,5555,4180,86,237,PADOVA
CADONEGHE,12103,8849,106,330,PADOVA
CAMPODARSEGO,11383,7248,69,318,PADOVA
CAMPODORO,2144,1596,32,75,PADOVA
CAMPOSAMPIERO,8964,6699,186,432,PADOVA
CAMPO SAN MARTINO,4469,3487,77,254,PADOVA
CANDIANA,1995,1555,43,110,PADOVA
CARCERI,1334,1013,39,76,PADOVA
CARMIGNANO DI BRENTA,5936,4592,122,309,PADOVA
CARTURA,3740,2290,26,92,PADOVA
CASALE DI SCODOSIA,3848,2949,94,224,PADOVA
CASALSERUGO,4486,2985,32,141,PADOVA
CASTELBALDO,1335,743,9,22,PADOVA
CERVARESE SANTA CROCE,4498,3471,100,225,PADOVA
CINTO EUGANEO,1764,1289,36,89,PADOVA
CITTADELLA,16599,10292,92,441,PADOVA
CODEVIGO,5146,2924,22,101,PADOVA
CONSELVE,7994,4921,57,195,PADOVA
CORREZZOLA,4512,3171,96,213,PADOVA
CURTAROLO,5686,4306,103,261,PADOVA
DUE CARRARE,7182,4540,35,160,PADOVA
ESTE,13671,8367,60,277,PADOVA
FONTANIVA,6762,4900,156,360,PADOVA
GALLIERA VENETA,6119,4302,97,266,PADOVA
GALZIGNANO TERME,3743,2064,20,94,PADOVA
GAZZO,3396,1883,17,69,PADOVA
GRANTORTO,3523,2169,14,112,PADOVA
GRANZE,1581,832,16,52,PADOVA
LEGNARO,6779,4972,69,202,PADOVA
LIMENA,5961,4703,78,248,PADOVA
LOREGGIA,5500,3183,27,124,PADOVA
LOZZO ATESTINO,2799,1639,28,92,PADOVA
MASERA' DI PADOVA,7158,4404,39,171,PADOVA
MASI,1526,1123,36,77,PADOVA
MASSANZAGO,4365,3193,93,191,PADOVA
MEGLIADINO SAN FIDENZIO,1662,1239,36,81,PADOVA
MEGLIADINO SAN VITALE,1612,1235,34,88,PADOVA
MERLARA,2403,1333,13,64,PADOVA
MESTRINO,8073,5011,23,156,PADOVA
MONSELICE,14372,10993,264,634,PADOVA
MONTAGNANA,7662,4367,49,167,PADOVA
MONTEGROTTO TERME,8965,5572,31,146,PADOVA
NOVENTA PADOVANA,8328,5361,31,143,PADOVA
OSPEDALETTO EUGANEO,4610,2769,31,120,PADOVA
PADOVA,159286,114442,1429,3798,PADOVA
PERNUMIA,3172,1980,20,71,PADOVA
PIACENZA D'ADIGE,1177,864,41,85,PADOVA
PIAZZOLA SUL BRENTA,8900,6747,122,305,PADOVA
PIOMBINO DESE,7173,4287,51,199,PADOVA
PIOVE DI SACCO,15080,9387,59,314,PADOVA
POLVERARA,2596,2121,48,109,PADOVA
PONSO,2032,1657,107,162,PADOVA
PONTELONGO,2973,2223,64,148,PADOVA
PONTE SAN NICOLO',10689,8226,131,368,PADOVA
POZZONOVO,3055,2357,77,145,PADOVA
ROVOLON,3769,2117,21,79,PADOVA
RUBANO,12302,8781,144,366,PADOVA
SACCOLONGO,4039,2952,64,186,PADOVA
SALETTO,2334,1744,49,130,PADOVA
SAN GIORGIO DELLE PERTICHE,7372,5695,138,321,PADOVA
SAN GIORGIO IN BOSCO,5129,4006,124,257,PADOVA
SAN MARTINO DI LUPARI,10910,7821,145,432,PADOVA
SAN PIETRO IN GU,3528,2852,98,216,PADOVA
SAN PIETRO VIMINARIO,2414,1818,44,93,PADOVA
SANTA GIUSTINA IN COLLE,5696,4370,121,293,PADOVA
SANTA MARGHERITA D'ADIGE,1960,1058,12,50,PADOVA
SANT'ANGELO DI PIOVE DI SACCO,5641,3554,15,100,PADOVA
SANT'ELENA,2042,1503,45,115,PADOVA
SANT'URBANO,1865,1046,9,34,PADOVA
SAONARA,7629,4992,24,156,PADOVA
SELVAZZANO DENTRO,17514,12820,231,580,PADOVA
SOLESINO,5705,3277,35,143,PADOVA
STANGHELLA,3515,2692,87,165,PADOVA
TEOLO,7478,4518,33,151,PADOVA
TERRASSA PADOVANA,2114,1632,47,104,PADOVA
TOMBOLO,6565,4707,141,324,PADOVA
TORREGLIA,5064,3019,18,100,PADOVA
TREBASELEGHE,9638,7250,180,413,PADOVA
TRIBANO,3499,2707,58,119,PADOVA
URBANA,1813,1480,56,113,PADOVA
VEGGIANO,3329,2018,9,71,PADOVA
VESCOVANA,1546,887,16,32,PADOVA
VIGHIZZOLO D'ESTE,789,637,37,80,PADOVA
VIGODARZERE,10155,6656,44,204,PADOVA
VIGONZA,17655,11382,68,354,PADOVA
VILLA DEL CONTE,4435,3416,85,224,PADOVA
VILLA ESTENSE,2063,1487,48,100,PADOVA
VILLAFRANCA PADOVANA,7741,5833,127,288,PADOVA
VILLANOVA DI CAMPOSAMPIERO,4646,3053,28,129,PADOVA
VO',3010,2174,51,125,PADOVA
