Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ABBADIA CERRETO,239,189,7,11,LODI
BERTONICO,866,686,10,29,LODI
BOFFALORA D'ADDA,1304,994,22,73,LODI
BORGHETTO LODIGIANO,3295,2515,45,126,LODI
BORGO SAN GIOVANNI,1693,996,9,40,LODI
BREMBIO,2040,1505,38,103,LODI
CAMAIRAGO,528,405,9,30,LODI
CASALETTO LODIGIANO,2219,1572,25,75,LODI
CASALMAIOCCO,2322,1782,35,103,LODI
CASALPUSTERLENGO,11243,8331,161,471,LODI
CASELLE LANDI,1342,977,33,81,LODI
CASELLE LURANI,2217,1485,27,95,LODI
CASTELNUOVO BOCCA D'ADDA,1354,1013,25,87,LODI
CASTIGLIONE D'ADDA,3843,2363,17,124,LODI
CASTIRAGA VIDARDO,2034,1566,25,86,LODI
CAVACURTA,660,510,14,38,LODI
CAVENAGO D'ADDA,1701,1130,10,49,LODI
CERVIGNANO D'ADDA,1654,1266,28,77,LODI
CODOGNO,12095,7191,62,264,LODI
COMAZZO,1654,1153,29,79,LODI
CORNEGLIANO LAUDENSE,2221,1679,42,86,LODI
CORNO GIOVINE,959,696,26,54,LODI
CORNOVECCHIO,183,107,3,9,LODI
CORTE PALASIO,1165,898,16,47,LODI
CRESPIATICA,1661,1141,29,72,LODI
FOMBIO,1821,1330,32,88,LODI
GALGAGNANO,942,740,11,51,LODI
GRAFFIGNANA,2044,1685,52,111,LODI
GUARDAMIGLIO,2043,1624,42,106,LODI
LIVRAGA,2077,1534,49,125,LODI
LODI,33582,21143,135,570,LODI
LODI VECCHIO,5527,4037,82,260,LODI
MACCASTORNA,55,36,3,4,LODI
MAIRAGO,1082,836,22,43,LODI
MALEO,2630,1989,61,144,LODI
MARUDO,1222,941,25,74,LODI
MASSALENGO,3256,2419,52,141,LODI
MELETI,379,315,8,22,LODI
MERLINO,1304,1069,36,74,LODI
MONTANASO LOMBARDO,1867,1471,35,84,LODI
MULAZZANO,4320,3122,46,155,LODI
ORIO LITTA,1583,1294,39,90,LODI
OSPEDALETTO LODIGIANO,1320,1019,32,75,LODI
OSSAGO LODIGIANO,1101,883,19,51,LODI
PIEVE FISSIRAGA,1287,1009,30,65,LODI
SALERANO SUL LAMBRO,2067,1649,54,184,LODI
SAN FIORANO,1490,1199,30,78,LODI
SAN MARTINO IN STRADA,2945,2282,69,202,LODI
SAN ROCCO AL PORTO,2717,1950,33,113,LODI
SANT'ANGELO LODIGIANO,9357,5931,55,230,LODI
SANTO STEFANO LODIGIANO,1625,1304,44,101,LODI
SECUGNAGO,1574,1205,28,72,LODI
SENNA LODIGIANA,1462,1120,33,95,LODI
SOMAGLIA,2770,2111,44,144,LODI
SORDIO,2404,1499,6,54,LODI
TAVAZZANO CON VILLAVESCO,4413,3296,55,170,LODI
TERRANOVA DEI PASSERINI,723,626,12,34,LODI
TURANO LODIGIANO,1191,946,28,59,LODI
VALERA FRATTA,1194,766,5,26,LODI
VILLANOVA DEL SILLARO,1233,972,19,66,LODI
ZELO BUON PERSICO,5258,3899,66,223,LODI
