Ente,Liste/Gruppi,Voti,nomefile
FASANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,94,BRINDISI
FASANO,VERDI EUROPEI-GREEN ITALIA,89,BRINDISI
FASANO,SCELTA EUROPEA,77,BRINDISI
FASANO,ITALIA DEI VALORI,69,BRINDISI
FASANO,IO CAMBIO - MAIE,25,BRINDISI
FRANCAVILLA FONTANA,FORZA ITALIA,5973,BRINDISI
FRANCAVILLA FONTANA,NUOVO CENTRO DESTRA - UDC,4395,BRINDISI
FRANCAVILLA FONTANA,PARTITO DEMOCRATICO,4272,BRINDISI
FRANCAVILLA FONTANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3642,BRINDISI
FRANCAVILLA FONTANA,L'ALTRA EUROPA CON TSIPRAS,672,BRINDISI
FRANCAVILLA FONTANA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,666,BRINDISI
FRANCAVILLA FONTANA,ITALIA DEI VALORI,167,BRINDISI
FRANCAVILLA FONTANA,SCELTA EUROPEA,97,BRINDISI
FRANCAVILLA FONTANA,VERDI EUROPEI-GREEN ITALIA,72,BRINDISI
FRANCAVILLA FONTANA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,54,BRINDISI
FRANCAVILLA FONTANA,IO CAMBIO - MAIE,49,BRINDISI
LATIANO,PARTITO DEMOCRATICO,1725,BRINDISI
LATIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1327,BRINDISI
LATIANO,FORZA ITALIA,857,BRINDISI
LATIANO,NUOVO CENTRO DESTRA - UDC,369,BRINDISI
LATIANO,L'ALTRA EUROPA CON TSIPRAS,237,BRINDISI
LATIANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,159,BRINDISI
LATIANO,ITALIA DEI VALORI,139,BRINDISI
LATIANO,SCELTA EUROPEA,39,BRINDISI
LATIANO,VERDI EUROPEI-GREEN ITALIA,26,BRINDISI
LATIANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,22,BRINDISI
LATIANO,IO CAMBIO - MAIE,16,BRINDISI
MESAGNE,PARTITO DEMOCRATICO,3862,BRINDISI
MESAGNE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2430,BRINDISI
MESAGNE,FORZA ITALIA,1831,BRINDISI
MESAGNE,L'ALTRA EUROPA CON TSIPRAS,694,BRINDISI
MESAGNE,NUOVO CENTRO DESTRA - UDC,446,BRINDISI
MESAGNE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,165,BRINDISI
MESAGNE,ITALIA DEI VALORI,79,BRINDISI
MESAGNE,VERDI EUROPEI-GREEN ITALIA,48,BRINDISI
MESAGNE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,42,BRINDISI
MESAGNE,SCELTA EUROPEA,31,BRINDISI
MESAGNE,IO CAMBIO - MAIE,19,BRINDISI
ORIA,FORZA ITALIA,1683,BRINDISI
ORIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1309,BRINDISI
ORIA,PARTITO DEMOCRATICO,1061,BRINDISI
ORIA,NUOVO CENTRO DESTRA - UDC,667,BRINDISI
