Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ARCIDOSSO,3194,2392,74,198,GROSSETO
CAMPAGNATICO,1992,1154,9,33,GROSSETO
CAPALBIO,3183,2544,71,149,GROSSETO
CASTEL DEL PIANO,3577,2636,71,186,GROSSETO
CASTELL'AZZARA,1342,1035,35,70,GROSSETO
CASTIGLIONE DELLA PESCAIA,6197,3736,14,86,GROSSETO
CINIGIANO,1981,1545,57,111,GROSSETO
CIVITELLA PAGANICO,2357,1922,98,173,GROSSETO
FOLLONICA,17567,12552,201,556,GROSSETO
GAVORRANO,6857,4119,30,127,GROSSETO
GROSSETO,64468,39271,227,1110,GROSSETO
ISOLA DEL GIGLIO,1360,943,36,51,GROSSETO
MAGLIANO IN TOSCANA,3011,2345,56,142,GROSSETO
MANCIANO,5807,3508,27,145,GROSSETO
MASSA MARITTIMA,6807,5012,130,277,GROSSETO
MONTE ARGENTARIO,10622,5178,42,157,GROSSETO
MONTEROTONDO MARITTIMO,932,787,33,72,GROSSETO
MONTIERI,838,620,12,33,GROSSETO
ORBETELLO,12244,7046,40,226,GROSSETO
PITIGLIANO,3356,1996,24,87,GROSSETO
ROCCALBEGNA,839,442,8,32,GROSSETO
ROCCASTRADA,7230,5190,123,290,GROSSETO
SANTA FIORA,2137,1726,50,119,GROSSETO
SCANSANO,3440,2001,14,101,GROSSETO
SCARLINO,3058,2385,55,115,GROSSETO
SEGGIANO,729,520,24,45,GROSSETO
SEMPRONIANO,909,536,8,24,GROSSETO
SORANO,2993,2224,73,149,GROSSETO
