Ente,Liste/Gruppi,Voti,nomefile
BIANZONE,NUOVO CENTRO DESTRA - UDC,17,SONDRIO
BIANZONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,12,SONDRIO
BIANZONE,L'ALTRA EUROPA CON TSIPRAS,9,SONDRIO
BIANZONE,VERDI EUROPEI-GREEN ITALIA,5,SONDRIO
BIANZONE,ITALIA DEI VALORI,3,SONDRIO
BIANZONE,SCELTA EUROPEA,2,SONDRIO
BIANZONE,IO CAMBIO - MAIE,1,SONDRIO
BORMIO,PARTITO DEMOCRATICO,548,SONDRIO
BORMIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,514,SONDRIO
BORMIO,FORZA ITALIA,215,SONDRIO
BORMIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,208,SONDRIO
BORMIO,NUOVO CENTRO DESTRA - UDC,48,SONDRIO
BORMIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,41,SONDRIO
BORMIO,L'ALTRA EUROPA CON TSIPRAS,33,SONDRIO
BORMIO,VERDI EUROPEI-GREEN ITALIA,17,SONDRIO
BORMIO,SCELTA EUROPEA,6,SONDRIO
BORMIO,ITALIA DEI VALORI,5,SONDRIO
BORMIO,IO CAMBIO - MAIE,3,SONDRIO
BUGLIO IN MONTE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,586,SONDRIO
BUGLIO IN MONTE,PARTITO DEMOCRATICO,262,SONDRIO
BUGLIO IN MONTE,FORZA ITALIA,125,SONDRIO
BUGLIO IN MONTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,84,SONDRIO
BUGLIO IN MONTE,NUOVO CENTRO DESTRA - UDC,30,SONDRIO
BUGLIO IN MONTE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,18,SONDRIO
BUGLIO IN MONTE,L'ALTRA EUROPA CON TSIPRAS,10,SONDRIO
BUGLIO IN MONTE,ITALIA DEI VALORI,6,SONDRIO
BUGLIO IN MONTE,VERDI EUROPEI-GREEN ITALIA,4,SONDRIO
BUGLIO IN MONTE,IO CAMBIO - MAIE,2,SONDRIO
BUGLIO IN MONTE,SCELTA EUROPEA,0,SONDRIO
CAIOLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,206,SONDRIO
CAIOLO,PARTITO DEMOCRATICO,197,SONDRIO
CAIOLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,82,SONDRIO
CAIOLO,FORZA ITALIA,79,SONDRIO
CAIOLO,NUOVO CENTRO DESTRA - UDC,37,SONDRIO
CAIOLO,L'ALTRA EUROPA CON TSIPRAS,13,SONDRIO
CAIOLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,11,SONDRIO
CAIOLO,SCELTA EUROPEA,4,SONDRIO
CAIOLO,ITALIA DEI VALORI,3,SONDRIO
CAIOLO,VERDI EUROPEI-GREEN ITALIA,3,SONDRIO
CAIOLO,IO CAMBIO - MAIE,1,SONDRIO
CAMPODOLCINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,185,SONDRIO
CAMPODOLCINO,PARTITO DEMOCRATICO,162,SONDRIO
CAMPODOLCINO,FORZA ITALIA,73,SONDRIO
CAMPODOLCINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,30,SONDRIO
CAMPODOLCINO,NUOVO CENTRO DESTRA - UDC,17,SONDRIO
CAMPODOLCINO,L'ALTRA EUROPA CON TSIPRAS,6,SONDRIO
CAMPODOLCINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,5,SONDRIO
CAMPODOLCINO,ITALIA DEI VALORI,4,SONDRIO
CAMPODOLCINO,SCELTA EUROPEA,2,SONDRIO
CAMPODOLCINO,VERDI EUROPEI-GREEN ITALIA,1,SONDRIO
CAMPODOLCINO,IO CAMBIO - MAIE,0,SONDRIO
CASPOGGIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,410,SONDRIO
CASPOGGIO,PARTITO DEMOCRATICO,282,SONDRIO
CASPOGGIO,FORZA ITALIA,90,SONDRIO
CASPOGGIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,82,SONDRIO
CASPOGGIO,NUOVO CENTRO DESTRA - UDC,38,SONDRIO
CASPOGGIO,L'ALTRA EUROPA CON TSIPRAS,18,SONDRIO
CASPOGGIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,10,SONDRIO
CASPOGGIO,ITALIA DEI VALORI,8,SONDRIO
CASPOGGIO,VERDI EUROPEI-GREEN ITALIA,7,SONDRIO
CASPOGGIO,SCELTA EUROPEA,6,SONDRIO
CASPOGGIO,IO CAMBIO - MAIE,2,SONDRIO
CASTELLO DELL'ACQUA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,202,SONDRIO
CASTELLO DELL'ACQUA,PARTITO DEMOCRATICO,79,SONDRIO
CASTELLO DELL'ACQUA,FORZA ITALIA,48,SONDRIO
CASTELLO DELL'ACQUA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,39,SONDRIO
CASTELLO DELL'ACQUA,L'ALTRA EUROPA CON TSIPRAS,5,SONDRIO
CASTELLO DELL'ACQUA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,5,SONDRIO
CASTELLO DELL'ACQUA,NUOVO CENTRO DESTRA - UDC,3,SONDRIO
CASTELLO DELL'ACQUA,VERDI EUROPEI-GREEN ITALIA,3,SONDRIO
CASTELLO DELL'ACQUA,IO CAMBIO - MAIE,1,SONDRIO
CASTELLO DELL'ACQUA,ITALIA DEI VALORI,1,SONDRIO
CASTELLO DELL'ACQUA,SCELTA EUROPEA,1,SONDRIO
CASTIONE ANDEVENNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,327,SONDRIO
CASTIONE ANDEVENNO,PARTITO DEMOCRATICO,235,SONDRIO
CASTIONE ANDEVENNO,FORZA ITALIA,132,SONDRIO
CASTIONE ANDEVENNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,91,SONDRIO
CASTIONE ANDEVENNO,NUOVO CENTRO DESTRA - UDC,20,SONDRIO
CASTIONE ANDEVENNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,19,SONDRIO
CASTIONE ANDEVENNO,L'ALTRA EUROPA CON TSIPRAS,13,SONDRIO
CASTIONE ANDEVENNO,VERDI EUROPEI-GREEN ITALIA,11,SONDRIO
CASTIONE ANDEVENNO,ITALIA DEI VALORI,4,SONDRIO
CASTIONE ANDEVENNO,SCELTA EUROPEA,3,SONDRIO
CASTIONE ANDEVENNO,IO CAMBIO - MAIE,2,SONDRIO
CEDRASCO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,107,SONDRIO
CEDRASCO,PARTITO DEMOCRATICO,80,SONDRIO
CEDRASCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,31,SONDRIO
CEDRASCO,FORZA ITALIA,26,SONDRIO
CEDRASCO,NUOVO CENTRO DESTRA - UDC,6,SONDRIO
CEDRASCO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,4,SONDRIO
CEDRASCO,L'ALTRA EUROPA CON TSIPRAS,3,SONDRIO
CEDRASCO,VERDI EUROPEI-GREEN ITALIA,2,SONDRIO
CEDRASCO,ITALIA DEI VALORI,2,SONDRIO
CEDRASCO,IO CAMBIO - MAIE,0,SONDRIO
CEDRASCO,SCELTA EUROPEA,0,SONDRIO
CERCINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,91,SONDRIO
CERCINO,PARTITO DEMOCRATICO,80,SONDRIO
CERCINO,FORZA ITALIA,59,SONDRIO
CERCINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,36,SONDRIO
CERCINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,7,SONDRIO
CERCINO,VERDI EUROPEI-GREEN ITALIA,5,SONDRIO
CERCINO,NUOVO CENTRO DESTRA - UDC,4,SONDRIO
CERCINO,L'ALTRA EUROPA CON TSIPRAS,4,SONDRIO
CERCINO,ITALIA DEI VALORI,1,SONDRIO
CERCINO,SCELTA EUROPEA,1,SONDRIO
CERCINO,IO CAMBIO - MAIE,0,SONDRIO
CHIAVENNA,PARTITO DEMOCRATICO,1422,SONDRIO
CHIAVENNA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,995,SONDRIO
CHIAVENNA,FORZA ITALIA,574,SONDRIO
CHIAVENNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,403,SONDRIO
